id,city,fiscal_year,fy_start,estimate_basis,section,flow,head_category,head_name,head_name_raw,entity,amount_cr,amount_raw,source_pdf,page,extraction_method,confidence,note
1,ahmedabad,2018-19,2018,BE,capital,expenditure,department_support,Loan/support to AMTS (city bus),Rs. 355.00 crore allocated in 2018-19 (Rs.325.00 cr expected spent 2017-18),AMTS,355.0,Rs. 355.00 crore allocated in 2018-19 (Rs.325.00 cr expected spent 2017-18),AMC_Budget_2018-19_English9026.pdf,142.0,manual_verified,high,For AMTS total Rs. 325.00 crore is expected to be spent in 2017-18 while Rs. 355.00 crore has been allocated in 2018-19.
2,ahmedabad,2019-20,2019,BE,capital,expenditure,department_support,Loan/support to AMTS (city bus),Rs. 339.00 crore allocated in 2019-20 (Rs.325.00 cr expected spent 2018-19),AMTS,339.0,Rs. 339.00 crore allocated in 2019-20 (Rs.325.00 cr expected spent 2018-19),AMC_Budget_2019-20_English9594.pdf,138.0,manual_verified,high,For AMTS total Rs. 325.00 crore is expected to be spent in 2018-19 while Rs. 339.00 crore has been allocated in 2019-20.
3,ahmedabad,2020-21,2020,BE,capital,expenditure,department_support,Loan/support to AMTS (city bus),Rs. 355.00 crore allocated in 2020-21 (Rs.340.00 cr expected spent 2019-20),AMTS,355.0,Rs. 355.00 crore allocated in 2020-21 (Rs.340.00 cr expected spent 2019-20),AMC_Budget_2020-21_English7550.pdf,130.0,manual_verified,high,For AMTS total Rs. 340.00 crore is expected to be spent in 2019-20 while Rs. 355.00 crore has been allocated in 2020-21.
4,ahmedabad,2021-22,2021,actual,capital,expenditure,department_support,Loan/support to AMTS (city bus),Rs.341.00 crore expected spent 2021-22 (per 2022-23 PDF prior-year column),AMTS,341.0,Rs.341.00 crore expected spent 2021-22 (per 2022-23 PDF prior-year column),AMC_Budget_2022-23_English2679.pdf,131.0,manual_verified,medium,For AMTS total Rs. 341.00 crore is expected to be spent in 2021-22 while Rs. 390.00 crore has been allocated in 2022-23.
5,ahmedabad,2022-23,2022,BE,capital,expenditure,department_support,Loan/support to AMTS (city bus),Rs. 390.00 crore allocated in 2022-23 (Rs.341.00 cr expected spent 2021-22),AMTS,390.0,Rs. 390.00 crore allocated in 2022-23 (Rs.341.00 cr expected spent 2021-22),AMC_Budget_2022-23_English2679.pdf,131.0,manual_verified,high,For AMTS total Rs. 341.00 crore is expected to be spent in 2021-22 while Rs. 390.00 crore has been allocated in 2022-23.
6,ahmedabad,2023-24,2023,BE,capital,expenditure,department_support,Loan/support to AMTS (city bus),Rs. 398.00 crore allocated in 2023-24 (Rs.380.00 cr expected spent 2022-23),AMTS,398.0,Rs. 398.00 crore allocated in 2023-24 (Rs.380.00 cr expected spent 2022-23),AMC_Budget_2023-24_English (1)6444.pdf,174.0,manual_verified,high,For AMTS total Rs. 380.00 crore is expected to be spent in 2022-23 while Rs. 398.00 crore has been allocated in 2023-24.
7,ahmedabad,2018-19,2018,BE,revenue,expenditure,grant_contribution,Grant to Sheth M.J. Library,Rs.1077.90 lakh total committee grant; commissioner base Rs.700 lakh; AMC additional Rs.377.90 lakh,MJ_LIBRARY,10.779,Rs.1077.90 lakh total committee grant; commissioner base Rs.700 lakh; AMC additional Rs.377.90 lakh,AMC_Budget_2018-19_English9026.pdf,29.0,manual_verified,high,managing committee ... decided to give Rs.1077.90 lakh grant ... commissioner has allocated Rs. 700 lakh ... allot Rs.377.90 lakh more
8,ahmedabad,2019-20,2019,BE,revenue,expenditure,grant_contribution,Grant to Sheth M.J. Library,Rs.1286.35 lakh total; commissioner base Rs.950 lakh; AMC additional Rs.336.35 lakh,MJ_LIBRARY,12.8635,Rs.1286.35 lakh total; commissioner base Rs.950 lakh; AMC additional Rs.336.35 lakh,AMC_Budget_2019-20_English9594.pdf,26.0,manual_verified,high,decided to give Rs.1286.35 lakh grant ... commissioner has allocated Rs. 950 lakh ... allot Rs.336.35 lakh more
9,ahmedabad,2020-21,2020,BE,revenue,expenditure,grant_contribution,Grant to Sheth M.J. Library,Rs.1669.10 lakh total; commissioner base Rs.950 lakh; AMC additional Rs.719.10 lakh,MJ_LIBRARY,16.691,Rs.1669.10 lakh total; commissioner base Rs.950 lakh; AMC additional Rs.719.10 lakh,AMC_Budget_2020-21_English7550.pdf,26.0,manual_verified,high,decided to give Rs.1669.10 lakh as grant ... commissioner has allocated Rs. 950 lakh ... allot Rs.719.10 lakh more
10,ahmedabad,2022-23,2022,BE,revenue,expenditure,grant_contribution,Grant to Sheth M.J. Library,Rs.1650.50 lakh total; commissioner base Rs.670 lakh; AMC additional Rs.980.50 lakh,MJ_LIBRARY,16.505,Rs.1650.50 lakh total; commissioner base Rs.670 lakh; AMC additional Rs.980.50 lakh,AMC_Budget_2022-23_English2679.pdf,18.0,manual_verified,high,decided to give Rs. 1650 lakh 50 thousand as grant ... allocated Rs. 670 lakh ... allot Rs.980.50 lakh more
11,ahmedabad,2023-24,2023,BE,revenue,expenditure,grant_contribution,Grant to Sheth M.J. Library,Rs.1520.90 lakh total; commissioner base Rs.925 lakh; AMC additional Rs.595.90 lakh,MJ_LIBRARY,15.209,Rs.1520.90 lakh total; commissioner base Rs.925 lakh; AMC additional Rs.595.90 lakh,AMC_Budget_2023-24_English (1)6444.pdf,28.0,manual_verified,high,decided to give Rs.1520 lakh 90 thousand as grant ... allocated Rs. 925.00 lakh ... allot Rs.595.90 lakh more
12,ahmedabad,2018-19,2018,BE,revenue,expenditure,grant_contribution,Grant to branch libraries,not found as a consolidated head,LIBRARY_BRANCHES,,not found as a consolidated head,AMC_Budget_2018-19_English9026.pdf,,manual_verified,n/a,null
13,ahmedabad,2023-24,2023,BE,revenue,expenditure,grant_contribution,Grant to branch libraries,not found as a consolidated head,LIBRARY_BRANCHES,,not found as a consolidated head,AMC_Budget_2023-24_English (1)6444.pdf,,manual_verified,n/a,null
14,ahmedabad,2018-19,2018,BE,revenue,expenditure,grant_contribution,Grant to Municipal School Board,Rs. 219 crore extra for primary education (AMC top-up over state grant); full school-board budget Rs.671 cr,SCHOOL_BOARD,219.0,Rs. 219 crore extra for primary education (AMC top-up over state grant); full school-board budget Rs.671 cr,AMC_Budget_2018-19_English9026.pdf,28.0,manual_verified,high,resolved to increase the grant by Rs.62crore 96 lakh 67 thousand and to give extra Rs. 219 crore for primary education.
15,ahmedabad,2019-20,2019,BE,revenue,expenditure,grant_contribution,Grant to Municipal School Board,Rs. 193 crore extra for primary education; full board budget Rs.673 cr,SCHOOL_BOARD,193.0,Rs. 193 crore extra for primary education; full board budget Rs.673 cr,AMC_Budget_2019-20_English9594.pdf,25.0,manual_verified,high,increase the grant by Rs.44 crore 26 lakh 81 thousand and to give extra Rs. 193 crore for primary education.
16,ahmedabad,2020-21,2020,BE,revenue,expenditure,grant_contribution,Grant to Municipal School Board,Rs. 172.7481 crore additional for primary education; full board budget Rs.698 cr,SCHOOL_BOARD,172.7481,Rs. 172.7481 crore additional for primary education; full board budget Rs.698 cr,AMC_Budget_2020-21_English7550.pdf,25.0,manual_verified,high,decrease the grant of state governemnt by Rs.6 lakh 99 thousand and ... allocate additional Rs. 172.7481 crore for primary education.
17,ahmedabad,2022-23,2022,BE,revenue,expenditure,grant_contribution,Grant to Municipal School Board,Rs. 362 crore additional for primary education; full board budget Rs.893 cr,SCHOOL_BOARD,362.0,Rs. 362 crore additional for primary education; full board budget Rs.893 cr,AMC_Budget_2022-23_English2679.pdf,18.0,manual_verified,high,increase the grant of state government by Rs. 19888 lakh 82 thousand and ... allocate additional Rs. 362 crore for primary education.
