year,amts_cr,mj_library_cr,property_tax_cr,riverfront_cr,total_cr,amts_page,confidence,property_tax_basis,notes
2005-06,42.00,2.83,153.03,,875.28,165,high,general_tax_BE,"AMTS=420000 rupee-thousands/10000; MJ=28323/10000; prop-tax 15302.97L & total 87528.28L(revised) /100; no single riverfront line"
2006-07,47.00,3.37,186.57,,1036.61,167,high,general_tax_BE,"AMTS chain-verified vs 2007-08 prior col; total revised 103660.89L"
2007-08,73.89,4.14,,,1378.74,183,high,unverified,"AMTS chain-verified; prop-tax general-tax row glyph-merged -> unverified; total revised 137873.50L"
2008-09,105.08,4.64,,,1734.95,202,high,unverified,"AMTS chain-verified; prop-tax row glyph-merged -> unverified; total revised 173494.99L"
2009-10,140.73,4.67,408.50,,2053.31,193,high,general_tax_BE,"AMTS chain-verified; general tax 40850.21L(revised); total BE 205330.53L"
2010-11,140.84,5.93,436.88,,2327.07,210,high,general_tax_BE,"AMTS chain-verified vs 2011-12 prior col; general tax 43688.00L; total BE 232707.10L"
2011-12,110.00,3.50,465.00,,2597.24,220,medium,general_tax_BE,"format-transition yr; AMTS main-budget col=110cr (a higher revised/proposed col 185.44 also present); prop-tax 46500L(revised); total BE 259723.50L"
2012-13,185.44,6.86,451.49,,2764.55,239,medium,general_tax_BE,"format-transition yr; AMTS=185.44cr (dual-BE-col ambiguity); general tax 45148.70L(revised); total BE 276455.00L"
2013-14,190.00,4.00,312.16,,2239.68,284,high,general_tax_plus_direct_BE,"ANCHOR 190cr OK; prop-tax = general+other-direct 312.16cr (post-octroi base reset); total-rev BE 2239.68 / revised 2142.12"
2014-15,235.00,4.80,,,3330.00,337,high,unverified,"AMTS chain-verified; prop-tax abstract row not cleanly isolated -> unverified; total-rev BE 3330.00"
2015-16,280.00,4.90,482.16,,3600.00,333,high,general_tax_BE,"AMTS chain-verified; general tax 462.16+20.00=482.16cr; total-rev BE 3600.00"
2016-17,335.00,5.20,542.66,,4040.00,286,high,general_tax_BE,"AMTS chain-verified; general tax final 542.66cr; total-rev BE 4040.00"
2017-18,350.00,5.40,575.00,,4484.00,300,high,general_tax_BE,"AMTS chain-verified; general tax 560.00+15.00=575.00cr; total-rev BE 4484.00"
2018-19,355.00,7.00,635.60,,4750.00,309,high,general_tax_BE,"ANCHOR 355cr OK; general tax 595.00+40.60=635.60cr; total-rev BE 4750.00"
2019-20,339.00,9.50,580.61,,5196.93,306,high,general_tax_BE,"AMTS chain-verified; general tax draft 520.61 + 60.00 = 580.61cr; total-rev BE 5196.93"
2021-22,355.00,9.50,,,,272,high,unverified,"AMTS label 'A M T S' 35500L=355cr (latin font); 2020-21 budget absent (COVID gap in set); prop-tax/total not extracted this pass"
2024-25,410.00,11.00,736.47,,4748.49,291,high,general_tax_plus_direct_final,"ANCHOR 410cr OK (41000L); general+direct final 736.47cr; total-rev BE 4748.49 / revised 5248.12"
2025-26,425.00,12.00,810.23,,6900.00,325,high,general_tax_plus_direct_final,"ANCHOR 425cr OK (42500L); general+direct final 810.23cr; total-rev BE 6900.00 / revised 7038.90"
2026-27,525.00,12.00,,,,299,medium,unverified,"75201 loan-to-AMTS line = 52500L = 525cr (BE); narrative replaces AMTS line w/ 'AMTS+BRTS = 3000 EV Buses (GCC Model)' p147; prop-tax/total not extracted this pass"
