year,code,head,page,dept,dept_name,raw_line
2005-06,23306,PENALTY RECOVERED FROM CONTRACTORS (rev inc),97,153,";[g8=, JS""XM5vDLS[GLS, :8M;""","0        0       5023306 SMg8=FÉ8;"" 5F;[YL D/[, N\0GL VFJS       25      50"
2005-06,23306,PENALTY RECOVERED FROM CONTRACTORS (rev inc),98,154,";[g8=, .,[É8=LS, :8M;""","106       18      10023306 SMg8=FÉ8;"" 5F;[YL D/[, N\0GL VFJS      100     100"
2005-06,23306,PENALTY RECOVERED FROM CONTRACTORS (rev inc),101,304,SMdI]GLS[XG  lJEFU,"0       80       5023306 SMg8=FÉ8;"" 5F;[YL D/[, N\0GL VFJS       50       0"
2005-06,23306,PENALTY RECOVERED FROM CONTRACTORS (rev inc),102,352,XC[ZGF SRZM p5F0JF v Z[O–]h,"76        5       2523306 SMg8=FÉ8;"" 5F;[YL D/[, N\0GL VFJS       10      25"
2005-06,23306,PENALTY RECOVERED FROM CONTRACTORS (rev inc),103,371,".HG[Z 0L5F8""D[g8 v ;FDFgI N[BZ[B","3       62       5023306 SMg8=FÉ8;"" 5F;[YL D/[, N\0GL VFJS       50      50"
2005-06,23311,COST OF WORK DONE ON CAPITAL A/C LSR (rev inc),103,371,".HG[Z 0L5F8""D[g8 v ;FDFgI N[BZ[B","14525    23166    1500023311 ,MG :8FO ZLSJZL sV[,PV[;PVFZf    21500   15000"
2005-06,10301,"VEHICLE TAX (rev inc, dept 381)",103,381,"Z:TF4 U,LVM4 O]85FY",18870    57847    6000010301 JFCG 8[Ù    72000   60000
2005-06,13423,ROAD CUT RESTORATION CHARGES (rev inc),103,381,"Z:TF4 U,LVM4 O]85FY",5224     7912     500013423 Z:TF S5FT 5]Go :YF5G OL     5000    5000
2005-06,23306,PENALTY RECOVERED FROM CONTRACTORS (rev inc),104,411,-MZ +F; V\S]X lJEFU,"4        1       1023306 SMg8=FÉ8;"" 5F;[YL D/[, N\0GL VFJS       10      10"
2005-06,23306,PENALTY RECOVERED FROM CONTRACTORS (rev inc),107,609,h],"0        0        523306 SMg8=FÉ8;"" 5F;[YL D/[, N\0GL VFJS        0       5"
