register_year,serial,zone,ward_token,ward,length_m,width_m,dlp_or_completion_date,contractor,consultant,road_desc_raw
2017-18,1,North,lhtuzt,12 NARODA,109.0,121.0,24-02-22,N.C.C. Infra Pvt Ltd,,"lhtuzt lhtuzt Jtuzobtk xe.ve.121,109 <ubs ltul xe.ve. rJM<th <ubs Jtuzobtk swœe swœe søgtyu htuz hemhVum fhJtlt ftb (xe.ve121 btk Vt.Ãjtux lk-33 &e 90/2 mw^e he d{z fhe hemhVum fhJtlt ftb 433.20 4.50 yul.me.me RL£t.«t.je 24-02-22 yÕfuNCtR m"
2017-18,2,North,lhtuzt,12 NARODA,512.0,13.0,09-05-21,N.C.C. Infra Pvt Ltd,,"lhtuzt lhtuzt Jtuzobtk xe.ve.1,2 <ubs dtgºte vkvekd &e rNJ œNol &R yuBvj vtfo mtumtgxe mw^eltu htuz <ubs Jtuzobtk swœe swœe søgtyu htuz hemhVum fhJtlt ftb 512.00 13.00 yul.me.me RL£t.«t.je 09-05-21 yÕfuNCtR mtujkfe rJsgCtR «egœNeo lgltcul m"
2017-18,3,North,lhtuzt,12 NARODA,351.7,10.0,25-02-22,K.E.C.L.,,lhtuzt W•thÍtul lhtuzt Jtuzo btk nheîth &e btunlldh ath hM<t <&t mðglthtgK lu¤egt Jt¤tu htuz nuJe vuJh vuaJfo fhJtlwk fhJtlwk ftb 351.70 10.00 fu.R.me.yuj 25-02-22 yÕfuNCtR mtujkfe rJsgCtR «egœNeo lgltcul me. Fhtze.
2017-18,4,North,lhtuzt,12 NARODA,777.0,10.0,10-05-21,N.C.C. Infra Pvt Ltd,,lhtuzt W•th Ítul lhtuzt Jtuzobtk dujuûte rmlubtk&e rœveft xtJh <ubs lhtuzt vtKele xtkfe&e lhtuzt vkatg< yturVm mw^elt htuz Wvh <&t Jtuzobtk yLg sdgtytuyu vuJh bNel îtht nuJevuaJfo fhJtle (lhtuzt Jtuzo btk œnudtb htuz &e nkmvwht dtb mw^e ltu
2017-18,5,North,lhtuzt,12 NARODA,341.82,7.0,07-04-21,N.C.C. Infra Pvt Ltd,,lhtuzt W•th Ítul lhtuzt Jtuzolt Jtuzobtk xe.ve hM<tytu (1)nhe Mxuxm&e gwd humezuLme ath hM<t mw^e 341.82 7.60 yul.me.me RL£t.«t.je 07-04-21 yÕfuNCtR mtujkfe rJsgCtR «egœNeo lgltcul me. Fhtze.
2017-18,6,North,lhtuzt,12 NARODA,529.0,10.0,10-04-21,N.C.C. Infra Pvt Ltd,,lhtuzt (2)xe.ve.2 btk JuKwltœ mtumtgxe &e bwljtRx &e R.zçÕgw.yum.fJtxom mw^e 529.00 7.80 yul.me.me RL£t.«t.je 10-04-21 yÕfuNCtR mtujkfe rJsgCtR «egœNeo lgltcul me. Fhtze.
2017-18,7,North,lhtuzt,12 NARODA,279.0,11.0,11-05-21,N.C.C. Infra Pvt Ltd,,lhtuzt (3)gwlegl cukkf &e dkkdtCwJl &e rnjtule ftuBvjuût mw^e 279.00 8.37 yul.me.me RL£t.«t.je 11-05-21 yÕfuNCtR mtujkfe rJsgCtR «egœNeo lgltcul me. Fhtze.
2017-18,8,North,lhtuzt,12 NARODA,24.0,674.0,15-05-21,K.E.C.L.,,lhtuzt W.Ítul lhtuzt Jtuzobtk nheœNol ath hM<t &e Ne<jlt&«Cw mtumtgxe mw^elt 24 bexh vntu¤tRlt htuz vh lJe ltkFJtbtk ytJuj Mx[tub Jtuxh jtRl Jt¤t Ctd Wvh 6 bexh vntu¤tRbtk yuf mtRz d{tWxekd fhe hemhVuN fhJtlt ftb 674.00 4.50 fu.R.me.yuj 15-
2017-18,9,North,lhtuzt,12 NARODA,121.0,121.0,25-02-19,K.E.C.L.,,lhtuzt W•th Ítul lhtuzt Jtuzobtk z[tVx xe.ve. 121btk ytJuj swœt swœt hM<tytu ctc<u yuMxux Ft<t îtht b¤uj yrC«tglu ægtlu jR (1) xe.ve-121btk yuV.ve 55/1 &e yuV.ve 162 mw^eltu htuz <&t (mtkœevle Mfwj &e vtkshtvtu¤) 157.50 4.50 fu.R.me.yuj 25-
2017-18,10,North,lhtuzt,12 NARODA,121.0,160.0,07-01-22,K.E.C.L.,,lhtuzt (2) xe.ve Mfeb lk:-121btk yuV.ve 160 &e yuV.ve lk:-76 mw^eltu htuz (<wjme Vjux htuz) 480.00 4.50 fu.R.me.yuj 07-01-22 yÕfuNCtR mtujkfe rJsgCtR «egœNeo lgltcul me. Fhtze.
