route_id,agency_id,route_short_name,route_long_name,route_type
65/2-1,AMTS,65/2,Santej (Shah Alloys) ⇆ Lal Darwaja,3
65/2-2,AMTS,65/2,Lal Darwaja ⇆ Arvind Polycoat (Khatraj),3
65/3,AMTS,65/3,Santej Gam ⇆ Lal Darwaja,3
300-1,AMTS,300,Vadaj ⇆ Maninagar,3
136-1,AMTS,136,Sarangpur ⇆ G.E.B (Naroda),3
143sh,AMTS,143sh,Sarangpur ⇆ Kubadthal Gam,3
144-1,AMTS,144,Gujarat University ⇆ Arbudanagar,3
138/1-1,AMTS,138/1,Iskon Mandir ⇆ Madhavnagar (Sanand),3
138/1-2,AMTS,138/1,Lal Darwaja ⇆ Madhavnagar (Sanand),3
152/1-1,AMTS,152/1,Gatrad Gam ⇆ Raipur Darwaja,3
51Ri-1,AMTS,51Ri,Lal Darwaja ⇆ Shilaj Gam,3
3sh-1,AMTS,3sh,Bhadrakali Mandir ⇆ Bhadrakali Mandir,3
401-1,AMTS,401,Vasna ⇆ Chandkheda (Sarthi Bunglows),3
66/3sh,AMTS,66/3sh,Moti Bhoyan Chokdi ⇆ Naroda,3
71/1sh-1,AMTS,71/1sh,Gandhinagar Institute Of Technology ⇆ Lal Darwaja,3
13/1-1,AMTS,13/1,Ranip Gam ⇆ Prakash Vidhyalay (Isanpur),3
51Ri-2,AMTS,51Ri,Lal Darwaja ⇆ Rancharda Gam,3
SF4,AMTS,SF4,Bhakti Circle ⇆ Shakuntal Bunglows,3
51sh-1,AMTS,51sh,Rancharda Gam ⇆ Lal Darwaja,3
51sh-2,AMTS,51sh,Shilaj Gam ⇆ Lal Darwaja,3
58-1,AMTS,58,Thaltej Gam ⇆ Kush Society (New Naroda),3
17-1,AMTS,17,Karnavati Chowk-4 (New Narol) ⇆ Meghaninagar,3
40/3-1,AMTS,40/3,Gayatri Vidyalay ⇆ Vadaj,3
18-1,AMTS,18,Ujala Circle(Sarkhej RailwayOverbridge) ⇆ Nigam Society,3
151sh-1,AMTS,151sh,Vivekanandnagar ⇆ Lal Darwaja,3
60sh-1,AMTS,60sh,Thaltej Metro Station ⇆ Lal Darwaja,3
96,AMTS,96,Vatva Railway Station ⇆ Civil Hospital,3
152Sh,AMTS,152Sh,Lal Darwaja ⇆ Dhamatwan Gam,3
3sh-2,AMTS,3sh,Bhadrakali Mandir ⇆ Kalupur Terminus,3
130sh-1,AMTS,130sh,Lambha Gam ⇆ Naroda Industrial Township(MuthiyaGam),3
16-1,AMTS,16,Someshwar Mahadev ⇆ Sarangpur,3
3,AMTS,3,Bhadrakali Mandir ⇆ Bhadrakali Mandir,3
84-1,AMTS,84,Lal Darwaja ⇆ Chandkheda (Sarthi Bunglows),3
13/1-2,AMTS,13/1,Ranip Gam ⇆ Vadaj,3
14-1,AMTS,14,Nandej-Barejadi Gam ⇆ Lal Darwaja,3
14-2,AMTS,14,Devdi Gam ⇆ Lal Darwaja,3
14-3,AMTS,14,Vatva Gam ⇆ Lal Darwaja,3
14/1-1,AMTS,14/1,Vatva Railway Station ⇆ Lal Darwaja,3
14/1-2,AMTS,14/1,Isanpur ⇆ Lal Darwaja,3
14sh,AMTS,14sh,Nirmal Saroavar Bunglows ⇆ Lal Darwaja,3
15,AMTS,15,Chosar Gam ⇆ Maninagar,3
49/2-1,AMTS,49/2,Gujarat University ⇆ Lal Darwaja,3
15/3,AMTS,15/3,Khatraj (Panchvati circle) ⇆ Maninagar,3
15/3sh,AMTS,15/3sh,Nadi Darwaja ⇆ Maninagar,3
160,AMTS,160,Silver Oak University ⇆ Hatkeshwar Depo,3
16-2,AMTS,16,Someshwar Mahadev ⇆ Vatva Railway Station,3
16-3,AMTS,16,Maninagar ⇆ Vatva Railway Station,3
16-4,AMTS,16,Someshwar Mahadev ⇆ Maninagar,3
16-5,AMTS,16,Sarangpur ⇆ Vatva Railway Station,3
16-6,AMTS,16,Maninagar ⇆ Sarangpur,3
18S,AMTS,18S,Vatva Railway Station ⇆ Maninagar,3
17-2,AMTS,17,Maninagar ⇆ Karnavati Chowk-4 (New Narol),3
18-2,AMTS,18,Nigam Society ⇆ Maninagar,3
49sh,AMTS,49sh,Krishna Shelbi Hospital (Ghuma) ⇆ Sarangpur,3
20-1,AMTS,20,Civil Hospital ⇆ Sarangpur,3
20-2,AMTS,20,Civil Hospital ⇆ Prakash Vidhyalay (Isanpur),3
43-1,AMTS,43,Vastrapur ⇆ Ambli Cross Road,3
56,AMTS,56,Iskon Mandir ⇆ Sitarambapa Chowk (Gopal Chowk),3
20-3,AMTS,20,Prakash Vidhyalay (Isanpur) ⇆ Sarangpur,3
22-1,AMTS,22,Indiranagar Vibhag-2 (Pani ni Tanki) ⇆ Tragad Gam,3
22-2,AMTS,22,Indiranagar Vibhag-2 (Pani ni Tanki) ⇆ Lal Darwaja,3
22-3,AMTS,22,Lal Darwaja ⇆ Tragad Gam,3
22/1-1,AMTS,22/1,Bareja Eye Hospital ⇆ Lal Darwaja,3
22/1-2,AMTS,22/1,Dhamatwan Gam ⇆ Lal Darwaja,3
45,AMTS,45,Lal Darwaja ⇆ Shela Gam,3
75,AMTS,75,Chandkheda (Sarthi Bunglows) ⇆ Maninagar,3
22sh-1,AMTS,22sh,Bhadreshwar ⇆ Lal Darwaja,3
22sh-2,AMTS,22sh,Indiranagar Vibhag-2 ⇆ Lal Darwaja,3
23,AMTS,23,Lambha Gam ⇆ Maninagar,3
52-1,AMTS,52,Thol Gam (Saradar Chowk) ⇆ Vadaj,3
28,AMTS,28,Lambha Gam ⇆ Meghaninagar,3
28sh,AMTS,28sh,Indiranagar Vibhag-2 (Pani ni Tanki) ⇆ Sarangpur,3
30/3-1,AMTS,30/3,Dani Limda Gam ⇆ Dev Residency,3
33-1,AMTS,33,Lal Darwaja ⇆ Vasna,3
30-1,AMTS,30,Karnavati Chowk-4 (New Narol) ⇆ Maninagar,3
30-2,AMTS,30,Karnavati Chowk-4 (New Narol) ⇆ Isanpur,3
30/3-2,AMTS,30/3,Dev Residency ⇆ Paldi,3
52-2,AMTS,52,Ahvadiya Talav(New Ranip) ⇆ Thol Gam (Saradar Chowk),3
52/2,AMTS,52/2,Sattadhar Society ⇆ Maninagar,3
33-2,AMTS,33,S.P.Ring Road (Odhav Gidc) ⇆ Lal Darwaja,3
30/2-1,AMTS,30/2,Vatva Railway Crossing ⇆ Sarkhej Gam,3
30/2-2,AMTS,30/2,Vatva Railway Crossing ⇆ Isanpur-Vatva Cross Road,3
30/2-3,AMTS,30/2,Narol Circle ⇆ Vatva Railway Crossing,3
31-1,AMTS,31,Meghaninagar ⇆ Sarkhej Gam,3
31-2,AMTS,31,Meghaninagar ⇆ Lal Darwaja,3
31/4-1,AMTS,31/4,Paldi ⇆ Kasindra Gam,3
31/5,AMTS,31/5,Motipura Chokdi(Sanand) ⇆ Lal Darwaja,3
31-3,AMTS,31,Lal Darwaja ⇆ Sarkhej Gam,3
31/4-2,AMTS,31/4,Lal Darwaja ⇆ Kasindra Gam,3
58-2,AMTS,58,Kailasnagar ⇆ Thaltej Gam,3
31sh,AMTS,31sh,Sardarbag ⇆ Sarkhej Gam,3
31/1,AMTS,31/1,Aradhana Residency (Fateh wadi Kenal) ⇆ Lal Darwaja,3
34/3,AMTS,34/3,Adani Vidyavihar ⇆ Lal Darwaja,3
32-1,AMTS,32,Sahyadri Bunglows ⇆ But Bhavani Mandir,3
32-2,AMTS,32,Lal Darwaja ⇆ But Bhavani Mandir,3
33-3,AMTS,33,S.P.Ring Road (Odhav Gidc) ⇆ Vasna,3
35,AMTS,35,Lal Darwaja ⇆ Bavla,3
34/5-1,AMTS,34/5,But Bhavani Mandir ⇆ Lal Darwaja,3
42-1,AMTS,42,Nigam Society ⇆ Shilaj Gam,3
SP1-1,AMTS,SP1,Aslali Circle ⇆ Nana Chiloda(Mnu.Octroi),3
33/1,AMTS,33/1,Lal Darwaja ⇆ Vaishali Township,3
SP1-2,AMTS,SP1,Aslali Circle ⇆ Lal Darwaja,3
SP1-3,AMTS,SP1,Aslali Circle ⇆ Ranasan Circle,3
37/4,AMTS,37/4,But Bhavani Mandir ⇆ Sarangpur,3
34/4,AMTS,34/4,But Bhavani Mandir ⇆ Lal Darwaja,3
34/5-2,AMTS,34/5,Kalapinagar ⇆ But Bhavani Mandir,3
34/5-3,AMTS,34/5,Kalapinagar ⇆ Lal Darwaja,3
40,AMTS,40,Vadaj ⇆ Meda-Adraj Gam,3
36/1,AMTS,36/1,Sarkhej Roza ⇆ Sarangpur,3
51T-1,AMTS,51T,Thol Gam (Saradar Chowk) ⇆ Lal Darwaja,3
37sh-1,AMTS,37sh,Bapunagar ⇆ Kalupur Terminus,3
37sh-2,AMTS,37sh,Bapunagar ⇆ Vasna,3
40/1-1,AMTS,40/1,Vinobabhavenagar ⇆ Iskon Mandir,3
40/1-2,AMTS,40/1,Maninagar ⇆ Iskon Mandir,3
38/1-1,AMTS,38/1,Krushnanagar ⇆ Vaishali Township,3
38/1-2,AMTS,38/1,Lal Darwaja ⇆ Krushnanagar,3
38/1-3,AMTS,38/1,Vaishali Township ⇆ Vasna,3
39/3-1,AMTS,39/3,But Bhavani Mandir ⇆ Sarangpur,3
39/3-2,AMTS,39/3,But Bhavani Mandir ⇆ Bhakti Circle,3
39/3-3,AMTS,39/3,Sarangpur ⇆ Bhakti Circle,3
55,AMTS,55,Lal Darwaja ⇆ Arvind Polycoat (Khatraj),3
40/1-3,AMTS,40/1,Vinobabhavenagar ⇆ Maninagar,3
40/2-1,AMTS,40/2,Rajoda Patiya ⇆ Ranip Gam,3
