route_id,service_id,trip_id,trip_headsign,direction_id
65/2-1,"1,2,3,4,5,6,7",trip_6048098,Lal Darwaja,1
65/2-1,"1,2,3,4,5,6,7",trip_6057168,Lal Darwaja,1
65/2-1,"1,2,3,4,5,6,7",trip_6053938,Lal Darwaja,1
65/2-1,"1,2,3,4,5,6,7",trip_6057155,Lal Darwaja,1
65/2-1,"1,2,3,4,5,6,7",trip_6049075,Lal Darwaja,1
65/2-1,"1,2,3,4,5,6,7",trip_6057150,Lal Darwaja,1
65/2-1,"1,2,3,4,5,6,7",trip_6057156,Lal Darwaja,1
65/2-1,"1,2,3,4,5,6,7",trip_6048097,Santej (Shah Alloys),0
65/2-1,"1,2,3,4,5,6,7",trip_6057167,Santej (Shah Alloys),0
65/2-1,"1,2,3,4,5,6,7",trip_6053937,Santej (Shah Alloys),0
65/2-1,"1,2,3,4,5,6,7",trip_6057151,Santej (Shah Alloys),0
65/2-1,"1,2,3,4,5,6,7",trip_6049065,Santej (Shah Alloys),0
65/2-1,"1,2,3,4,5,6,7",trip_6057149,Santej (Shah Alloys),0
65/2-1,"1,2,3,4,5,6,7",trip_6057153,Santej (Shah Alloys),0
65/2-2,"1,2,3,4,5,6,7",trip_6053932,Arvind Polycoat (Khatraj),0
65/2-2,"1,2,3,4,5,6,7",trip_6051172,Arvind Polycoat (Khatraj),0
65/2-2,"1,2,3,4,5,6,7",trip_6057157,Arvind Polycoat (Khatraj),0
65/2-2,"1,2,3,4,5,6,7",trip_6049021,Arvind Polycoat (Khatraj),0
65/2-2,"1,2,3,4,5,6,7",trip_6057147,Arvind Polycoat (Khatraj),0
65/2-2,"1,2,3,4,5,6,7",trip_6053934,Arvind Polycoat (Khatraj),0
65/2-2,"1,2,3,4,5,6,7",trip_6048099,Arvind Polycoat (Khatraj),0
65/2-2,"1,2,3,4,5,6,7",trip_6052447,Arvind Polycoat (Khatraj),0
65/2-2,"1,2,3,4,5,6,7",trip_6057159,Arvind Polycoat (Khatraj),0
65/2-2,"1,2,3,4,5,6,7",trip_6049023,Arvind Polycoat (Khatraj),0
65/2-2,"1,2,3,4,5,6,7",trip_6057162,Arvind Polycoat (Khatraj),0
65/2-2,"1,2,3,4,5,6,7",trip_6057169,Arvind Polycoat (Khatraj),0
65/2-2,"1,2,3,4,5,6,7",trip_6048100,Arvind Polycoat (Khatraj),0
65/2-2,"1,2,3,4,5,6,7",trip_6057146,Arvind Polycoat (Khatraj),0
65/2-2,"1,2,3,4,5,6,7",trip_6057164,Arvind Polycoat (Khatraj),0
65/2-2,"1,2,3,4,5,6,7",trip_6057171,Arvind Polycoat (Khatraj),0
65/2-2,"1,2,3,4,5,6,7",trip_6053935,Arvind Polycoat (Khatraj),0
65/2-2,"1,2,3,4,5,6,7",trip_6048103,Arvind Polycoat (Khatraj),0
65/2-2,"1,2,3,4,5,6,7",trip_6057161,Arvind Polycoat (Khatraj),0
65/2-2,"1,2,3,4,5,6,7",trip_6049562,Arvind Polycoat (Khatraj),0
65/2-2,"1,2,3,4,5,6,7",trip_6057165,Arvind Polycoat (Khatraj),0
65/3,"1,2,3,4,5,6,7",trip_6055640,Lal Darwaja,1
65/3,"1,2,3,4,5,6,7",trip_6053214,Lal Darwaja,1
65/3,"1,2,3,4,5,6,7",trip_6053213,Lal Darwaja,1
65/3,"1,2,3,4,5,6,7",trip_6055639,Lal Darwaja,1
65/3,"1,2,3,4,5,6,7",trip_6053185,Lal Darwaja,1
65/3,"1,2,3,4,5,6,7",trip_6053215,Lal Darwaja,1
65/3,"1,2,3,4,5,6,7",trip_6053183,Lal Darwaja,1
65/3,"1,2,3,4,5,6,7",trip_6055641,Lal Darwaja,1
65/3,"1,2,3,4,5,6,7",trip_6053186,Lal Darwaja,1
65/3,"1,2,3,4,5,6,7",trip_6053216,Lal Darwaja,1
65/3,"1,2,3,4,5,6,7",trip_6053184,Lal Darwaja,1
65/3,"1,2,3,4,5,6,7",trip_6056536,Lal Darwaja,1
65/3,"1,2,3,4,5,6,7",trip_6053187,Lal Darwaja,1
65/3,"1,2,3,4,5,6,7",trip_6056538,Lal Darwaja,1
65/3,"1,2,3,4,5,6,7",trip_6051777,Lal Darwaja,1
65/3,"1,2,3,4,5,6,7",trip_6051779,Lal Darwaja,1
300-1,"1,2,3,4,5,6,7",trip_6055333,Maninagar,1
300-1,"1,2,3,4,5,6,7",trip_6055335,Maninagar,1
300-1,"1,2,3,4,5,6,7",trip_6055336,Maninagar,1
300-1,"1,2,3,4,5,6,7",trip_6052668,Maninagar,1
300-1,"1,2,3,4,5,6,7",trip_6055340,Maninagar,1
136-1,"1,2,3,4,5,6,7",trip_6051702,G.E.B (Naroda),1
136-1,"1,2,3,4,5,6,7",trip_6051281,G.E.B (Naroda),1
136-1,"1,2,3,4,5,6,7",trip_6051282,G.E.B (Naroda),1
136-1,"1,2,3,4,5,6,7",trip_6050333,G.E.B (Naroda),1
143sh,"1,2,3,4,5,6,7",trip_6051628,Kubadthal Gam,0
143sh,"1,2,3,4,5,6,7",trip_6051374,Kubadthal Gam,0
143sh,"1,2,3,4,5,6,7",trip_6049261,Kubadthal Gam,0
143sh,"1,2,3,4,5,6,7",trip_6051364,Kubadthal Gam,0
143sh,"1,2,3,4,5,6,7",trip_6051629,Kubadthal Gam,0
143sh,"1,2,3,4,5,6,7",trip_6049263,Kubadthal Gam,0
143sh,"1,2,3,4,5,6,7",trip_6051368,Kubadthal Gam,0
143sh,"1,2,3,4,5,6,7",trip_6051695,Kubadthal Gam,0
143sh,"1,2,3,4,5,6,7",trip_6049265,Kubadthal Gam,0
143sh,"1,2,3,4,5,6,7",trip_6051369,Kubadthal Gam,0
143sh,"1,2,3,4,5,6,7",trip_6051716,Kubadthal Gam,0
143sh,"1,2,3,4,5,6,7",trip_6049267,Kubadthal Gam,0
143sh,"1,2,3,4,5,6,7",trip_6051372,Kubadthal Gam,0
143sh,"1,2,3,4,5,6,7",trip_6052336,Kubadthal Gam,0
143sh,"1,2,3,4,5,6,7",trip_6049269,Kubadthal Gam,0
144-1,"1,2,3,4,5,6,7",trip_6055743,Arbudanagar,1
144-1,"1,2,3,4,5,6,7",trip_6055771,Arbudanagar,1
144-1,"1,2,3,4,5,6,7",trip_6055783,Arbudanagar,1
144-1,"1,2,3,4,5,6,7",trip_6055751,Arbudanagar,1
144-1,"1,2,3,4,5,6,7",trip_6055761,Arbudanagar,1
144-1,"1,2,3,4,5,6,7",trip_6055795,Arbudanagar,1
144-1,"1,2,3,4,5,6,7",trip_6056887,Arbudanagar,1
144-1,"1,2,3,4,5,6,7",trip_6055744,Arbudanagar,1
144-1,"1,2,3,4,5,6,7",trip_6056888,Arbudanagar,1
144-1,"1,2,3,4,5,6,7",trip_6055773,Arbudanagar,1
144-1,"1,2,3,4,5,6,7",trip_6056889,Arbudanagar,1
144-1,"1,2,3,4,5,6,7",trip_6055785,Arbudanagar,1
144-1,"1,2,3,4,5,6,7",trip_6055753,Arbudanagar,1
144-1,"1,2,3,4,5,6,7",trip_6055763,Arbudanagar,1
144-1,"1,2,3,4,5,6,7",trip_6055797,Arbudanagar,1
144-1,"1,2,3,4,5,6,7",trip_6056890,Arbudanagar,1
