type,number,constituency,representative,party
AC,37,Mansa,JAYANTIBHAI SOMABHAI PATEL (J.S. PATEL),BJP
AC,39,Viramgam,PATEL HARDIK BHARATBHAI,BJP
AC,35,Gandhinagar South,ALPESH KHODAJI THAKOR,BJP
AC,38,Kalol,FATESINH VAKHATSINH CHAUHAN,BJP
AC,36,Gandhinagar North,RITABEN KETANKUMAR PATEL,BJP
AC,34,Dehgam,CHAUHAN BALRAJSINH KALYANSINH,BJP
AC,41,Ghatlodia,PATEL BHUPENDRABHAI RAJNIKANT,BJP
AC,40,Sanand,KANUBHAI KARAMSHIBHAI PATEL,BJP
AC,44,Ellis Bridge,Amit Shah,BJP
AC,57,Daskroi,BABUBHAI JAMNADAS PATEL (B.J.P.),BJP
AC,42,Vejalpur,AMIT THAKER,BJP
AC,43,Vatva,Babusinh Sarabhai Jadav,BJP
AC,58,Dholka,KIRITSINH SARDARSANG DABHI,BJP
AC,59,Dhandhuka,Kalubhai Rupabhai Dabhi,BJP
AC,50,Amraiwadi,DR. HASMUKH PATEL,BJP
AC,52,Jamalpur-Khadia,IMRAN KHEDAWALA,INC
AC,47,Naroda,KUKRANI PAYAL MANOJKUMAR,BJP
AC,45,Naranpura,JITENDRAKUMAR RAMANLAL PATEL (JITU BHAGAT),BJP
AC,55,Sabarmati,PATEL HARSHADBHAI RANCHHODBHAI (HARSHAD PATEL),BJP
AC,56,Asarwa,Darshna M. Vaghela,BJP
AC,51,Dariapur,Kaushikbhai Sukhlal Jain (Kaushik Jain),BJP
AC,54,Danilimda,Shailesh Manubhai Parmar,INC
AC,48,Thakkarbapa Nagar,Kanchanben Vinubhai Radadiya,BJP
AC,46,Nikol,JAGDISH VISHWAKARMA,BJP
AC,49,Bapunagar,Dineshsinh Rajendrasinh Kushwaha,BJP
AC,53,Maninagar,Amul Bhatt,BJP
PC,4,MAHESANA,HARIBHAI PATEL,Bharatiya Janata Party
PC,6,GANDHINAGAR,AMIT SHAH,Bharatiya Janata Party
PC,7,AHMEDABAD EAST,HASMUKHBHAI PATEL (H.S.PATEL),Bharatiya Janata Party
PC,8,AHMEDABAD WEST(SC),DINESHBHAI MAKWANA (ADVOCATE),Bharatiya Janata Party
PC,9,SURENDRANAGAR,CHANDUBHAI CHHAGANBHAI SHIHORA,Bharatiya Janata Party
PC,17,KHEDA,DEVUSINH CHAUHAN,Bharatiya Janata Party
