Sl. No,Category,Address
1,State Central Library,"Sir Sheshadri Iyer Memorial Hall, Cubbon Park, Bangalore (TEL NO: 08022212128)"
2,City Central Library,"South Zone, South End Circle, Jayanagar Bangalore"
3,City Central Library,"Central Zone, Double Road, Bangalore"
4,City Central Library,"North Zone, Sampige Road, Malleswaram, Bangalore"
5,City Central Library,"East Zone, R.T.Nagar main road, V . V Nagar, Bangalore"
6,City Central Library,"West Zone, Hampinagar, Bangalore"
7,District Central Library,"Bangalore, PO: Vijaynagar (TEL NO: 08023159289)"
8,Public Library Department,"Visveswariah Tower,4th Floor,dr. Ambedkar Beedi"
9,Gram Panchayati Library,"Near Attibele Bus Stand, Attibele, PO: Attibele"
10,Gram Panchayati Library,"Ballur, PO: Ballur"
11,Gram Panchayati Library,"Bammasandra, PO: Bammasandra"
12,Gram Panchayati Library,"Baygadanahalli, PO: Baygadanahalli"
13,Gram Panchayati Library,"Chandrapura, PO: Chandrapura"
14,Gram Panchayati Library,"Marsur, PO: Marsur"
15,Gram Panchayati Library,"Mayasandra, PO: Mayasandra"
16,Gram Panchayati Library,"Mottanallur, PO: Mottanallur"
17,Gram Panchayati Library,"Nerealuru, PO: Nerealuru"
18,Gram Panchayati Library,"Huskur , Anekal Tq."
19,Gram Panchayati Library,"Handenahalli , Anekal Tq."
20,Gram Panchayati Library,"Jadigenahalli , Hoskote Tq."
21,Gram Panchayati Library,"Mugaluru , Anekal Tq."
22,Gram Panchayati Library,"Yamare , Anekal Tq."
23,Gram Panchayati Library,"Bidarguppe , Anekal Tq."
24,Gram Panchayati Library,"Surga Jakkanahalli , Anekal Tq."
25,Gram Panchayati Library,"Chandapur , Anekal Tq."
26,Gram Panchayati Library,"Henagara , Anekal Tq."
27,Gram Panchayati Library,"Hebbgodi , Anekal Tq."
28,Gram Panchayati Library,"Majara Hosahalli, PO: Doddaballapura Tq.,"
29,Gram Panchayati Library,"Aralumallige, PO: Doddaballapura Tq.,"
30,Gram Panchayati Library,"Samandur , Anekal Tq."
31,Gram Panchayati Library,"Sarjapur , Anekal Tq."
32,Gram Panchayati Library,"Attibele , Anekal Tq."
33,Gram Panchayati Library,"Karpur , Anekal Tq."
34,Gram Panchayati Library,"Mantapa , Anekal Tq."
35,Gram Panchayati Library,"Bashettihalli, PO: Doddababbapura"
36,Gram Panchayati Library,"Neralur , Anekal Tq."
37,Gram Panchayati Library,"Bygadadevanahalli , Anekal Tq."
38,Gram Panchayati Library,"Mayasandra , Anekal Tq."
39,Gram Panchayati Library,"Bommasandra , Anekal Tq."
40,Gram Panchayati Library,"Marsur , Anekal Tq."
41,Gram Panchayati Library,"Bannerugatta , Anekal Tq."
42,Gram Panchayati Library,"Hulimangala , Anekal Tq."
43,Gram Panchayati Library,"Narige , Anekal Tq."
44,Gram Panchayati Library,"Balluru , Anekal Tq."
45,Gram Panchayati Library,"Muthanlur , Anekal Tq."
46,Gram Panchayati Library,"Kudlu , Anekal Tq."
47,Gram Panchayati Library,"Domasandra , Anekal Tq."
48,Gram Panchayati Library,"Anekal (tq), Jigani, PO: Jigani, TEL NO: 9449392058"
49,Gram Panchayati Library,"Anekal (tq), Jigani (hobli), Kallubalu, PO: Kallubalu, TEL NO: 9880270491"
50,Gram Panchayati Library,"Anekal (tq), Ragihalli, PO: Ragihalli, TEL NO: 9343538278"
