Sl No.,Districts,District Central Grantha Rhythm,City Center Grantha Rhythm,City Center Grantha Rhythm (Rural),Branch Libraries,Community Children's Libraries (District),Recitation Rhythms / Hospital,Travel Libraries,Gram Panchayat Libraries,Sewer / Prison Libraries,The Rhythm of the Nomadic Grantha,Total
1,Bangalore,1,6,94,1,7,1,3,135,205,5,458
,1) North Zone   ,0,1,18,0,1,4,0,0,10,0,34
,2) Eastern Zone  ,0,1,24,0,0,0,0,0,6,0,31
,3) South Zone  ,0,1,24,0,2,0,0,5,,0,32
,4) West Zone,0,1,35,0,2,25,1,0,9,0,73
,5) Central zone,0,1,24,0,0,1,0,9,99,0,131
,State Central,0,1,0,0,1,0,0,0,0,0,2
2,Bangalore (GR),1,0,0,5,1,0,0,98,0,3,108
3,Ramanagara ,1,0,0,4,1,0,0,132,4,1,143
4,Chitradurga ,1,1,2,5,1,2,0,199,4,4,219
5,Davangere,1,1,5,5,1,9,1,242,0,0,265
6,Chola,1,1,0,5,2,2,0,159,4,10,184
7,Chikkaballapur,1,0,0,5,1,1,0,151,4,2,165
8,Shimoga,1,1,8,7,1,0,0,261,0,3,282
,Bhadravati ,0,1,0,3,0,1,0,0,0,0,5
9,Tumkur,1,1,4,10,1,1,1,331,3,0,353
10,Chikmagalur,1,1,1,8,1,0,0,226,4,4,246
11,Dakshina Kannada,1,1,15,25,2,0,1,206,4,2,257
12,Udupi,1,0,4,4,0,0,0,147,0,2,158
13,Hassan,1,1,6,9,3,0,0,260,4,0,284
14,Kodagu,1,0,0,6,1,0,0,98,0,1,107
15,Mandya,1,1,1,17,1,10,0,236,4,0,271
16,Mysore,1,1,22,7,1,3,1,236,4,2,278
17,Chamarajanagar,1,0,0,2,1,3,0,122,5,0,134
18,Belgaum,1,1,18,30,2,0,0,488,4,5,549
19,Bijapur,1,1,13,8,1,0,1,197,5,4,231
20,Bagalkot,1,0,0,17,1,0,0,163,4,3,220
21,Dharwad,1,1,23,3,16,0,127,4,3,220,
22,Gadag,1,1,4,10,1,1,0,106,4,0,128
23,Haveri,1,0,0,10,1,2,0,211,12,4,241
24,Uttara Kannada,1,0,0,11,1,0,0,218,2,0,233
25,Bellary,1,1,4,9,2,1,1,194,4,7,224
26,Bidar ,1,1,7,5,2,11,0,180,13,5,225
27,Gulbarga,1,1,16,10,0,1,0,216,4,10,259
28,Yadagiri,1,0,0,5,1,0,0,120,11,0,138
29,Raichur,1,1,1,11,0,6,0,164,20,16,220
30,Koppal ,1,0,0,7,1,0,0,134,7,0,150
,State Total,30,32,380,303,48,101,10,5766,472,93,7239
