level,constituency,name,party,source
AC,150 Yelahanka,S. R. Vishwanath,BJP,MyNeta Karnataka 2023 / ECI
AC,152 Byatarayanapura,Krishna Byregowda,INC,MyNeta Karnataka 2023 / ECI
AC,174 Mahadevapura,Manjula S.,BJP,MyNeta Karnataka 2023 / ECI
AC,155 Dasarahalli,S. Muniraju,BJP,MyNeta Karnataka 2023 / ECI
AC,151 K.R.Pura,B. A. Basavaraja,BJP,MyNeta Karnataka 2023 / ECI
AC,154 Rajarajeshwarinagar,Munirathna,BJP,MyNeta Karnataka 2023 / ECI
AC,153 Yeshvanthapura,S. T. Somashekar,BJP,MyNeta Karnataka 2023 / ECI
AC,160 Sarvagnanagar,K. J. George,INC,MyNeta Karnataka 2023 / ECI
AC,158 Hebbal,Suresh B. S.,INC,MyNeta Karnataka 2023 / ECI
AC,157 Malleshwaram,Ashwath Narayan C. N.,BJP,MyNeta Karnataka 2023 / ECI
AC,159 Pulakeshinagar(SC),A. C. Srinivasa,INC,MyNeta Karnataka 2023 / ECI
AC,156 Mahalakshmi Layout,K. Gopalaiah,BJP,MyNeta Karnataka 2023 / ECI
AC,162 Shivajinagar,Rizwan Arshad,INC,MyNeta Karnataka 2023 / ECI
AC,161 C.V. Raman Nagar(SC),S. Raghu,BJP,MyNeta Karnataka 2023 / ECI
AC,164 Gandhi Nagar,Dinesh Gundu Rao,INC,MyNeta Karnataka 2023 / ECI
AC,165 Rajaji Nagar,S. Suresh Kumar,BJP,MyNeta Karnataka 2023 / ECI
AC,166 Govindraj Nagar,Priya Krishna,INC,MyNeta Karnataka 2023 / ECI
AC,163 Shanti Nagar,N. A. Haris,INC,MyNeta Karnataka 2023 / ECI
AC,167 Vijay Nagar,M. Krishnappa,INC,MyNeta Karnataka 2023 / ECI
AC,168 Chamrajpet,B. Z. Zameer Ahmed Khan,INC,MyNeta Karnataka 2023 / ECI
AC,169 Chickpet,Uday B. Garudachar,BJP,MyNeta Karnataka 2023 / ECI
AC,170 Basavanagudi,Ravi Subramanya L. A.,BJP,MyNeta Karnataka 2023 / ECI
AC,172 B.T.M Layout,Ramalinga Reddy,INC,MyNeta Karnataka 2023 / ECI
AC,171 Padmanaba Nagar,R. Ashoka,BJP,MyNeta Karnataka 2023 / ECI
AC,173 Jayanagar,C. K. Ramamurthy,BJP,MyNeta Karnataka 2023 / ECI
AC,177 Anekal (SC),B. Shivanna,INC,MyNeta Karnataka 2023 / ECI
AC,175 Bommanahalli,M. Satish Reddy,BJP,MyNeta Karnataka 2023 / ECI
AC,176 Bangalore South,M. Krishnappa,BJP,MyNeta Karnataka 2023 / ECI
PC,Bangalore North,Shobha Karandlaje,BJP,Wikipedia 18th Lok Sabha / ECI 2024 / elections.tn.gov.in
PC,Bangalore Central,P. C. Mohan,BJP,Wikipedia 18th Lok Sabha / ECI 2024 / elections.tn.gov.in
PC,Bangalore South,Tejasvi Surya,BJP,Wikipedia 18th Lok Sabha / ECI 2024 / elections.tn.gov.in
