sl_no,park_name,ward,zone
1,Colony Park at Prasanti Vihar-I LP 189,1,North
2,Colony Park at Prasanti Vihar-I LP 334,1,North
3,Colony Park at Prasanti Vihar-II LP 560,1,North
4,Prasanti Vihar Plot no-1075 in front of Bharat Panigrahi Reddy house,1,North
5,Shikhar Chandi Cluster-1 Plot No-31,1,North
6,Nandan Vihar Housing Board Colony Park,1,North
7,Kanan Vihar Phase-I,3,North
8,Kanan Vihar Phase-II,3,North
9,Baradei Colony Park Baradei Basti,3,North
10,Colony Park at Sailashree Vihar Ph-VII Plot No-258(A),6,North
11,Colony Park at Sailashree Vihar Ph-VII Plot No-258(B),6,North
12,Sailashree Vihar Near Plot No.VIM-162,7,North
13,Sailashree Vihar Near Plot No.VIM-95,7,North
14,Sailashree Vihar Near Plot No.VIM-791,7,North
15,Sailashree Vihar Near Plot No.VIM-683,7,North
16,Sailashree Vihar Near Plot No.VIM-242,7,North
17,Sailashree Vihar VIM-Plot No-581,7,North
18,HB Colony in front of Kalamandir Plot no-308 District Centre,8,North
19,OSHB Colony Park Chandrasekharpur MIG-I Sishu Udyan,8,North
20,Prachi Enclave Phase-II Park Chandrasekharpur,8,North
21,HB Colony HIG-14 Chandrasekharpur,8,North
22,Prachi Enclave Phase-I Park-I CSPUR,8,North
23,Prachi Enclave Phase-I Park-II CSPUR,8,North
24,OSHB MIG-II Chandrasekharpur,8,North
25,Ranganath Deva Park Rangamatia,9,North
26,Rangamatia Children Park,9,North
27,Omm Lotous Colony Park VSS Nagar,11,North
28,G.L. Colony Park VSS Nagar,11,North
29,VSS Nagar Ward No.-11 AE Colony Park,11,North
30,D.L Colony Park VSS Nagar,11,North
31,Park at Vira Surendra Sai Statue,11,North
32,New Govt. Colony Park Near Press Chhaka,12,North
33,Kali Mandira Park Gajapati Nagar,12,North
34,BDA Colony Park Phase-I (LIG),13,North
35,BDA (EWS) Chandra Sekharpur,13,North
36,Colony Park Chandra Sekharpur Phase-II (MIG-2),13,North
37,Colony Park MIG-II Chandrasekharpur,13,North
38,Niladri Vihar Sector V Lane-1 in front of Plot No-282,14,North
39,Colony Park at Niladri Vihar Sector-III,14,North
40,Colony Park at Niladri Vihar Sector-V,14,North
41,Niladri Vihar Lumbini Vihar Plot No-78,14,North
42,Rental Colony Park Rental Baramunda,15,South West
43,Maitree Vihar Duplex Park,16,North
44,Maitree Vihar Colony Park,16,North
45,Vani Vihar Campus Colony Park,17,North
46,GGP Colony Park Rasulgarh,19,North
47,G.A. Plotted Area Park Bharatpur,22,South West
48,Bharatpur B1,22,South West
49,Bharatpur B1,22,South West
50,Telco Colony Park,23,South West
51,K-5 Kalinga Nagar Park,23,South West
52,Colony Park at Kalinga Nagar Plot No:138-148,23,South West
53,K-5/505 Kalinga Nagar,23,South West
54,K-4/1580 Kalinga Nagar,23,South West
55,K-4/1565 Kalinga Nagar,23,South West
56,K-4/1568 Kalinga Nagar,23,South West
57,K-4/1569 Kalinga Nagar,23,South West
58,K-3/A Kalinga Nagar,23,South West
59,K-1 Kalinga Nagar,23,South West
60,HIG-155 K-5 Kalinga Nagar,23,South West
61,HIG-317 K-5 Kalinga Nagar,23,South West
62,HIG-156 K-III (A) Kalinga Nagar,23,South West
63,LIG-831 K-4 Kalinga Nagar,23,South West
64,HIG-899 K-4 Kalinga Nagar,23,South West
65,HIG-979 K-4 Kalinga Nagar,23,South West
66,Kalinga Nagar K-3 B,23,South West
67,Kalinga Nagar 1576 (in front of Plot No-423),23,South West
68,Kalinga Nagar 1577 (in front of Plot No-449),23,South West
69,Kalinga Nagar K-8 (Big Park),23,South West
70,Kalinga Nagar K-8 (Small Park),23,South West
71,Kalinga Nagar K-1,23,South West
72,Kalinga Nagar K-2,23,South West
73,Kalinga Nagar K-2,23,South West
74,K-4 1571 Kalinga Nagar Park,23,South West
75,K-3B HIG-275 Kalinga Nagar Park,23,South West
76,K-4 1573 Kalinga Nagar Park,23,South West
77,K-6A Kalinga Nagar Park,23,South West
78,K-5 Kalinga Nagar Park,23,South West
79,Kalinga Nagar K-1,23,South West
80,Kalinga Nagar K-3 B (Plot No-103/K3),23,South West
81,K-4 1561 Kalinga Nagar Park (LIG-992),23,South West
82,K-4 1562 Kalinga Nagar Park (LIG-909),23,South West
83,HIG Colony Park Baramunda,24,South West
84,Pragyana Vihar Park Baramunda,24,South West
85,Census Colony Park Baramunda,24,South West
86,LIG Colony Park Baramunda,24,South West
87,Tinikonia Park Baramunda HB Colony,24,South West
88,E Type Flat Colony Park Baramunda,24,South West
89,N/4 Nayapalli Colony Park (NEW) Nayapalli,25,South West
90,N/4 Nayapalli Colony Park (OLD),25,South West
91,Triangular Park IRC Village Ward-25 In Front of ED Office,25,South West
92,Nayapalli Police Colony Park,25,South West
93,Acharya Harihar Park at Acharya Vihar,28,South East
94,R.I.E Campus Near AG Colony,28,South East
95,Reserve Police Colony Park,28,South East
96,New AG Colony Park,28,South East
97,Colony Park at Unit-IX BSNL Office,29,South East
98,Sensory Park,30,South East
99,Robert Park,30,South East
100,OMC Park,30,South East
101,Triangular Park,30,South East
102,Saheed Nagar Park,30,South East
103,Jaydurga Nagar Colony Park Bomikhal,33,South East
104,Stage-IV Colony Park-I Jharapada,33,South East
105,Stage-IV Colony Park-II Jharapada,33,South East
106,Mahaveer Nagar BDA Colony Park Jharapada,33,South East
107,Jharapada Stage-V Park,33,South East
108,Colony Park at Plot No-669 Satya Nagar,34,South East
109,Bhimbhoi Park Unit-9,35,South East
110,Colony Park at Postal Colony Unit-IV,36,South East
111,Colony Park at Madhusudan Nagar,36,South East
112,Old AG Colony Park,36,South East
113,Bhoumya Nagar Park,36,South East
114,Nayapalli Brit Colony Park (Amrut),38,South West
115,Nayapalli Brit Colony Park (Ward Budget),38,South West
116,Nayapalli Brit Colony Park-1,39,South West
117,Nayapalli Brit Colony Park-2,39,South West
118,Nayapalli Brit Colony Park-3,39,South West
119,Mini Park at SBI QTR from Sastri Nagar,39,South West
120,Mini Park at Nilakantha Nagar,39,South West
121,Shisu Udyan Park Ashok Nagar,40,South East
122,Santosh Vihar Laxmisagar,43,South East
