S.No,Zone. No,Div.No,UCHC  Name,   UCHC Address
1,I,11,Kuppam   ," No.1, School street,Jothy Nagar,Kuppam."
2,II,21,Manali   ,"No 1 Nedunchezian Salai
manali Chennai -68"
3,III,26,Madhavaram   ,"No 47, Swamy Nagar Madhavaram Chennai - 60"
4,IV,47,R.K. Nagar   ,"No.88, K.H Road , Korukkupet,    Ch-21"
5,V,49,Sanjeevarayanpet   ,"No.194, Solaiappar st, Ch- 21."
6,VI,73,Pulianthope   ,"42, Thiruvenkadasamy street, Puliyanthope, ch-12"
7,VII,87,Padi   ,"No. 5, Church St, TMP Nagar, Padi, Ch - 50"
8,VIII,96,Ayanavaram   ,"29, United India nagar, Ayanavaram ch-23"
9,IX,119,Mirsahibpet  ,"No.11, Begum 5th street, Royapettah, ch-14"
10,X,134,Vadapalani   ,"No : 65, Arcot Road, Kodambakkam, Ch - 24"
11,XI,153,Porur   ,"4, Senthil nagar, Hospital road, Chinna porur, ch-116"
12,XII,160,Alandur    ,"No.56, Sowri St,
Alandur, Ch - 16"
13,XIII,175,Adyar   ,"NO:2 Venkatarathinam nagar, Adyar, ch-20."
14,XIV,184,Perungudi   ,"Next Divition office, School road, Perungudi, ch-96"
15,XV,195,Kannagi Nagar,"Kannagi nagar- Slum clearence, Kannagi nagar, chennai-115,"
16,XV,196,Injambakkam,"VOC street, Injambakkam, Near Amma unavagam, Injembakam Periperal hospital, ch-115"
