Sl No,Library Name,Type,Authority
1,"Connemara Public Library, Pantheon Road, Egmore, Chennai, Tamil Nadu 600008",Public Library,
2,"Anna Centenary Library, Gandhi Mandapam Road, Kotturpuram, Chennai 600085",Centenary Library,
3,"No.735,Annasalai Chennai -600002.",District Central library,"Local Library Authority, Chennai"
4,"No. 35 ,11thAvenue ashok nagar Chennai - 600083",Central library,"Local Library Authority, Chennai"
5," No.16, Bharathi dasan salai, alwarpet -600018",Central library,"Local Library Authority, Chennai"
6," No. 5, United India colony ,ayanavaram Chennai -600023",Central library,"Local Library Authority, Chennai"
7, Bulla avenue shenoy nagar Chennai -600030.,Central library,"Local Library Authority, Chennai"
8, 4 th main road Gandhi nagar adayar -600020.,Central library,"Local Library Authority, Chennai"
9,No. 12 Karthikeyan salai Periyar nagar agaram Chennai -600082,Full time library,"Local Library Authority, Chennai"
10,"No.2,south mada st Villivakkam Chennai - 600049.",Full time library,"Local Library Authority, Chennai"
11,No. 159. Big street triplicane. Chennai -600005.,Full time library,"Local Library Authority, Chennai"
12,No. 13 th Central cross street. Mahakavi barathiyar nagar vyasar padi Chennai - 600039,Full time library,"Local Library Authority, Chennai"
13,"No. 80, Nelvayal salai, pady field road Chennai - 600011.",Full time library,"Local Library Authority, Chennai"
14,"No. 13 , Bashyam st, old washermentpet, Chennai -600021.",Full time library,"Local Library Authority, Chennai"
15,"No. 153, 6thavenue Velacheri, thandeeswaran thotam. Chennai -600042",Full time library,"Local Library Authority, Chennai"
16,Muttukadu main road. Thiruvanmiyur. Chennai - 600041,Full time library,"Local Library Authority, Chennai"
17,"No. 394/1,G.E. Indirani K.K. nagar Chennai - 600078.",Full time library,"Local Library Authority, Chennai"
18,"No. 45 Krishnamurthy salai, erukancheri. Chennai - 600118.",Full time library,"Local Library Authority, Chennai"
19,No. 18 Navanethammal st. saligramam. Chennai - 600093.,Full time library,"Local Library Authority, Chennai"
20,"No.216,A.M. Block 1stMain road, anna nagar,Chennai-600102",Full time library,"Local Library Authority, Chennai"
21,"Thai sey nala maruthuvamanai, panthian salai. egmore. Chennai - 8",Branch library,"Local Library Authority, Chennai"
22,"No. 160, Peters colony Chennai -600014",Branch library,"Local Library Authority, Chennai"
23,"Mangalapuram,chetput. Chennai -600031.",Branch library,"Local Library Authority, Chennai"
24,Royapetah hospital . royapetah . Chennai - 600014,Branch library,"Local Library Authority, Chennai"
25,"No. 97/30, Athithanar salai womens pudupet. Chennai -600002.",Branch library,"Local Library Authority, Chennai"
26,"No. 9 five parlong road, Maduvan karai guindy Chennai -600032.",Branch library,"Local Library Authority, Chennai"
27,No.4 Athithanar salai gents pudupet Chennai -600002.,Branch library,"Local Library Authority, Chennai"
28,"No.4 Vellala st kodambakkam , Chennai - 600024",Branch library,"Local Library Authority, Chennai"
29,No. 5 Nagappa mudali st. goiya thoppu pudupet Chennai -600002,Branch library,"Local Library Authority, Chennai"
30,"No. 6 th first st, A.V.M Nagar, Virutham Pakkam Chennai -600092",Branch library,"Local Library Authority, Chennai"
31,"No. 1 th first st, Kochinillam , police Quarters Chennai -600006",Branch library,"Local Library Authority, Chennai"
32,"Jhones road , saidapet Chennai -600015",Branch library,"Local Library Authority, Chennai"
33,Childrens hospital egomre Chennai -600008,Branch library,"Local Library Authority, Chennai"
34,No . 7 3rdst Raghavan colony jhabarghan pettai. Chennai -600083.,Branch library,"Local Library Authority, Chennai"
35,Brindavan nagar west velachery . Chennai - 600042,Branch library,"Local Library Authority, Chennai"
36,No. 3 3th nizhal salai ahsok nagar pudur Chennai -600083,Branch library,"Local Library Authority, Chennai"
37,NO. 10 Leynord st royapethah Chennai -600014,Branch library,"Local Library Authority, Chennai"
38,No. 31 pudu st west mambalam. Chennai 600033,Branch library,"Local Library Authority, Chennai"
39,"No. 11, anjaneyer koil st sydapet Chennai -600015",Branch library,"Local Library Authority, Chennai"
40,"No. 1/26, First circular street Jawar nagar Chennai - 600082",Branch library,"Local Library Authority, Chennai"
41,"No . 2/34, Gugan st, puliyur puram , Kodam bakkam. Chennai -600074",Branch library,"Local Library Authority, Chennai"
42,"No. E.26/ venkada puram chinnamalai,saidapet,Chennai-600015",Branch library,"Local Library Authority, Chennai"
43,"No.T.62 PWD government quarters thadander nagar,saidapet,Chennai-600015",Branch library,"Local Library Authority, Chennai"
44,"No.239,paper mills road,perambur,Chennai-600011",Branch library,"Local Library Authority, Chennai"
45,"No.282,arcot salai (ram theatre opp)Chennai-600024",Branch library,"Local Library Authority, Chennai"
46,"No.66,muthaiah street vallalar teynampet,Chennai-600086",Branch library,"Local Library Authority, Chennai"
47,"No.4,3rdcross street seeenivasan nagar kolathur,Chennai-600099",Branch library,"Local Library Authority, Chennai"
48,"H.block 15/16 kotturpuram,Chennai-600085",Branch library,"Local Library Authority, Chennai"
49,"Branch library,ESI hospital ayanpuram Chennai-600023",Branch library,"Local Library Authority, Chennai"
50,"No.l Durn bulls road,nandhanam,Chennai-600035",Branch library,"Local Library Authority, Chennai"
51,"29,Madurai pillai st,ayanavaram Chennai-600023",Branch library,"Local Library Authority, Chennai"
52,"saint maries salai,mylapore,Chennai-600004",Branch library,"Local Library Authority, Chennai"
53,"Branch library,venghupillai st,egmore,Chennai-600008",Branch library,"Local Library Authority, Chennai"
54,"75/1,nochi nagar,mylapore,Chennai-600004",Branch library,"Local Library Authority, Chennai"
55,"Branch library,70,arunachalam st,chindadaripet,Chennai-600002",Branch library,"Local Library Authority, Chennai"
56,"178,vm st,royapettah,Chennai-600014",Branch library,"Local Library Authority, Chennai"
57,"27/13,erikarai,nungambakkam 2ndcross st,chennai-600034",Branch library,"Local Library Authority, Chennai"
58,"2,Lloyds colony,triplicane,Chennai-600005",Branch library,"Local Library Authority, Chennai"
59,"military quarters,pudupet,Chennai-600002",Branch library,"Local Library Authority, Chennai"
60,"139,bells road(ladies)triplicane,Chennai-600005",Branch library,"Local Library Authority, Chennai"
61,"4 koil st,kilpauk,Chennai-600010",Branch library,"Local Library Authority, Chennai"
62,"Victoria viduthi st,kasturi bhai Gandhi hospital,triplicane,Chennai-600005",Branch library,"Local Library Authority, Chennai"
63,"no.5,dharmapuram(ramakanthapuram),t.nagar Chennai-600006",Branch library,"Local Library Authority, Chennai"
64,"no.8 south beach road,triplicane,Chennai-600005",Branch library,"Local Library Authority, Chennai"
65,No. 3 Sivanyanam salai T. Nagar Chennai -600017.,Branch library,"Local Library Authority, Chennai"
66,"No. T.P. chatiram, shenoy nagar Chennai -600030",Branch library,"Local Library Authority, Chennai"
67,"No. 36/18, Sundaram pillai sandhu purasaiwakkam Chennai-600017",Branch library,"Local Library Authority, Chennai"
68,"Venkatesapuram pudiya colony, kannigapuram . Chennai -600012",Branch library,"Local Library Authority, Chennai"
69,"Arunachakm st, puraisai wakkam Chennai -600007.",Branch library,"Local Library Authority, Chennai"
70,"No. 753 ,N.V.N. Nagar. Annanagar Chennai -600040",Branch library,"Local Library Authority, Chennai"
71,"No.171 ,Bagthachalam poonga, dimalas rood Chennai -600012",Branch library,"Local Library Authority, Chennai"
72,"106, vinayagapuram main rood ,M.M.D..A. colony Chennai -600106",Branch library,"Local Library Authority, Chennai"
73,"No.116 , EVR periyar high rood, Nehru poonga Chennai -600084",Branch library,"Local Library Authority, Chennai"
74,"Thiruvenkat puram ,first street choolamedu, Chennai -600094",Branch library,"Local Library Authority, Chennai"
75,"No. 1 Arunachalam st koshan mandapam,chintathripet, Chennai -600002",Branch library,"Local Library Authority, Chennai"
76,No. 1. C.P. sitrarasu street SBI colony arumbakkan Chennai -600106,Branch library,"Local Library Authority, Chennai"
77,Oteri police quaterers oteri Chennai -600012,Branch library,"Local Library Authority, Chennai"
