SI No,Zone,Ward,Location address of the shelter,Type of shelter,Shelter coordinator Name and Mobile Number,SI's Name and Mobile Number,ZHO and SO Name & mobile number
1,1,5,"Rehobath educational trust,No.7, Thiru nagar Extn. Thirunagar, Thiruvotiyur, Chennai",Men,Sunil Jeeva 8681840502,Ganga - SI 8870406628,Thiru. Sheik Meeran (S.O) 9445025801 9444090150
2,1,8,"Rehobath educational trust,NO.392, TH Road, Thiruvotiyur, Chennai.",Women,Sebastinal 9159419496,Sathish - SI 9445025808,Thiru. Sheik Meeran (S.O) 9445025801 9444090150
3,2,19,"ARM ,R 55, No.106th street, 3rd Main road, Mathur, Manali, Ch -68",Men,Antony 9659994637,Balan- SI 9994603354,Meenakshi Sundaram (S.O) 9445190682
4,3,26,"Village education women and children re habitations societyCMDA trunk terminal Madhavaram, Chennai-60",Men,Rajiv 9944413189,Sakthivel - SI 9940673653,Jawhar George (SO) 9444464412
5,4,35,"Don Bosco Anbu lllam,No.12, Karunanithi street, Kodunkaiyur, Chennai - 118",Girls,Preethi 8220157504,Dinadayalan - SI 9445025828,Jawahar 7358240844
6,4,37,"Don Bosco Anbu lllam,No.6, Sarvapalli street, Mallishwari Nagar, Erukkancheri, Chennai - 118.",Boys,Regan 9566105548,Suresh 9445025834,Ramesh 9445025841
7,4,37,"Arunodhaya,Raja Rathinam Nagar, Kodungaiyur, Chennai-118",Care and protection centre for children (Boys,Vasantha 9941760427,Suresh 9445025834,Ramesh 9445025841
8,4,37,"Real Charitable trust,No.1350/33, 19thEast Cross Street, MKB Nagar, Chennai-39",Men,Barath 8681948111,Suresh 9445025834,Ramesh 9445025841
9,4,39,"Karunalaya,Cheriyan Nagar, Old Community hall, 3rdstreet. New Washermenpet, Chennai-21",Care and protection centre for children (Girls),Hemalatha 7708409253,Muthumani - SI 9445025839,Lakshmanan (SO) 9940024591
10,4,43,"Anbagam,CDH Hospital, Tontaiyar pet, Chennai-81",Mentally challenged Women,Rafiya 8807865616,Subbarayalu - SI 9894665642,Prabakaran (SO) 9444362700
11,4,43,"Anbagam,CDH Hospital, Tondaiyar pet, Chennai-81",Mentally challenged Men,Angeline Bright Singh 9150738547,Subbarayalu - SI 9894665642,Prabakaran (SO) 9444362700
12,5,52,"INDIA,Stanley Hospital, Old Jail Road, Chennai-01",Women,Lubna 8129154333,Siva Balan 9445025855,Mapillai Durai (SO) 9444138148
13,5,52,"Turning Point Foundation,Stanley Hospital, Old Jail Road, Chennai-01",Men,Vignesh 9842493255,Ananthkar 9445025852,Krishnan 9445025850
14,5,52,"Rojavanam Senior citizens care centre,RSRM Hospital, Cemetery Road, Royapuram, Chennai-13.",Men,P.John Aldo 9942050202,Ananthkar 94450225852,Krishnan 9445025850
15,5,52,"Gracious Home,RSRM Hospital, Cemetery Road, Royapuram, Chennai-13.",Women,Rebeca 8144454400,Ananthkar 94450225852,Krishnan 9445025850
16,5,56,"PLANT Trust,Chennai Middle School, B.R.N. Colony, Chennai",Boys,Magimai 8122234039,Kowshik- SI 9445025856,Mapillai Durai (SO) 9444138148
17,5,58,"Society for Women empowerment & development education (SWEDEN),Rajiv Gandhi General Hospital, Park Town, Chennai.",Special shelter- Women,Surya 7402448383,Saravana Kumar 9445025859,Vasudevan 9445190685
18,5,60,"Siga,Rajaji salai, Ibrahim street, Chennai-01",Women & Children,Shanthini 7449267253,Kowshik- SI 9445025856,Mapillai Durai (SO) 9444138148
19,5,61,"Your Hope is Remaining,Institue of obstetrics and gynecology Government Hospital, Egmore, Chennai.",Special shelter - Men,Srinivasan 8072243372,Saravana Kumar 9445025859,Vasudevan 9445190685
20,5,61,"Trust Organization for Women Environment and Rural (TOWER),Institute of Child Health, Egmore, Chennai.",Special shelter- Women,Anitha 8608932554,Saravana Kumar 9445025859,Vasudevan 9445190685
21,5,61,"SEESHA,Institute of obstetrics and gynecology Government Hospital, Egmore, Chennai.",Special shelter- Women,Helen 8973233838,Saravana Kumar 9445025859,Vasudevan 9445190685
22,5,62,"VizhiththezhuCox colony Chindaripet, Chennai-02",Men and Women,Lakshmi Bharathi 7358231623,Alexpandian - SI 9629987460,Vasudevan 9445190685
23,6,68,"Pioneer trade,Teeds garden. Near Venus theatre Chembiyam, Che-11",Elderly Men and Women,Giridharan 9003093525,Mrs. Ponrathi - SI 9445025865,Sivagnanam (SO) 9444132493
24,6,77,"ICWO,Thatangulam, Temelous road, Pattalam, Che -12",Elderly Men and Women,Palani 9443500212,Thanga pandi - SI 9791204889,Thanga Raj (SO) 9445025885
