City Name,Zone Name,Ward Name,Ward No.,Total number of households (HH),HH part of the city sewerage network,Number of Households with toilets,Number of free public toilets - Female,Number of free public toilets - Male,Number of paid public toilets - Female,Number of paid public toilets - Male
Chennai,Thiruvotriyur,NA,1,NA,NA,NA,10,10,0,0
Chennai,Thiruvotriyur,NA,2,NA,NA,NA,15,15,0,0
Chennai,Thiruvotriyur,NA,3,NA,NA,NA,8,8,0,0
Chennai,Thiruvotriyur,NA,4,NA,NA,NA,2,2,0,0
Chennai,Thiruvotriyur,NA,5,NA,NA,NA,2,2,0,0
Chennai,Thiruvotriyur,NA,6,NA,NA,NA,0,0,0,0
Chennai,Thiruvotriyur,NA,7,NA,NA,NA,5,5,0,0
Chennai,Thiruvotriyur,NA,8,NA,NA,NA,1,1,0,0
Chennai,Thiruvotriyur,NA,9,NA,NA,NA,5,5,0,0
Chennai,Thiruvotriyur,NA,10,NA,NA,NA,1,1,0,0
Chennai,Thiruvotriyur,NA,11,NA,NA,NA,5,5,0,0
Chennai,Thiruvotriyur,NA,12,NA,NA,NA,0,0,0,0
Chennai,Thiruvotriyur,NA,13,NA,NA,NA,0,0,0,0
Chennai,Thiruvotriyur,NA,14,NA,NA,NA,1,1,0,0
Chennai,Manali,NA,15,NA,NA,NA,2,2,0,0
Chennai,Manali,NA,16,NA,NA,NA,8,8,0,0
Chennai,Manali,NA,17,NA,NA,NA,6,6,0,0
Chennai,Manali,NA,18,NA,NA,NA,1,1,0,0
Chennai,Manali,NA,19,NA,NA,NA,3,3,0,0
Chennai,Manali,NA,20,NA,NA,NA,0,0,0,0
Chennai,Manali,NA,21,NA,NA,NA,1,1,0,0
Chennai,Madhavaram,NA,22,NA,NA,NA,1,1,0,0
Chennai,Madhavaram,NA,23,NA,NA,NA,2,2,0,0
Chennai,Madhavaram,NA,24,NA,NA,NA,2,2,0,0
Chennai,Madhavaram,NA,25,NA,NA,NA,1,1,0,0
Chennai,Madhavaram,NA,26,NA,NA,NA,5,5,0,0
Chennai,Madhavaram,NA,27,NA,NA,NA,4,4,0,0
Chennai,Madhavaram,NA,28,NA,NA,NA,0,0,0,0
Chennai,Madhavaram,NA,29,NA,NA,NA,2,2,0,0
Chennai,Madhavaram,NA,30,NA,NA,NA,2,2,0,0
Chennai,Madhavaram,NA,31,NA,NA,NA,10,10,0,0
Chennai,Madhavaram,NA,32,NA,NA,NA,1,1,0,0
Chennai,Madhavaram,NA,33,NA,NA,NA,4,4,0,0
Chennai,Tondiarpet,NA,34,NA,NA,NA,2,2,0,0
Chennai,Tondiarpet,NA,35,NA,NA,NA,5,5,0,0
Chennai,Tondiarpet,NA,36,NA,NA,NA,7,7,0,0
Chennai,Tondiarpet,NA,37,NA,NA,NA,5,5,0,0
Chennai,Tondiarpet,NA,38,NA,NA,NA,1,1,0,0
Chennai,Tondiarpet,NA,39,NA,NA,NA,1,1,0,0
Chennai,Tondiarpet,NA,40,NA,NA,NA,2,2,0,0
Chennai,Tondiarpet,NA,41,NA,NA,NA,1,1,0,0
Chennai,Tondiarpet,NA,42,NA,NA,NA,2,2,0,0
Chennai,Tondiarpet,NA,43,NA,NA,NA,7,7,0,0
Chennai,Tondiarpet,NA,44,NA,NA,NA,0,0,0,0
Chennai,Tondiarpet,NA,45,NA,NA,NA,7,7,0,0
Chennai,Tondiarpet,NA,46,NA,NA,NA,9,9,0,0
Chennai,Tondiarpet,NA,47,NA,NA,NA,7,7,0,0
Chennai,Tondiarpet,NA,48,NA,NA,NA,3,3,0,0
Chennai,Royapuram,NA,49,NA,NA,NA,3,3,0,0
Chennai,Royapuram,NA,50,NA,NA,NA,8,8,0,0
Chennai,Royapuram,NA,51,NA,NA,NA,1,1,0,0
Chennai,Royapuram,NA,52,NA,NA,NA,11,11,0,0
Chennai,Royapuram,NA,53,NA,NA,NA,16,16,0,0
Chennai,Royapuram,NA,54,NA,NA,NA,7,7,0,0
Chennai,Royapuram,NA,55,NA,NA,NA,2,2,0,0
Chennai,Royapuram,NA,56,NA,NA,NA,3,3,0,0
Chennai,Royapuram,NA,57,NA,NA,NA,7,7,0,0
Chennai,Royapuram,NA,58,NA,NA,NA,10,10,0,0
Chennai,Royapuram,NA,59,NA,NA,NA,16,16,0,0
Chennai,Royapuram,NA,60,NA,NA,NA,7,7,0,0
Chennai,Royapuram,NA,61,NA,NA,NA,13,13,0,0
Chennai,Royapuram,NA,62,NA,NA,NA,9,9,0,0
Chennai,Royapuram,NA,63,NA,NA,NA,11,11,0,0
Chennai,Thiru vi ka Nagar,NA,64,NA,NA,NA,2,2,0,0
Chennai,Thiru vi ka Nagar,NA,65,NA,NA,NA,1,1,0,0
Chennai,Thiru vi ka Nagar,NA,66,NA,NA,NA,1,1,0,0
Chennai,Thiru vi ka Nagar,NA,67,NA,NA,NA,1,1,0,0
Chennai,Thiru vi ka Nagar,NA,68,NA,NA,NA,4,4,0,0
Chennai,Thiru vi ka Nagar,NA,69,NA,NA,NA,5,5,0,0
Chennai,Thiru vi ka Nagar,NA,70,NA,NA,NA,7,7,0,0
Chennai,Thiru vi ka Nagar,NA,71,NA,NA,NA,7,7,0,0
Chennai,Thiru vi ka Nagar,NA,72,NA,NA,NA,11,11,0,0
Chennai,Thiru vi ka Nagar,NA,73,NA,NA,NA,7,7,0,0
Chennai,Thiru vi ka Nagar,NA,74,NA,NA,NA,5,5,0,0
Chennai,Thiru vi ka Nagar,NA,75,NA,NA,NA,5,5,0,0
Chennai,Thiru vi ka Nagar,NA,76,NA,NA,NA,10,10,0,0
Chennai,Thiru vi ka Nagar,NA,77,NA,NA,NA,7,7,0,0
Chennai,Thiru vi ka Nagar,NA,78,NA,NA,NA,3,3,0,0
Chennai,Ambattur,NA,79,NA,NA,NA,1,1,0,0
Chennai,Ambattur,NA,80,NA,NA,NA,0,0,0,0
Chennai,Ambattur,NA,81,NA,NA,NA,1,1,0,0
Chennai,Ambattur,NA,82,NA,NA,NA,0,0,0,0
Chennai,Ambattur,NA,83,NA,NA,NA,2,2,0,0
Chennai,Ambattur,NA,84,NA,NA,NA,0,0,0,0
Chennai,Ambattur,NA,85,NA,NA,NA,0,0,0,0
Chennai,Ambattur,NA,86,NA,NA,NA,0,0,0,0
Chennai,Ambattur,NA,87,NA,NA,NA,0,0,0,0
Chennai,Ambattur,NA,88,NA,NA,NA,0,0,0,0
Chennai,Ambattur,NA,89,NA,NA,NA,0,0,0,0
Chennai,Ambattur,NA,90,NA,NA,NA,1,1,0,0
Chennai,Ambattur,NA,91,NA,NA,NA,0,0,0,0
Chennai,Ambattur,NA,92,NA,NA,NA,0,0,0,0
Chennai,Ambattur,NA,93,NA,NA,NA,0,0,0,0
Chennai,Anna Nagar,NA,94,NA,NA,NA,1,1,0,0
Chennai,Anna Nagar,NA,95,NA,NA,NA,3,3,0,0
Chennai,Anna Nagar,NA,96,NA,NA,NA,6,6,0,0
Chennai,Anna Nagar,NA,97,NA,NA,NA,1,1,0,0
Chennai,Anna Nagar,NA,98,NA,NA,NA,2,2,0,0
Chennai,Anna Nagar,NA,99,NA,NA,NA,0,0,0,0
Chennai,Anna Nagar,NA,100,NA,NA,NA,4,4,0,0
Chennai,Anna Nagar,NA,101,NA,NA,NA,3,3,0,0
Chennai,Anna Nagar,NA,102,NA,NA,NA,9,9,0,0
Chennai,Anna Nagar,NA,103,NA,NA,NA,11,11,0,0
Chennai,Anna Nagar,NA,104,NA,NA,NA,11,11,0,0
Chennai,Anna Nagar,NA,105,NA,NA,NA,1,1,0,0
Chennai,Anna Nagar,NA,106,NA,NA,NA,6,6,0,0
Chennai,Anna Nagar,NA,107,NA,NA,NA,12,12,0,0
Chennai,Anna Nagar,NA,108,NA,NA,NA,1,1,0,0
Chennai,Teynampet,NA,109,NA,NA,NA,2,2,0,0
Chennai,Teynampet,NA,110,NA,NA,NA,11,11,0,0
Chennai,Teynampet,NA,111,NA,NA,NA,11,11,0,0
Chennai,Teynampet,NA,112,NA,NA,NA,7,7,0,0
Chennai,Teynampet,NA,113,NA,NA,NA,7,7,0,0
Chennai,Teynampet,NA,114,NA,NA,NA,6,6,0,0
Chennai,Teynampet,NA,115,NA,NA,NA,1,1,0,0
Chennai,Teynampet,NA,116,NA,NA,NA,8,8,0,0
Chennai,Teynampet,NA,117,NA,NA,NA,10,10,0,0
Chennai,Teynampet,NA,118,NA,NA,NA,7,7,0,0
Chennai,Teynampet,NA,119,NA,NA,NA,2,2,0,0
Chennai,Teynampet,NA,120,NA,NA,NA,7,7,0,0
Chennai,Teynampet,NA,121,NA,NA,NA,8,8,0,0
Chennai,Teynampet,NA,122,NA,NA,NA,9,9,0,0
Chennai,Teynampet,NA,123,NA,NA,NA,8,8,0,0
Chennai,Teynampet,NA,124,NA,NA,NA,15,15,0,0
Chennai,Teynampet,NA,125,NA,NA,NA,12,12,0,0
Chennai,Teynampet,NA,126,NA,NA,NA,4,4,0,0
Chennai,Kodambakkam,NA,127,NA,NA,NA,2,2,0,0
Chennai,Kodambakkam,NA,128,NA,NA,NA,0,0,0,0
Chennai,Kodambakkam,NA,129,NA,NA,NA,1,1,0,0
Chennai,Kodambakkam,NA,130,NA,NA,NA,3,3,0,0
Chennai,Kodambakkam,NA,131,NA,NA,NA,3,3,0,0
Chennai,Kodambakkam,NA,132,NA,NA,NA,4,4,0,0
Chennai,Kodambakkam,NA,133,NA,NA,NA,4,4,0,0
Chennai,Kodambakkam,NA,134,NA,NA,NA,8,8,0,0
Chennai,Kodambakkam,NA,135,NA,NA,NA,2,2,0,0
Chennai,Kodambakkam,NA,136,NA,NA,NA,7,7,0,0
Chennai,Kodambakkam,NA,137,NA,NA,NA,5,5,0,0
Chennai,Kodambakkam,NA,138,NA,NA,NA,4,4,0,0
Chennai,Kodambakkam,NA,139,NA,NA,NA,4,4,0,0
Chennai,Kodambakkam,NA,140,NA,NA,NA,3,3,0,0
Chennai,Kodambakkam,NA,141,NA,NA,NA,6,6,0,0
Chennai,Kodambakkam,NA,142,NA,NA,NA,8,8,0,0
Chennai,Valasaravakkam,NA,143,NA,NA,NA,1,1,0,0
Chennai,Valasaravakkam,NA,144,NA,NA,NA,3,3,0,0
Chennai,Valasaravakkam,NA,145,NA,NA,NA,0,0,0,0
Chennai,Valasaravakkam,NA,146,NA,NA,NA,0,0,0,0
Chennai,Valasaravakkam,NA,147,NA,NA,NA,0,0,0,0
Chennai,Valasaravakkam,NA,148,NA,NA,NA,0,0,0,0
Chennai,Valasaravakkam,NA,149,NA,NA,NA,0,0,0,0
Chennai,Valasaravakkam,NA,150,NA,NA,NA,0,0,0,0
Chennai,Valasaravakkam,NA,151,NA,NA,NA,0,0,0,0
Chennai,Valasaravakkam,NA,152,NA,NA,NA,0,0,0,0
Chennai,Valasaravakkam,NA,153,NA,NA,NA,0,0,0,0
Chennai,Valasaravakkam,NA,154,NA,NA,NA,1,1,0,0
Chennai,Valasaravakkam,NA,155,NA,NA,NA,0,0,0,0
Chennai,Alandur,NA,156,NA,NA,NA,3,3,0,0
Chennai,Alandur,NA,157,NA,NA,NA,3,3,0,0
Chennai,Alandur,NA,158,NA,NA,NA,1,1,0,0
Chennai,Alandur,NA,159,NA,NA,NA,2,2,0,0
Chennai,Alandur,NA,160,NA,NA,NA,3,3,0,0
Chennai,Alandur,NA,161,NA,NA,NA,3,3,0,0
Chennai,Alandur,NA,162,NA,NA,NA,4,4,0,0
Chennai,Alandur,NA,163,NA,NA,NA,3,3,0,0
Chennai,Alandur,NA,164,NA,NA,NA,0,0,0,0
Chennai,Alandur,NA,165,NA,NA,NA,1,1,0,0
Chennai,Alandur,NA,166,NA,NA,NA,2,2,0,0
Chennai,Alandur,NA,167,NA,NA,NA,0,0,0,0
Chennai,Perungudi,NA,168,NA,NA,NA,0,0,0,0
Chennai,Perungudi,NA,169,NA,NA,NA,0,0,0,0
Chennai,Adayar,NA,170,NA,NA,NA,7,7,0,0
