Sl No,Name Of School With Address,Type
1,"RANI MEYYAMMAI GIRLS HIGH SCHOOL, 75 FOURTH MAIN ROAD, ADYAR, CHENNAI-20",HIGH SCHOOL
2,"SACRED HEART (GIRLS) HIGH SCHOOL, CHURCH PARK CONVENT CAMPUS, CHENNAI-6",HIGH SCHOOL
3,"GANAPATHY IYER (GIRLS) HIGH SCHOOL,, 28 CORAN SMITH ROAD, GOPALAPURAM ,CHENNAI-86",HIGH SCHOOL
4,"ADVENT CHRISTIAN HIGH SCHOOL, GANDHI SALAI, VELACHERY, CHENNAI-42",HIGH SCHOOL
5,"BESANT THEOSOPHICAL HIGH SCHOOL, 35 ARUNDALE BEACH ROAD, CHENNAI-90",HIGH SCHOOL
6,"DR.P.V. RAO HIGH SCHOOL, RAJA ANNAMALAIPURAM, CHENNAI-28",HIGH SCHOOL
7,"RKM RESIDENTIAL HIGH SCHOOL, RAMAKRISHNA MISSION STUDENTS HOME, 101 SIR PS SIVASAMY SALAI, CHENNAI-4",HIGH SCHOOL
8,"P S HIGH SCHOOL(NORTH), 91 M K AMMAN KOIL STREET, MYLAPORE, CHENNAI-4",HIGH SCHOOL
9,"ADVENT CHRISTIAN HIGH SCHOOL, 40 ANIDU STREET, KOTTUR, CHENNAI-85",HIGH SCHOOL
10,"ST.ANTONY'S HIGH SCHOOL, TANSY NAGAR, VELACHERY CHENNAI-42",HIGH SCHOOL
11,"N K T NATIONAL HIGH SCHOOL, CHENNAI-5",HIGH SCHOOL
12,"Y M C A HIGH SCHOOL, CHENNAI- 9",HIGH SCHOOL
13,"RAMANUJAR PIT J.AT HIGH SCHOOL, CHENNAI-13",HIGH SCHOOL
14,"LADIES STOCK SPECIAL SCHOOL, CHENNAI- 21",HIGH SCHOOL
15,"A.I.W.C SCHOOL, CHENNAI- 2",HIGH SCHOOL
16,"ABDUL HUKKIM HINDU MUST JT.M HIGH SCHOOL, CHENNAI- 1",HIGH SCHOOL
17,"DANIEL THOMAS HIGH SCHOOL, CHENNAI-106",HIGH SCHOOL
18,"ST JOSEPH HIGH SCHOOL, CHENNAI- 34",HIGH SCHOOL
