level,constituency,name,party,source
AC,12 Perambur,R. D. Sekar,DMK,MyNeta Tamil Nadu 2021 / ECI
AC,11 Dr.Radhakrishnan Naga,J. J. Ebenezer,DMK,MyNeta Tamil Nadu 2021 / ECI
AC,13 Kolathur,M. K. Stalin,DMK,MyNeta Tamil Nadu 2021 / ECI
AC,17 Royapuram,R. Murthy,DMK,MyNeta Tamil Nadu 2021 / ECI
AC,14 Villivakkam,A. Vetri Azhagan,DMK,MyNeta Tamil Nadu 2021 / ECI
AC,15 Thiru-Vi-Ka-Nagar(SC),P. Sivakumar,DMK,MyNeta Tamil Nadu 2021 / ECI
AC,18 Harbour,P. K. Sekar Babu,DMK,MyNeta Tamil Nadu 2021 / ECI
AC,21 Anna Nagar,M. K. Mohan,DMK,MyNeta Tamil Nadu 2021 / ECI
AC,16 Egmore (SC),I. Paranthamen,DMK,MyNeta Tamil Nadu 2021 / ECI
AC,22 Virugampakkam,A. M. V. Prabhakara Raja,DMK,MyNeta Tamil Nadu 2021 / ECI
AC,19 Chepauk-Thiruvalliken,Udhayanidhi Stalin,DMK,MyNeta Tamil Nadu 2021 / ECI
AC,20 Thousand Lights,N. Ezhilan,DMK,MyNeta Tamil Nadu 2021 / ECI
AC,24 Thiyagarayanagar,J. Karunanithi,DMK,MyNeta Tamil Nadu 2021 / ECI
AC,25 Mylapore,Dha. Velu,DMK,MyNeta Tamil Nadu 2021 / ECI
AC,23 Saidapet,Ma. Subramanian,DMK,MyNeta Tamil Nadu 2021 / ECI
AC,26 Velachery,J. M. H. Aassan Maulaana,INC,MyNeta Tamil Nadu 2021 / ECI
PC,Thiruvallur,Sasikanth Senthil,INC,Wikipedia 18th Lok Sabha / ECI 2024 / elections.tn.gov.in
PC,Chennai Central,Dayanidhi Maran,DMK,Wikipedia 18th Lok Sabha / ECI 2024 / elections.tn.gov.in
PC,Sriperumbudur,T. R. Baalu,DMK,Wikipedia 18th Lok Sabha / ECI 2024 / elections.tn.gov.in
PC,Chennai North,Kalanidhi Veeraswamy,DMK,Wikipedia 18th Lok Sabha / ECI 2024 / elections.tn.gov.in
PC,Kancheepuram,G. Selvam,DMK,Wikipedia 18th Lok Sabha / ECI 2024 / elections.tn.gov.in
PC,Chennai South,Thamizhachi Thangapandian,DMK,Wikipedia 18th Lok Sabha / ECI 2024 / elections.tn.gov.in
