library_id,name,location_type,zone,latitude,longitude,geocode_confidence,geocode_provider,geocode_label,address
dpl_dpl_head_quarter_0001,DPL Head Quarter,fixed_library,central,28.659943775695407,77.229180829205,verified,google_maps_embed,,"Delhi Public Library, Dr. Shyama Prasad Mukherjee Marg, Delhi-110006"
dpl_new_police_line_0002,New Police Line,sub_branch_library,central,,,failed,,,"Delhi Public Library, New Police Line, GTB Nagar, Delhi, 110009"
dpl_shahdara_0003,Shahdara,zonal_library,east,28.6688266573598,77.29098294999328,verified,google_maps_embed,,"Delhi Public Library, Near Anaj Mandi, Farsh Bazar, Shahdara Delhi-110032"
dpl_yojna_vihar_0004,Yojna Vihar,sub_branch_library,east,,,failed,,,"Delhi Public Library, Yojna Vihar Housing Society, Yojna Vihar, Delhi-110092"
dpl_vigyan_vihar_0005,Vigyan Vihar,sub_branch_library,east,28.6605415,77.3126204,nominatim_approx,nominatim,"Vigyan Vihar, Vivek Vihar Tehsil, Shahdara, Delhi, India","Delhi Public Library, Adjacent to RWA Society Office, Near Raghunath Mandir, Vigyan Vihar, Delhi-110092"
dpl_kalyan_puri_0006,Kalyan Puri,fixed_library,east,28.6159271,77.317636,nominatim_approx,nominatim,"Kalyan Puri, Mayur Vihar Tehsil, East Delhi, Delhi, 110092, India","Delhi Public Library, Community Centre, Block No-1, Kalyan Puri, Delhi-110091"
dpl_nand_nagari_closed_0007,Nand Nagari Closed,fixed_library,east,,,failed,,,"Delhi Public Library, M.C.D Community Centre, Block-4, Nand Nagari, Delhi-110093"
dpl_seelam_pur_0008,Seelam Pur,fixed_library,east,28.706005,77.2596444,nominatim_approx,nominatim,"State Bank of India, Gali Number 8, Khajuri, Seelam Pur Tehsil, North East Delhi, Delhi, 110053, India","Delhi Public Library, D.D.A Community Centre, Seelam Pur, Delhi-110053"
dpl_ashok_vihar_0009,Ashok Vihar,sub_branch_library,north,28.69847194805336,77.17806468554012,verified,google_maps_embed,,"Delhi Public Library, A Block, Phase-2, Opp. Plot No. A-69, Near Shree Ram Global School, Ashok Vihar, Delhi-110052"
dpl_new_rohtak_road_0010,New Rohtak Road,sub_branch_library,north,28.6565599,77.1964696,nominatim_approx,nominatim,"New Rohtak Road, Karol Bagh, Karol Bagh Tehsil, Central Delhi, Delhi, 110055, India","Delhi Public Library, C-Block, Community Centre, New Rohtak Road, New Delhi-110005"
dpl_bagh_kare_khan_0011,Bagh Kare Khan,sub_branch_library,north,,,failed,,,"Delhi Public Library, Bagh Kare Khan Community Centre, Delhi-110007"
dpl_qadi_pur_0012,Qadi Pur,sub_branch_library,north,,,failed,,,"Delhi Public Library, Chaupal Kushak No-2, Kh. No. 1176 Delhi-110036"
dpl_katewara_0013,Katewara,sub_branch_library,north,28.8017596,76.9790313,nominatim_approx,nominatim,"Government Dispensary, DGD Katewara, Kanjhawala - Auchandi Border Road, Narela Tehsil, North Delhi, Delhi, Kharkhoda, Sonipat, Haryana, 110039, India","Delhi Public Library, Gramin Choupal, Katewara Village, Delhi-110039"
dpl_bawana_0014,Bawana,sub_branch_library,north,28.79966,77.0328847,nominatim_approx,nominatim,"Bawana, Narela Tehsil, North Delhi, Delhi, India","Delhi Public Library, Opp. Aditi Mahavidyalaya, Auchandi Border Road, Bawana, Delhi-110039"
dpl_narela_0015,Narela,sub_branch_library,north,28.8464766,77.0856631,nominatim_approx,nominatim,"Narela, Bawana road, Narela, Narela Tehsil, North Delhi, Delhi, 110040, India","Delhi Public Library, Opp. Police Station, Narela, Delhi-110040"
dpl_aruna_nagar_0016,Aruna Nagar,fixed_library,north,28.6979093,77.2259061,nominatim_approx,nominatim,"Aruna Nagar, Majnu Ka Tila, Civil Lines Tehsil, Central Delhi, Delhi, 110054, India","Delhi Public Library, Community Centre, Majnu Ka Teela, Aruna Nagar, Delhi-110054"
dpl_sangam_park_0017,Sangam Park,fixed_library,north,28.5106563,77.2443646,nominatim_approx,nominatim,"Sangam Vihar DDA Park, Alaknanda, Kalkaji Tehsil, South East Delhi, Delhi, India","Delhi Public Library, Community Centre, Sangam Park, Delhi-110052"
dpl_shakur_pur_0018,Shakur Pur,fixed_library,north,28.6901201,77.1460945,nominatim_approx,nominatim,"DGD Shakur Pur I Block, Abdul Hameed Marg, Shakurpur JJ Colony, Saraswati Vihar Tehsil, North West Delhi, Delhi, 110034, India","Delhi Public Library, Community Centre, Near Samrat Cinema, Shakur Pur, Delhi-110034"
dpl_jwala_puri_0019,Jwala Puri,fixed_library,north,28.67748,77.078186,nominatim_approx,nominatim,"DGD Jwala Puri, Chaudhary Prem Sukh Marg, Jwalapuri, Paschim Vihar, Punjabi Bagh Tehsil, West Delhi, Delhi, 110087, India","Delhi Public Library, Delhi Nagar Nigam Bhawan, North Zone, Ward No. 42, Opp. DTC Depot., Jwala Puri, Delhi-110087"
dpl_mundka_closed_0020,Mundka Closed,sub_branch_library,north,,,failed,,,"Delhi Public Library, Community Centre, Near Supar Bazar, Mundka Village, New Delhi-110041"
dpl_karol_bagh_closed_0021,Karol Bagh Closed,zonal_library,north,,,failed,,,"Delhi Public Library,5/56, D.B.Gupta Road, Karol Bagh, New Delhi-110005"
dpl_sarojini_nagar_0022,Sarojini Nagar,zonal_library,south,28.57541837075426,77.1939355577162,verified,google_maps_embed,,"Delhi Public Library, H-block, Near Main Market, Sarojini Nagar, New Delhi-110023"
dpl_braille_library_0023,Braille Library,fixed_library,south,,,failed,,,"Delhi Public Library, Blind Relief Association, Near Oberoi Hotel, Lal Bahadur Shastri Marg, New Delhi-110003"
dpl_r_k_puram_sector_8_0024,"R.K.Puram, Sector-8",sub_branch_library,south,,,failed,,,"Delhi Public Library, Flat no 3 and 4, Sector-8 Market, R.K.Puram, New Delhi-110022"
dpl_andrews_gunj_0025,Andrews Gunj,sub_branch_library,south,,,failed,,,"Delhi Public Library, Community Centre, Andrews Ganj, New Delhi-110049"
dpl_vinoba_puri_0026,Vinoba Puri,sub_branch_library,south,,,failed,,,"Delhi Public Library, Cultural Centre, Ground Floor, Near Vinoba Puri Metro Station, Vinoba Puri,New Delhi-110024"
dpl_dakshin_puri_0027,Dakshin Puri,fixed_library,south,,,failed,,,"Delhi Public Library, Community Centre, Dakshin Puri, New Delhi-110062"
dpl_lodhi_colony_0028,Lodhi Colony,community_library,south,28.586203,77.2268576,nominatim_approx,nominatim,"Lodhi Colony, Defence Colony Tehsil, South East Delhi, Delhi, India","Delhi Public Library, Community Centre, Lodhi Colony, New Delhi-110003"
dpl_patel_nagar_0029,Patel Nagar,zonal_library,west,28.6446592,77.1726977,verified,google_maps_url,,"Delhi Public Library (Kedarnath Sahni Adhayan Kendra), 9/11 East Patel Nagar (Second & Third Floor), Near Kingston Hotel, New Delhi- 110008"
