library_id,name,service_tier,source_location_type,hierarchy_rank,physical_access_model,zone,address,latitude,longitude,coordinate_status,coordinate_provenance_group,geocode_confidence,geocode_provider,max_seating_capacity,opening_hours,weekly_open_hours,branch_collection_size,collection_types,branch_detail_status,usable_for_internal_access_model,usable_for_public_open_dataset,notes
dpl_dpl_head_quarter_0001,DPL Head Quarter,headquarters,fixed_library,10,fixed_full_service,central,"Delhi Public Library, Dr. Shyama Prasad Mukherjee Marg, Delhi-110006",28.659943775695407,77.229180829205,located,google_geocode,verified,google_maps_embed,,,,,,missing_branchwise_public_detail,yes,no,Central DPL administrative/full-service location. Coordinates are Google-geocoded and are internal-use until independently verified.
dpl_shahdara_0003,Shahdara,zonal_library,zonal_library,20,fixed_full_service,east,"Delhi Public Library, Near Anaj Mandi, Farsh Bazar, Shahdara Delhi-110032",28.6688266573598,77.29098294999328,located,google_geocode,verified,google_maps_embed,,,,,,missing_branchwise_public_detail,yes,no,Fixed zonal library; higher-order DPL public service point. Coordinates are Google-geocoded and are internal-use until independently verified.
dpl_karol_bagh_closed_0021,Karol Bagh Closed,zonal_library,zonal_library,20,fixed_full_service,north,"Delhi Public Library,5/56, D.B.Gupta Road, Karol Bagh, New Delhi-110005",28.6512721,77.1956184,located,google_geocode,google_verified,google:RANGE_INTERPOLATED,,,,,,missing_branchwise_public_detail,yes,no,Fixed zonal library; higher-order DPL public service point. Coordinates are Google-geocoded and are internal-use until independently verified.
dpl_sarojini_nagar_0022,Sarojini Nagar,zonal_library,zonal_library,20,fixed_full_service,south,"Delhi Public Library, H-block, Near Main Market, Sarojini Nagar, New Delhi-110023",28.57541837075426,77.1939355577162,located,google_geocode,verified,google_maps_embed,,,,,,missing_branchwise_public_detail,yes,no,Fixed zonal library; higher-order DPL public service point. Coordinates are Google-geocoded and are internal-use until independently verified.
dpl_patel_nagar_0029,Patel Nagar,zonal_library,zonal_library,20,fixed_full_service,west,"Delhi Public Library (Kedarnath Sahni Adhayan Kendra), 9/11 East Patel Nagar (Second & Third Floor), Near Kingston Hotel, New Delhi- 110008",28.6446592,77.1726977,located,google_geocode,verified,google_maps_url,,,,,,missing_branchwise_public_detail,yes,no,Fixed zonal library; higher-order DPL public service point. Coordinates are Google-geocoded and are internal-use until independently verified.
dpl_kalyan_puri_0006,Kalyan Puri,branch_library,fixed_library,30,fixed_full_service,east,"Delhi Public Library, Community Centre, Block No-1, Kalyan Puri, Delhi-110091",28.6150302,77.3165692,located,source_or_dpl_map,dpl_maps_pin,dpl_google_maps,,,,,,missing_branchwise_public_detail,yes,yes,Fixed branch-like public service point parsed from DPL zone pages.
dpl_nand_nagari_closed_0007,Nand Nagari Closed,branch_library,fixed_library,30,fixed_full_service,east,"Delhi Public Library, M.C.D Community Centre, Block-4, Nand Nagari, Delhi-110093",28.695058,77.308274,located,source_or_dpl_map,dpl_maps_pin,dpl_google_maps,,,,,,missing_branchwise_public_detail,yes,yes,Fixed branch-like public service point parsed from DPL zone pages.
dpl_seelam_pur_0008,Seelam Pur,branch_library,fixed_library,30,fixed_full_service,east,"Delhi Public Library, D.D.A Community Centre, Seelam Pur, Delhi-110053",28.672675,77.2755344,located,source_or_dpl_map,dpl_maps_pin,dpl_google_maps,,,,,,missing_branchwise_public_detail,yes,yes,Fixed branch-like public service point parsed from DPL zone pages.
dpl_aruna_nagar_0016,Aruna Nagar,branch_library,fixed_library,30,fixed_full_service,north,"Delhi Public Library, Community Centre, Majnu Ka Teela, Aruna Nagar, Delhi-110054",28.6989542,77.2253627,located,source_or_dpl_map,dpl_maps_pin,dpl_google_maps,,,,,,missing_branchwise_public_detail,yes,yes,Fixed branch-like public service point parsed from DPL zone pages.
dpl_jwala_puri_0019,Jwala Puri,branch_library,fixed_library,30,fixed_full_service,north,"Delhi Public Library, Delhi Nagar Nigam Bhawan, North Zone, Ward No. 42, Opp. DTC Depot., Jwala Puri, Delhi-110087",28.6806932,77.0775823,located,source_or_dpl_map,dpl_maps_pin,dpl_google_maps,,,,,,missing_branchwise_public_detail,yes,yes,Fixed branch-like public service point parsed from DPL zone pages.
dpl_sangam_park_0017,Sangam Park,branch_library,fixed_library,30,fixed_full_service,north,"Delhi Public Library, Community Centre, Sangam Park, Delhi-110052",28.6981543,77.1797752,located,source_or_dpl_map,dpl_maps_pin,dpl_google_maps,,,,,,missing_branchwise_public_detail,yes,yes,Fixed branch-like public service point parsed from DPL zone pages.
dpl_shakur_pur_0018,Shakur Pur,branch_library,fixed_library,30,fixed_full_service,north,"Delhi Public Library, Community Centre, Near Samrat Cinema, Shakur Pur, Delhi-110034",28.6865875,77.1466934,located,source_or_dpl_map,dpl_maps_pin,dpl_google_maps,,,,,,missing_branchwise_public_detail,yes,yes,Fixed branch-like public service point parsed from DPL zone pages.
dpl_dakshin_puri_0027,Dakshin Puri,branch_library,fixed_library,30,fixed_full_service,south,"Delhi Public Library, Community Centre, Dakshin Puri, New Delhi-110062",28.5758248,77.194884,located,source_or_dpl_map,dpl_maps_pin,dpl_google_maps,,,,,,missing_branchwise_public_detail,yes,yes,Fixed branch-like public service point parsed from DPL zone pages.
dpl_braille_library_0023,Braille Library,special_fixed_library,fixed_library,35,fixed_full_service,south,"Delhi Public Library, Blind Relief Association, Near Oberoi Hotel, Lal Bahadur Shastri Marg, New Delhi-110003",28.5942745,77.2396303,located,source_or_dpl_map,dpl_maps_pin,dpl_google_maps,,,,,,missing_branchwise_public_detail,yes,yes,Fixed special-service library parsed from DPL zone pages.
dpl_new_police_line_0002,New Police Line,sub_branch_library,sub_branch_library,40,fixed_local_service,central,"Delhi Public Library, New Police Line, GTB Nagar, Delhi, 110009",28.6980155,77.199018,located,source_or_dpl_map,dpl_maps_pin,dpl_google_maps,,,,,,missing_branchwise_public_detail,yes,yes,Fixed local sub-branch parsed from DPL zone pages.
dpl_vigyan_vihar_0005,Vigyan Vihar,sub_branch_library,sub_branch_library,40,fixed_local_service,east,"Delhi Public Library, Adjacent to RWA Society Office, Near Raghunath Mandir, Vigyan Vihar, Delhi-110092",28.6606745,77.3119806,located,source_or_dpl_map,dpl_maps_pin,dpl_google_maps,,,,,,missing_branchwise_public_detail,yes,yes,Fixed local sub-branch parsed from DPL zone pages.
dpl_yojna_vihar_0004,Yojna Vihar,sub_branch_library,sub_branch_library,40,fixed_local_service,east,"Delhi Public Library, Yojna Vihar Housing Society, Yojna Vihar, Delhi-110092",28.6618613,77.3166996,located,source_or_dpl_map,dpl_maps_pin,dpl_google_maps,,,,,,missing_branchwise_public_detail,yes,yes,Fixed local sub-branch parsed from DPL zone pages.
dpl_ashok_vihar_0009,Ashok Vihar,sub_branch_library,sub_branch_library,40,fixed_local_service,north,"Delhi Public Library, A Block, Phase-2, Opp. Plot No. A-69, Near Shree Ram Global School, Ashok Vihar, Delhi-110052",28.69847194805336,77.17806468554012,located,google_geocode,verified,google_maps_embed,,,,,,missing_branchwise_public_detail,yes,no,Fixed local sub-branch parsed from DPL zone pages. Coordinates are Google-geocoded and are internal-use until independently verified.
dpl_bagh_kare_khan_0011,Bagh Kare Khan,sub_branch_library,sub_branch_library,40,fixed_local_service,north,"Delhi Public Library, Bagh Kare Khan Community Centre, Delhi-110007",28.661638,77.187574,located,source_or_dpl_map,dpl_maps_pin,dpl_google_maps,,,,,,missing_branchwise_public_detail,yes,yes,Fixed local sub-branch parsed from DPL zone pages.
dpl_bawana_0014,Bawana,sub_branch_library,sub_branch_library,40,fixed_local_service,north,"Delhi Public Library, Opp. Aditi Mahavidyalaya, Auchandi Border Road, Bawana, Delhi-110039",28.7965903,77.0353332,located,source_or_dpl_map,dpl_maps_pin,dpl_google_maps,,,,,,missing_branchwise_public_detail,yes,yes,Fixed local sub-branch parsed from DPL zone pages.
dpl_katewara_0013,Katewara,sub_branch_library,sub_branch_library,40,fixed_local_service,north,"Delhi Public Library, Gramin Choupal, Katewara Village, Delhi-110039",28.8032614,76.9747461,located,source_or_dpl_map,dpl_maps_pin,dpl_google_maps,,,,,,missing_branchwise_public_detail,yes,yes,Fixed local sub-branch parsed from DPL zone pages.
dpl_mundka_closed_0020,Mundka Closed,sub_branch_library,sub_branch_library,40,fixed_local_service,north,"Delhi Public Library, Community Centre, Near Supar Bazar, Mundka Village, New Delhi-110041",28.6754791,77.02829349999999,located,google_geocode,google_verified,google:ROOFTOP,,,,,,missing_branchwise_public_detail,yes,no,Fixed local sub-branch parsed from DPL zone pages. Coordinates are Google-geocoded and are internal-use until independently verified.
dpl_narela_0015,Narela,sub_branch_library,sub_branch_library,40,fixed_local_service,north,"Delhi Public Library, Opp. Police Station, Narela, Delhi-110040",28.853435,77.08897,located,source_or_dpl_map,dpl_maps_pin,dpl_google_maps,,,,,,missing_branchwise_public_detail,yes,yes,Fixed local sub-branch parsed from DPL zone pages.
dpl_new_rohtak_road_0010,New Rohtak Road,sub_branch_library,sub_branch_library,40,fixed_local_service,north,"Delhi Public Library, C-Block, Community Centre, New Rohtak Road, New Delhi-110005",28.661638,77.187574,located,source_or_dpl_map,dpl_maps_pin,dpl_google_maps,,,,,,missing_branchwise_public_detail,yes,yes,Fixed local sub-branch parsed from DPL zone pages.
dpl_qadi_pur_0012,Qadi Pur,sub_branch_library,sub_branch_library,40,fixed_local_service,north,"Delhi Public Library, Chaupal Kushak No-2, Kh. No. 1176 Delhi-110036",28.7664744,77.1631046,located,source_or_dpl_map,dpl_maps_pin,dpl_google_maps,,,,,,missing_branchwise_public_detail,yes,yes,Fixed local sub-branch parsed from DPL zone pages.
dpl_andrews_gunj_0025,Andrews Gunj,sub_branch_library,sub_branch_library,40,fixed_local_service,south,"Delhi Public Library, Community Centre, Andrews Ganj, New Delhi-110049",28.5649955,77.2294269,located,source_or_dpl_map,dpl_maps_pin,dpl_google_maps,,,,,,missing_branchwise_public_detail,yes,yes,Fixed local sub-branch parsed from DPL zone pages.
dpl_r_k_puram_sector_8_0024,"R.K.Puram, Sector-8",sub_branch_library,sub_branch_library,40,fixed_local_service,south,"Delhi Public Library, Flat no 3 and 4, Sector-8 Market, R.K.Puram, New Delhi-110022",28.5726881,77.1670568,located,source_or_dpl_map,dpl_maps_pin,dpl_google_maps,,,,,,missing_branchwise_public_detail,yes,yes,Fixed local sub-branch parsed from DPL zone pages.
dpl_vinoba_puri_0026,Vinoba Puri,sub_branch_library,sub_branch_library,40,fixed_local_service,south,"Delhi Public Library, Cultural Centre, Ground Floor, Near Vinoba Puri Metro Station, Vinoba Puri,New Delhi-110024",28.567022,77.248224,located,source_or_dpl_map,dpl_maps_pin,dpl_google_maps,,,,,,missing_branchwise_public_detail,yes,yes,Fixed local sub-branch parsed from DPL zone pages.
dpl_diz_area_0032,DIZ. Area,sub_branch_library,sub_branch_library,40,fixed_local_service,west,"Delhi Public Library, Samaj Sadan, Grih Kalyan Kendra, R.K.Ashram Marg, DIZ Area, New Delhi-110001",28.635237,77.203805,located,source_or_dpl_map,dpl_maps_pin,dpl_google_maps,,,,,,missing_branchwise_public_detail,yes,yes,Fixed local sub-branch parsed from DPL zone pages.
