source_record_id,source_file,library_id,name,address,geocode_provider,geocode_query,geocode_result_label,latitude,longitude,confidence,review_status,notes
dpl_location_0002,operations__central_zone.html,dpl_new_police_line_0002,New Police Line,"Delhi Public Library, New Police Line, GTB Nagar, Delhi, 110009",,"Delhi Public Library, New Police Line, GTB Nagar, Delhi, 110009, India",,,,,needs_geocode,Address is DPL-published; coordinates are pending reproducible geocoding/review.
dpl_location_0004,operations__east_zone.html,dpl_yojna_vihar_0004,Yojna Vihar,"Delhi Public Library, Yojna Vihar Housing Society, Yojna Vihar, Delhi-110092",,"Delhi Public Library, Yojna Vihar Housing Society, Yojna Vihar, Delhi-110092, India",,,,,needs_geocode,Address is DPL-published; coordinates are pending reproducible geocoding/review.
dpl_location_0005,operations__east_zone.html,dpl_vigyan_vihar_0005,Vigyan Vihar,"Delhi Public Library, Adjacent to RWA Society Office, Near Raghunath Mandir, Vigyan Vihar, Delhi-110092",,"Delhi Public Library, Adjacent to RWA Society Office, Near Raghunath Mandir, Vigyan Vihar, Delhi-110092, India",,,,,needs_geocode,Address is DPL-published; coordinates are pending reproducible geocoding/review.
dpl_location_0006,operations__east_zone.html,dpl_kalyan_puri_0006,Kalyan Puri,"Delhi Public Library, Community Centre, Block No-1, Kalyan Puri, Delhi-110091",,"Delhi Public Library, Community Centre, Block No-1, Kalyan Puri, Delhi-110091, India",,,,,needs_geocode,Address is DPL-published; coordinates are pending reproducible geocoding/review.
dpl_location_0007,operations__east_zone.html,dpl_nand_nagari_closed_0007,Nand Nagari Closed,"Delhi Public Library, M.C.D Community Centre, Block-4, Nand Nagari, Delhi-110093",,"Delhi Public Library, M.C.D Community Centre, Block-4, Nand Nagari, Delhi-110093, India",,,,,needs_geocode,Address is DPL-published; coordinates are pending reproducible geocoding/review.
dpl_location_0008,operations__east_zone.html,dpl_seelam_pur_0008,Seelam Pur,"Delhi Public Library, D.D.A Community Centre, Seelam Pur, Delhi-110053",,"Delhi Public Library, D.D.A Community Centre, Seelam Pur, Delhi-110053, India",,,,,needs_geocode,Address is DPL-published; coordinates are pending reproducible geocoding/review.
dpl_location_0010,operations__north_zone.html,dpl_new_rohtak_road_0010,New Rohtak Road,"Delhi Public Library, C-Block, Community Centre, New Rohtak Road, New Delhi-110005",,"Delhi Public Library, C-Block, Community Centre, New Rohtak Road, New Delhi-110005, India",,,,,needs_geocode,Address is DPL-published; coordinates are pending reproducible geocoding/review.
dpl_location_0011,operations__north_zone.html,dpl_bagh_kare_khan_0011,Bagh Kare Khan,"Delhi Public Library, Bagh Kare Khan Community Centre, Delhi-110007",,"Delhi Public Library, Bagh Kare Khan Community Centre, Delhi-110007, India",,,,,needs_geocode,Address is DPL-published; coordinates are pending reproducible geocoding/review.
dpl_location_0012,operations__north_zone.html,dpl_qadi_pur_0012,Qadi Pur,"Delhi Public Library, Chaupal Kushak No-2, Kh. No. 1176 Delhi-110036",,"Delhi Public Library, Chaupal Kushak No-2, Kh. No. 1176 Delhi-110036, India",,,,,needs_geocode,Address is DPL-published; coordinates are pending reproducible geocoding/review.
dpl_location_0013,operations__north_zone.html,dpl_katewara_0013,Katewara,"Delhi Public Library, Gramin Choupal, Katewara Village, Delhi-110039",,"Delhi Public Library, Gramin Choupal, Katewara Village, Delhi-110039, India",,,,,needs_geocode,Address is DPL-published; coordinates are pending reproducible geocoding/review.
dpl_location_0014,operations__north_zone.html,dpl_bawana_0014,Bawana,"Delhi Public Library, Opp. Aditi Mahavidyalaya, Auchandi Border Road, Bawana, Delhi-110039",,"Delhi Public Library, Opp. Aditi Mahavidyalaya, Auchandi Border Road, Bawana, Delhi-110039, India",,,,,needs_geocode,Address is DPL-published; coordinates are pending reproducible geocoding/review.
dpl_location_0015,operations__north_zone.html,dpl_narela_0015,Narela,"Delhi Public Library, Opp. Police Station, Narela, Delhi-110040",,"Delhi Public Library, Opp. Police Station, Narela, Delhi-110040, India",,,,,needs_geocode,Address is DPL-published; coordinates are pending reproducible geocoding/review.
dpl_location_0016,operations__north_zone.html,dpl_aruna_nagar_0016,Aruna Nagar,"Delhi Public Library, Community Centre, Majnu Ka Teela, Aruna Nagar, Delhi-110054",,"Delhi Public Library, Community Centre, Majnu Ka Teela, Aruna Nagar, Delhi-110054, India",,,,,needs_geocode,Address is DPL-published; coordinates are pending reproducible geocoding/review.
dpl_location_0017,operations__north_zone.html,dpl_sangam_park_0017,Sangam Park,"Delhi Public Library, Community Centre, Sangam Park, Delhi-110052",,"Delhi Public Library, Community Centre, Sangam Park, Delhi-110052, India",,,,,needs_geocode,Address is DPL-published; coordinates are pending reproducible geocoding/review.
dpl_location_0018,operations__north_zone.html,dpl_shakur_pur_0018,Shakur Pur,"Delhi Public Library, Community Centre, Near Samrat Cinema, Shakur Pur, Delhi-110034",,"Delhi Public Library, Community Centre, Near Samrat Cinema, Shakur Pur, Delhi-110034, India",,,,,needs_geocode,Address is DPL-published; coordinates are pending reproducible geocoding/review.
dpl_location_0019,operations__north_zone.html,dpl_jwala_puri_0019,Jwala Puri,"Delhi Public Library, Delhi Nagar Nigam Bhawan, North Zone, Ward No. 42, Opp. DTC Depot., Jwala Puri, Delhi-110087",,"Delhi Public Library, Delhi Nagar Nigam Bhawan, North Zone, Ward No. 42, Opp. DTC Depot., Jwala Puri, Delhi-110087, India",,,,,needs_geocode,Address is DPL-published; coordinates are pending reproducible geocoding/review.
dpl_location_0020,operations__north_zone.html,dpl_mundka_closed_0020,Mundka Closed,"Delhi Public Library, Community Centre, Near Supar Bazar, Mundka Village, New Delhi-110041",,"Delhi Public Library, Community Centre, Near Supar Bazar, Mundka Village, New Delhi-110041, India",,,,,needs_geocode,Address is DPL-published; coordinates are pending reproducible geocoding/review.
dpl_location_0021,operations__north_zone.html,dpl_karol_bagh_closed_0021,Karol Bagh Closed,"Delhi Public Library,5/56, D.B.Gupta Road, Karol Bagh, New Delhi-110005",,"Delhi Public Library,5/56, D.B.Gupta Road, Karol Bagh, New Delhi-110005, India",,,,,needs_geocode,Address is DPL-published; coordinates are pending reproducible geocoding/review.
