year,source_file,source_url,adult_members,child_members,total_members,adult_issues,child_issues,total_issues,reading_room_attendance,collection_total,books_added_to_stock,opening_unspent_rs,grant_received_rs,other_income_rs,total_available_rs,returned_to_ministry_rs,total_expenditure_rs,closing_unspent_rs,confidence,notes
2009-10,annual__Annual_Reports_2009-10.txt,https://dpl.gov.in/images/annualreport910.pdf,49498,15385,64883,667828,372149,1039977,316657,1552000,77872,,,,,,,,high,Membership and issue metrics parsed from reconciled unit total table.
2010-11,annual__Annual_Report_2010-11.txt,https://dpl.gov.in/images/AnnualReport10-11.pdf,56544,16923,73467,763199,406535,1169734,244499,1608813,33868,,,,,,,,high,Membership and issue metrics parsed from reconciled unit total table.
2011-12,annual__Annual_Report_2011-12.txt,https://dpl.gov.in/images/pdf/annual2011_12.pdf,59762,16786,76548,740788,392366,1133154,477107,1640909,39860,,,,,,,,high,Membership and issue metrics parsed from reconciled unit total table.
2012-13,annual__Annual_Report_2012-13.txt,https://drive.google.com/file/d/18L6NnB4ysfe9SigOhyKHXl1fRK4YP1jQ/view?usp=sharing,60258,20190,80448,730774,407993,1138767,398029,1681426,40517,,,,,,,,high,Membership and issue metrics parsed from reconciled unit total table.
2013-14,annual__Annual_Report_2013-14.txt,https://drive.google.com/file/d/0BxVoYdQQldmNRzQ0VDVHQXlpV3c/view?usp=sharing,81283,25993,107276,683528,398239,1081767,397718,1694695,23565,,,,,,,,high,Membership and issue metrics parsed from reconciled unit total table.
2014-15,annual__Annual_Report_2014-15.txt,https://drive.google.com/file/d/0BxVoYdQQldmNdTRycE83NW9OeFk/view?usp=sharing,96754,29337,126091,554980,290064,845044,384049,1668258,59570,,,,,,,,high,Membership and issue metrics parsed from reconciled unit total table.
2015-16,annual__Annual_Report_2015-16.txt,https://drive.google.com/file/d/0BxVoYdQQldmNNktDOENSZXdtSkE/view?usp=sharing,108812,31023,139835,499981,257458,757439,314089,1717727,37014,,,,,,,,high,Membership and issue metrics parsed from reconciled unit total table.
2016-17,annual__Annual_Report_2016-17.txt,https://drive.google.com/file/d/1Ug33f17_4uaCAtl1U-F61pOPHLzj1a3w/view?usp=sharing,124755,34445,159200,,,700412,293883,1706326,38256,,,,,,,,high,Membership and issue metrics parsed from reconciled unit total table. Adult/child issue subtotals do not reconcile with reported total issues; total issues retained.
2017-18,annual__Annual_Report_2017-18.txt,https://drive.google.com/file/d/1VdnqrkfRz11e_C0wKGbOuuPBeQxT9YIL/view?usp=sharing,138515,36907,175422,,,730706,330888,1735868,21545,,,,,,,,high,Membership and issue metrics parsed from reconciled unit total table. Adult/child issue subtotals do not reconcile with reported total issues; total issues retained.
2018-19,annual__Annual_Report_2018-19.txt,https://drive.google.com/file/d/1M8NtKz1wYxhUMV0alL8Qls88vIFFMEsJ/view?usp=sharing,147002,40136,187138,497791,317067,814858,365854,1694950,27958,,,,,,,,high,Membership and issue metrics parsed from reconciled unit total table.
2019-20,annual__Annual_Report_2019-20.txt,https://drive.google.com/file/d/18GyW-jgqT0iAkaGo5BtLUQf0QVKYVJDl/view?usp=sharing,147001,42234,189235,327418,149590,477008,353246,1596125,13310,,,,,,,,high,Membership and issue metrics parsed from reconciled unit total table.
2020-21,annual__Annual_Report_2020-21.txt,https://drive.google.com/file/d/1E1kOzYcRD82hX993NBr1ysZvGsHRb03U/view?usp=sharing,124381,41473,165854,,,112946,25855,1602290,2504,,,,,,,,medium,Membership and issue metrics parsed from summary line; no unit total table found.
2021-22,annual__ANNUAL_REPORT_2021-2_2.txt,https://drive.google.com/file/d/1ETQH_6IQpJrzyvq4v0_47tSrOCCZGrGl/view?usp=share_link,122327,34540,156867,153436,43453,196889,132411,1605443,2697,19574436,324261961,9343146,353179543,15757398,313168329,24253816,high,Membership and issue metrics parsed from reconciled unit total table.
2022-23,annual__ANNUAL_REPORT_2022-23.txt,https://drive.google.com/file/d/1PWG1Sh_JNHdg_PAlLYQ2HGiWwiVNktAD/view?usp=sharing,117760,30334,148094,177454,80726,258180,328728,1536905,9947,24253816,325200000,8056511,357510327,567863,350371534,6570930,high,Membership and issue metrics parsed from reconciled unit total table.
2023-24,annual__ANNUAL_REPORT_2023-24.txt,https://drive.google.com/file/d/1d6K6glvU5osL5ck9tR_2LLuoHFQUeh0e/view?usp=sharing,74477,36057,110534,,,274751,335270,1527531,3108,6570930,363799671,7451784,377822385,986613,328986673,47849099,high,Membership and issue metrics parsed from reconciled unit total table. Adult/child issue subtotals do not reconcile with reported total issues; total issues retained. 2023-24 summary line has inconsistent adult/child subtotals; reconciled unit table used.
