kind,text,url,local_path,status,bytes,sha256,valid_pdf,repo_storage,notes
annual,Annual Reports,https://dpl.gov.in/index.php/annual-reports,targeted/docs/annual__Annual_Reports.pdf,ok,34781,1834dcab78934a0fcd7b40b2c54c3b3be97d7c1e8e7b6ecc9ab9d3022a6d6462,0,manifest_only,Raw targeted source artifact retained outside git under /private/tmp unless promoted separately.
annual,Annual Reports 2009-10,https://dpl.gov.in/images/annualreport910.pdf,targeted/docs/annual__Annual_Reports_2009-10.pdf,ok,149087,95c943d7e220f1a689e36d0cdf58de3e3f6389ed8879206fbf97a8921e238a8f,1,manifest_only,Raw targeted source artifact retained outside git under /private/tmp unless promoted separately.
annual,Annual Report 2010-11,https://dpl.gov.in/images/AnnualReport10-11.pdf,targeted/docs/annual__Annual_Report_2010-11.pdf,ok,408504,a95a89b8a3670f5511198afcf476d74963e6bfc5de441ea488a27d19dc5f8c2f,1,manifest_only,Raw targeted source artifact retained outside git under /private/tmp unless promoted separately.
annual,Annual Report 2011-12,https://dpl.gov.in/images/pdf/annual2011_12.pdf,targeted/docs/annual__Annual_Report_2011-12.pdf,ok,793092,d48e0e3a82c084c5b78d3e4318d8ce4827a5a39f50e108730623c9041df501a2,1,manifest_only,Raw targeted source artifact retained outside git under /private/tmp unless promoted separately.
annual,Annual Report 2012-13,https://drive.google.com/file/d/18L6NnB4ysfe9SigOhyKHXl1fRK4YP1jQ/view?usp=sharing,targeted/docs/annual__Annual_Report_2012-13.pdf,ok,24475900,73647dacdcdb3fb620170d147e10d2730801dc3f681e05f89595ee59ea06095e,1,manifest_only,Raw targeted source artifact retained outside git under /private/tmp unless promoted separately.
annual,Annual Report 2013-14,https://drive.google.com/file/d/0BxVoYdQQldmNRzQ0VDVHQXlpV3c/view?usp=sharing,targeted/docs/annual__Annual_Report_2013-14.pdf,ok,1777222,7e08f3494a26e409175d289b044689de639642880f96e7a1360e95955ce06f36,1,manifest_only,Raw targeted source artifact retained outside git under /private/tmp unless promoted separately.
annual,Annual ACCOUNTS 2013-14,https://drive.google.com/file/d/0BxVoYdQQldmNLVY5SGFCZWdqa1k/view?usp=sharing,targeted/docs/annual__Annual_ACCOUNTS_2013-14.pdf,ok,10534622,dc92eb377ec88756b3007a66af29e0b9befb4f178cafeb503209f66df1a4e76e,1,manifest_only,Raw targeted source artifact retained outside git under /private/tmp unless promoted separately.
annual,Annual Report 2014-15,https://drive.google.com/file/d/0BxVoYdQQldmNdTRycE83NW9OeFk/view?usp=sharing,targeted/docs/annual__Annual_Report_2014-15.pdf,ok,2779103,9ff4d8b74c983270ab471b153ba40cef02874b1c4df23a15ccd6e291b46d421f,1,manifest_only,Raw targeted source artifact retained outside git under /private/tmp unless promoted separately.
annual,Annual Accounts 2014-15,https://drive.google.com/file/d/0BxVoYdQQldmNQkJDMEJqd2FiSmM/view?usp=sharing,targeted/docs/annual__Annual_Accounts_2014-15.pdf,ok,10596913,bcefff24f6388d4d9e3036122a0cce3fb8d9e35b215649a87b44e06e5c9658b7,1,manifest_only,Raw targeted source artifact retained outside git under /private/tmp unless promoted separately.
annual,Annual Report 2015-16,https://drive.google.com/file/d/0BxVoYdQQldmNNktDOENSZXdtSkE/view?usp=sharing,targeted/docs/annual__Annual_Report_2015-16.pdf,ok,2755334,f0494a73cdd860d6c7d3766dd2a11e25629e3b369b8b86abde346af9d57271c9,1,manifest_only,Raw targeted source artifact retained outside git under /private/tmp unless promoted separately.
annual,Annual Accounts 2015-16,https://drive.google.com/file/d/0BxVoYdQQldmNSUpSWllyeHpiU2M/view?usp=sharing,targeted/docs/annual__Annual_Accounts_2015-16.pdf,ok,12668141,e39ebbc5f0e0ebde30002925536c62a42eafb08732c74b0406ac09a2fb3f165c,1,manifest_only,Raw targeted source artifact retained outside git under /private/tmp unless promoted separately.
annual,Annual Report 2016-17,https://drive.google.com/file/d/1Ug33f17_4uaCAtl1U-F61pOPHLzj1a3w/view?usp=sharing,targeted/docs/annual__Annual_Report_2016-17.pdf,ok,27264936,c636f08ebfec3923c3034f7a036c4ce54dea956e3801ee63b571a29924002fc1,1,manifest_only,Raw targeted source artifact retained outside git under /private/tmp unless promoted separately.
annual,Annual Accounts 2016-17,https://drive.google.com/file/d/1GxtjsZ6CVz4EJLHKhjLg3ZpHJUdKi7JC/view?usp=sharing,targeted/docs/annual__Annual_Accounts_2016-17.pdf,ok,7569739,98aa126634222c7a5be124290cb55ba6f88d74b2941bf3328ee85353e307e663,1,manifest_only,Raw targeted source artifact retained outside git under /private/tmp unless promoted separately.
annual,Annual Report 2017-18,https://drive.google.com/file/d/1VdnqrkfRz11e_C0wKGbOuuPBeQxT9YIL/view?usp=sharing,targeted/docs/annual__Annual_Report_2017-18.pdf,ok,10291477,717020167f9afe145c971c135e1de063961d8845802aea1ae136b37671ebe9cc,1,manifest_only,Raw targeted source artifact retained outside git under /private/tmp unless promoted separately.
annual,Annual Accounts 2017-18,https://drive.google.com/file/d/1z3iymIkfnAxsZziziW75YnSmi7GENEwv/view?usp=sharing,targeted/docs/annual__Annual_Accounts_2017-18.pdf,ok,75839095,fa7476b6bd16b69a15167e3d2b4ec247e360660a924b90f378d830d945b19bba,1,manifest_only,Raw targeted source artifact retained outside git under /private/tmp unless promoted separately.
annual,Annual Report 2018-19,https://drive.google.com/file/d/1M8NtKz1wYxhUMV0alL8Qls88vIFFMEsJ/view?usp=sharing,targeted/docs/annual__Annual_Report_2018-19.pdf,ok,11451516,f8e2a390d9a0d73cd182b1472debd7c832d4c8935af163255fb850e613b35f7b,1,manifest_only,Raw targeted source artifact retained outside git under /private/tmp unless promoted separately.
annual,Annual Accounts 2018-19,https://drive.google.com/file/d/1haLih8ilopzudDGb09zlhEBLh47xvsoU/view?usp=sharing,targeted/docs/annual__Annual_Accounts_2018-19.pdf,ok,12590118,14b756da5b52dcc77c1806671574705dea8df243b2fb25cb5b36c5eaec8925a9,1,manifest_only,Raw targeted source artifact retained outside git under /private/tmp unless promoted separately.
annual,Annual Report 2019-20,https://drive.google.com/file/d/18GyW-jgqT0iAkaGo5BtLUQf0QVKYVJDl/view?usp=sharing,targeted/docs/annual__Annual_Report_2019-20.pdf,ok,38711823,322f591860e004b1187cb6aa1420abe855ed1f681275d69741a9dc169230efc9,1,manifest_only,Raw targeted source artifact retained outside git under /private/tmp unless promoted separately.
annual,Annual Accounts 2019-20,https://drive.google.com/file/d/1bjX1IuZFRr6OTpIxMETB9KLwj8Arzr2a/view?usp=sharing,targeted/docs/annual__Annual_Accounts_2019-20.pdf,ok,39899220,7b4739e8ee7025ec03f6e1e5df53521ca1cdf5599950e8302ac75f55d630df70,1,manifest_only,Raw targeted source artifact retained outside git under /private/tmp unless promoted separately.
annual,Annual Report 2020-21,https://drive.google.com/file/d/1E1kOzYcRD82hX993NBr1ysZvGsHRb03U/view?usp=sharing,targeted/docs/annual__Annual_Report_2020-21.pdf,ok,19184235,cd75e6a7c1648a5cd637919930e319d0dfc73acfcd9307e1f677278e86361e65,1,manifest_only,Raw targeted source artifact retained outside git under /private/tmp unless promoted separately.
annual,Annual Accounts 2020-21,https://drive.google.com/file/d/1Gen8Em29bu_DjjTt4MuiXowDhOIYYwWc/view?usp=sharing,targeted/docs/annual__Annual_Accounts_2020-21.pdf,html_instead_of_pdf,2452,025b8825e4dd978a4a10a637f9e99d6e002759559f6005538987ae54630a22ea,0,manifest_only,Raw targeted source artifact retained outside git under /private/tmp unless promoted separately.
annual,ANNUAL REPORT 2021-2 2,https://drive.google.com/file/d/1ETQH_6IQpJrzyvq4v0_47tSrOCCZGrGl/view?usp=share_link,targeted/docs/annual__ANNUAL_REPORT_2021-2_2.pdf,ok,10880591,0c70ee00b61c5fc22056513d9f13b5de9245bae969a047506af70f37ab8a4fec,1,manifest_only,Raw targeted source artifact retained outside git under /private/tmp unless promoted separately.
annual,ANNUAL REPORT 2022-23,https://drive.google.com/file/d/1PWG1Sh_JNHdg_PAlLYQ2HGiWwiVNktAD/view?usp=sharing,targeted/docs/annual__ANNUAL_REPORT_2022-23.pdf,ok,10190696,de92ce57c3b8aaa769f1f7343a43af939634831cf9a8895afd4a9684015901bf,1,manifest_only,Raw targeted source artifact retained outside git under /private/tmp unless promoted separately.
annual,ANNUAL REPORT 2023-24,https://drive.google.com/file/d/1d6K6glvU5osL5ck9tR_2LLuoHFQUeh0e/view?usp=sharing,targeted/docs/annual__ANNUAL_REPORT_2023-24.pdf,ok,7038383,5adc7bf7f34456e435e54e64a5e8f0c1d90e6b096846381329999bf8b02859d4,1,manifest_only,Raw targeted source artifact retained outside git under /private/tmp unless promoted separately.
annual,Annual Reports,http://dpl.gov.in/index.php/annual-reports,targeted/docs/annual__Annual_Reports.pdf,exists,34781,1834dcab78934a0fcd7b40b2c54c3b3be97d7c1e8e7b6ecc9ab9d3022a6d6462,0,manifest_only,Raw targeted source artifact retained outside git under /private/tmp unless promoted separately.
rti,Right To Information Act (PDF),http://dpl.gov.in/images/rtiact.pdf,targeted/docs/rti__Right_To_Information_Act_PDF.pdf,ok,398502,0246a50b7d5a2763d0b0faf3bf49a15a8023465adfc1bd42310f0bee231ce5f3,1,manifest_only,Raw targeted source artifact retained outside git under /private/tmp unless promoted separately.
