source_record_id,source_file,source_url,library_id,name,normalized_name,location_type,zone,address,latitude,longitude,coordinate_source,map_url,geocode_status,confidence,notes
dpl_location_0001,operations__central_zone.html,https://dpl.gov.in/index.php/central-zone,dpl_dpl_head_quarter_0001,DPL Head Quarter,dpl head quarter,fixed_library,central,"Delhi Public Library, Dr. Shyama Prasad Mukherjee Marg, Delhi-110006",28.659943775695407,77.229180829205,google_maps_embed,,verified_coordinates,high,DPL-published fixed location parsed from zone page.
dpl_location_0002,operations__central_zone.html,https://dpl.gov.in/index.php/central-zone,dpl_new_police_line_0002,New Police Line,new police line,sub_branch_library,central,"Delhi Public Library, New Police Line, GTB Nagar, Delhi, 110009",,,,https://goo.gl/maps/ikVnrnZ11kHw6Qxp6,needs_geocode,medium,DPL-published fixed location parsed from zone page.
dpl_location_0003,operations__east_zone.html,https://dpl.gov.in/index.php/east-zone,dpl_shahdara_0003,Shahdara,shahdara,zonal_library,east,"Delhi Public Library, Near Anaj Mandi, Farsh Bazar, Shahdara Delhi-110032",28.6688266573598,77.29098294999328,google_maps_embed,https://goo.gl/maps/nrKECU3LuakcHfkSA,verified_coordinates,high,DPL-published fixed location parsed from zone page.
dpl_location_0004,operations__east_zone.html,https://dpl.gov.in/index.php/east-zone,dpl_yojna_vihar_0004,Yojna Vihar,yojna vihar,sub_branch_library,east,"Delhi Public Library, Yojna Vihar Housing Society, Yojna Vihar, Delhi-110092",,,,https://goo.gl/maps/J41an9wTXCvDpKc78,needs_geocode,medium,DPL-published fixed location parsed from zone page.
dpl_location_0005,operations__east_zone.html,https://dpl.gov.in/index.php/east-zone,dpl_vigyan_vihar_0005,Vigyan Vihar,vigyan vihar,sub_branch_library,east,"Delhi Public Library, Adjacent to RWA Society Office, Near Raghunath Mandir, Vigyan Vihar, Delhi-110092",,,,https://goo.gl/maps/FjHB99aAuph6WdKQA,needs_geocode,medium,DPL-published fixed location parsed from zone page.
dpl_location_0006,operations__east_zone.html,https://dpl.gov.in/index.php/east-zone,dpl_kalyan_puri_0006,Kalyan Puri,kalyan puri,fixed_library,east,"Delhi Public Library, Community Centre, Block No-1, Kalyan Puri, Delhi-110091",,,,https://goo.gl/maps/AfmTxfJ2jJNUZf1j7,needs_geocode,medium,DPL-published fixed location parsed from zone page.
dpl_location_0007,operations__east_zone.html,https://dpl.gov.in/index.php/east-zone,dpl_nand_nagari_closed_0007,Nand Nagari Closed,nand nagari closed,fixed_library,east,"Delhi Public Library, M.C.D Community Centre, Block-4, Nand Nagari, Delhi-110093",,,,https://goo.gl/maps/HFdw1myTAAkQQmNp8,needs_geocode,medium,DPL-published fixed location parsed from zone page.
dpl_location_0008,operations__east_zone.html,https://dpl.gov.in/index.php/east-zone,dpl_seelam_pur_0008,Seelam Pur,seelam pur,fixed_library,east,"Delhi Public Library, D.D.A Community Centre, Seelam Pur, Delhi-110053",,,,https://goo.gl/maps/5tCmMrwzMzM2cc4D8,needs_geocode,medium,DPL-published fixed location parsed from zone page.
dpl_location_0009,operations__north_zone.html,https://dpl.gov.in/index.php/north-zone,dpl_ashok_vihar_0009,Ashok Vihar,ashok vihar,sub_branch_library,north,"Delhi Public Library, A Block, Phase-2, Opp. Plot No. A-69, Near Shree Ram Global School, Ashok Vihar, Delhi-110052",28.69847194805336,77.17806468554012,google_maps_embed,https://goo.gl/maps/q7dsga5h4dDxrYAC8,verified_coordinates,high,DPL-published fixed location parsed from zone page.
dpl_location_0010,operations__north_zone.html,https://dpl.gov.in/index.php/north-zone,dpl_new_rohtak_road_0010,New Rohtak Road,new rohtak road,sub_branch_library,north,"Delhi Public Library, C-Block, Community Centre, New Rohtak Road, New Delhi-110005",,,,https://goo.gl/maps/8BAy2u9BVDUFduWT9,needs_geocode,medium,DPL-published fixed location parsed from zone page.
dpl_location_0011,operations__north_zone.html,https://dpl.gov.in/index.php/north-zone,dpl_bagh_kare_khan_0011,Bagh Kare Khan,bagh kare khan,sub_branch_library,north,"Delhi Public Library, Bagh Kare Khan Community Centre, Delhi-110007",,,,https://goo.gl/maps/v3f2aRaoAby8X4gq8,needs_geocode,medium,DPL-published fixed location parsed from zone page.
dpl_location_0012,operations__north_zone.html,https://dpl.gov.in/index.php/north-zone,dpl_qadi_pur_0012,Qadi Pur,qadi pur,sub_branch_library,north,"Delhi Public Library, Chaupal Kushak No-2, Kh. No. 1176 Delhi-110036",,,,https://goo.gl/maps/9AMu2wKeAtyUSJ7A7,needs_geocode,medium,DPL-published fixed location parsed from zone page.
dpl_location_0013,operations__north_zone.html,https://dpl.gov.in/index.php/north-zone,dpl_katewara_0013,Katewara,katewara,sub_branch_library,north,"Delhi Public Library, Gramin Choupal, Katewara Village, Delhi-110039",,,,https://goo.gl/maps/va6Zy45dcmBLdtmF8,needs_geocode,medium,DPL-published fixed location parsed from zone page.
dpl_location_0014,operations__north_zone.html,https://dpl.gov.in/index.php/north-zone,dpl_bawana_0014,Bawana,bawana,sub_branch_library,north,"Delhi Public Library, Opp. Aditi Mahavidyalaya, Auchandi Border Road, Bawana, Delhi-110039",,,,https://goo.gl/maps/QL4ZssbJsL5YS389A,needs_geocode,medium,DPL-published fixed location parsed from zone page.
dpl_location_0015,operations__north_zone.html,https://dpl.gov.in/index.php/north-zone,dpl_narela_0015,Narela,narela,sub_branch_library,north,"Delhi Public Library, Opp. Police Station, Narela, Delhi-110040",,,,https://goo.gl/maps/og2fy8pH3bwPZ8gn9,needs_geocode,medium,DPL-published fixed location parsed from zone page.
