library_system,place,year,metric_group,metric_name,value,unit,source_url,confidence,notes
Delhi Public Library,NCT of Delhi,2023-24,reported,collection_total,1527531,count,https://drive.google.com/file/d/1d6K6glvU5osL5ck9tR_2LLuoHFQUeh0e/view?usp=sharing,high,
Delhi Public Library,NCT of Delhi,2023-24,reported,books_added_to_stock,3108,count,https://drive.google.com/file/d/1d6K6glvU5osL5ck9tR_2LLuoHFQUeh0e/view?usp=sharing,high,
Delhi Public Library,NCT of Delhi,2023-24,reported,registered_members,110534,count,https://drive.google.com/file/d/1d6K6glvU5osL5ck9tR_2LLuoHFQUeh0e/view?usp=sharing,high,
Delhi Public Library,NCT of Delhi,2023-24,reported,adult_members,74477,count,https://drive.google.com/file/d/1d6K6glvU5osL5ck9tR_2LLuoHFQUeh0e/view?usp=sharing,high,
Delhi Public Library,NCT of Delhi,2023-24,reported,child_members,36057,count,https://drive.google.com/file/d/1d6K6glvU5osL5ck9tR_2LLuoHFQUeh0e/view?usp=sharing,high,
Delhi Public Library,NCT of Delhi,2023-24,reported,annual_issues,274751,count,https://drive.google.com/file/d/1d6K6glvU5osL5ck9tR_2LLuoHFQUeh0e/view?usp=sharing,high,
Delhi Public Library,NCT of Delhi,2023-24,reported,adult_issues,157837,count,https://drive.google.com/file/d/1d6K6glvU5osL5ck9tR_2LLuoHFQUeh0e/view?usp=sharing,high,
Delhi Public Library,NCT of Delhi,2023-24,reported,child_issues,59731,count,https://drive.google.com/file/d/1d6K6glvU5osL5ck9tR_2LLuoHFQUeh0e/view?usp=sharing,high,
Delhi Public Library,NCT of Delhi,2023-24,reported,reading_room_attendance,335270,count,https://drive.google.com/file/d/1d6K6glvU5osL5ck9tR_2LLuoHFQUeh0e/view?usp=sharing,high,
Delhi Public Library,NCT of Delhi,2023-24,reported,grant_received,363799671,INR,https://drive.google.com/file/d/1d6K6glvU5osL5ck9tR_2LLuoHFQUeh0e/view?usp=sharing,high,
Delhi Public Library,NCT of Delhi,2023-24,reported,other_income,7451784,INR,https://drive.google.com/file/d/1d6K6glvU5osL5ck9tR_2LLuoHFQUeh0e/view?usp=sharing,high,
Delhi Public Library,NCT of Delhi,2023-24,reported,total_expenditure,328986673,INR,https://drive.google.com/file/d/1d6K6glvU5osL5ck9tR_2LLuoHFQUeh0e/view?usp=sharing,high,
Delhi Public Library,NCT of Delhi,2023-24,reported,closing_unspent_balance,47849099,INR,https://drive.google.com/file/d/1d6K6glvU5osL5ck9tR_2LLuoHFQUeh0e/view?usp=sharing,high,
Delhi Public Library,NCT of Delhi,2023-24,network,central_library,1,count,https://drive.google.com/file/d/1d6K6glvU5osL5ck9tR_2LLuoHFQUeh0e/view?usp=sharing,high,Service composition from DPL annual report 2023-24.
Delhi Public Library,NCT of Delhi,2023-24,network,zonal_libraries,1,count,https://drive.google.com/file/d/1d6K6glvU5osL5ck9tR_2LLuoHFQUeh0e/view?usp=sharing,high,Service composition from DPL annual report 2023-24.
Delhi Public Library,NCT of Delhi,2023-24,network,branch_libraries,3,count,https://drive.google.com/file/d/1d6K6glvU5osL5ck9tR_2LLuoHFQUeh0e/view?usp=sharing,high,Service composition from DPL annual report 2023-24.
Delhi Public Library,NCT of Delhi,2023-24,network,sub_branch_libraries,18,count,https://drive.google.com/file/d/1d6K6glvU5osL5ck9tR_2LLuoHFQUeh0e/view?usp=sharing,high,Service composition from DPL annual report 2023-24.
Delhi Public Library,NCT of Delhi,2023-24,network,community_libraries,1,count,https://drive.google.com/file/d/1d6K6glvU5osL5ck9tR_2LLuoHFQUeh0e/view?usp=sharing,high,Service composition from DPL annual report 2023-24.
Delhi Public Library,NCT of Delhi,2023-24,network,resettlement_colony_libraries,7,count,https://drive.google.com/file/d/1d6K6glvU5osL5ck9tR_2LLuoHFQUeh0e/view?usp=sharing,high,Service composition from DPL annual report 2023-24.
Delhi Public Library,NCT of Delhi,2023-24,network,braille_libraries,1,count,https://drive.google.com/file/d/1d6K6glvU5osL5ck9tR_2LLuoHFQUeh0e/view?usp=sharing,high,Service composition from DPL annual report 2023-24.
Delhi Public Library,NCT of Delhi,2023-24,network,mobile_library_buses,8,count,https://drive.google.com/file/d/1d6K6glvU5osL5ck9tR_2LLuoHFQUeh0e/view?usp=sharing,high,Service composition from DPL annual report 2023-24.
Delhi Public Library,NCT of Delhi,2023-24,network,mobile_service_points,101,count,https://drive.google.com/file/d/1d6K6glvU5osL5ck9tR_2LLuoHFQUeh0e/view?usp=sharing,high,Service composition from DPL annual report 2023-24.
Delhi Public Library,NCT of Delhi,2023-24,network,book_reading_centres,30,count,https://drive.google.com/file/d/1d6K6glvU5osL5ck9tR_2LLuoHFQUeh0e/view?usp=sharing,high,Service composition from DPL annual report 2023-24.
Delhi Public Library,NCT of Delhi,2023-24,network,fixed_library_units,32,count,https://drive.google.com/file/d/1d6K6glvU5osL5ck9tR_2LLuoHFQUeh0e/view?usp=sharing,high,Service composition from DPL annual report 2023-24.
Delhi Public Library,NCT of Delhi,2023-24,network,fixed_plus_mobile_buses,40,count,https://drive.google.com/file/d/1d6K6glvU5osL5ck9tR_2LLuoHFQUeh0e/view?usp=sharing,high,Service composition from DPL annual report 2023-24.
Delhi Public Library,NCT of Delhi,2023-24,network,public_access_touchpoints_including_mobile_stops,163,count,https://drive.google.com/file/d/1d6K6glvU5osL5ck9tR_2LLuoHFQUeh0e/view?usp=sharing,high,Service composition from DPL annual report 2023-24.
Delhi Public Library,NCT of Delhi,2023-24,staffing,staff_sanctioned,274,count,https://drive.google.com/file/d/1d6K6glvU5osL5ck9tR_2LLuoHFQUeh0e/view?usp=sharing,high,Sanctioned/filled/vacant post table from DPL annual report 2023-24.
Delhi Public Library,NCT of Delhi,2023-24,staffing,staff_filled,138,count,https://drive.google.com/file/d/1d6K6glvU5osL5ck9tR_2LLuoHFQUeh0e/view?usp=sharing,high,Sanctioned/filled/vacant post table from DPL annual report 2023-24.
Delhi Public Library,NCT of Delhi,2023-24,staffing,staff_vacant,136,count,https://drive.google.com/file/d/1d6K6glvU5osL5ck9tR_2LLuoHFQUeh0e/view?usp=sharing,high,Sanctioned/filled/vacant post table from DPL annual report 2023-24.
Delhi Public Library,NCT of Delhi,2023-24,staffing,professional_staff_sanctioned,199,count,https://drive.google.com/file/d/1d6K6glvU5osL5ck9tR_2LLuoHFQUeh0e/view?usp=sharing,high,Sanctioned/filled/vacant post table from DPL annual report 2023-24.
Delhi Public Library,NCT of Delhi,2023-24,staffing,non_professional_staff_sanctioned,75,count,https://drive.google.com/file/d/1d6K6glvU5osL5ck9tR_2LLuoHFQUeh0e/view?usp=sharing,high,Sanctioned/filled/vacant post table from DPL annual report 2023-24.
Delhi Public Library,NCT of Delhi,2023-24,staffing,professional_staff_filled,97,count,https://drive.google.com/file/d/1d6K6glvU5osL5ck9tR_2LLuoHFQUeh0e/view?usp=sharing,high,Sanctioned/filled/vacant post table from DPL annual report 2023-24.
Delhi Public Library,NCT of Delhi,2023-24,staffing,non_professional_staff_filled,41,count,https://drive.google.com/file/d/1d6K6glvU5osL5ck9tR_2LLuoHFQUeh0e/view?usp=sharing,high,Sanctioned/filled/vacant post table from DPL annual report 2023-24.
Delhi Public Library,NCT of Delhi,2023-24,staffing,professional_staff_vacant,102,count,https://drive.google.com/file/d/1d6K6glvU5osL5ck9tR_2LLuoHFQUeh0e/view?usp=sharing,high,Sanctioned/filled/vacant post table from DPL annual report 2023-24.
Delhi Public Library,NCT of Delhi,2023-24,staffing,non_professional_staff_vacant,34,count,https://drive.google.com/file/d/1d6K6glvU5osL5ck9tR_2LLuoHFQUeh0e/view?usp=sharing,high,Sanctioned/filled/vacant post table from DPL annual report 2023-24.
Delhi Public Library,NCT of Delhi,2023-24,finance_detail,books_and_reading_material_expense,1756817,INR,https://drive.google.com/file/d/1d6K6glvU5osL5ck9tR_2LLuoHFQUeh0e/view?usp=sharing,high,Financial expenditure at a glance from DPL annual report 2023-24.
Delhi Public Library,NCT of Delhi,2023-24,finance_detail,book_purchase_expense,1304894,INR,https://drive.google.com/file/d/1d6K6glvU5osL5ck9tR_2LLuoHFQUeh0e/view?usp=sharing,high,Financial expenditure at a glance from DPL annual report 2023-24.
Delhi Public Library,NCT of Delhi,2023-24,finance_detail,periodicals_newspapers_expense,311143,INR,https://drive.google.com/file/d/1d6K6glvU5osL5ck9tR_2LLuoHFQUeh0e/view?usp=sharing,high,Financial expenditure at a glance from DPL annual report 2023-24.
Delhi Public Library,NCT of Delhi,2023-24,finance_detail,binding_expense,127670,INR,https://drive.google.com/file/d/1d6K6glvU5osL5ck9tR_2LLuoHFQUeh0e/view?usp=sharing,high,Financial expenditure at a glance from DPL annual report 2023-24.
Delhi Public Library,NCT of Delhi,2023-24,finance_detail,membership_drive_expense,13570,INR,https://drive.google.com/file/d/1d6K6glvU5osL5ck9tR_2LLuoHFQUeh0e/view?usp=sharing,high,Financial expenditure at a glance from DPL annual report 2023-24.
