dataset_name,dataset_title,opencity_url,organization,groups,tags,metadata_modified,axis_labels,shortlist,resource_id,resource_name,resource_format,resource_url,resource_size_bytes,resource_last_modified,resource_mimetype,download_status,local_path,sha256,notes
delhi-accident-prone-areas,Delhi - Accident Prone Areas,https://data.opencity.in/dataset/delhi-accident-prone-areas,government-of-delhi,delhi,Governance,2025-11-27T12:39:09.780519,decides;function,1,cb358a2d-4a6c-4acc-89bc-569435b3f73d,Delhi - Accident Prone Areas Map,PDF,https://data.opencity.in/dataset/6e1998e4-89cc-4041-9d39-878b5bc0ef65/resource/cb358a2d-4a6c-4acc-89bc-569435b3f73d/download/1673a3af-4957-4ba8-9a2e-541c4c6981e3.pdf,174025,2025-11-25T13:41:00.632416,application/pdf,not_downloaded,,,OpenCity catalogue inventory row; resource not promoted into city source tree yet.
delhi-accident-prone-areas,Delhi - Accident Prone Areas,https://data.opencity.in/dataset/delhi-accident-prone-areas,government-of-delhi,delhi,Governance,2025-11-27T12:39:09.780519,decides;function,1,aeec44bf-c2bb-44e1-ba63-f6c2e0b29f67,Delhi - Accident Prone Zones List,PDF,https://data.opencity.in/dataset/6e1998e4-89cc-4041-9d39-878b5bc0ef65/resource/aeec44bf-c2bb-44e1-ba63-f6c2e0b29f67/download/0acafda8-6037-440e-ab1d-23db42c5a113.pdf,44841,2025-11-25T13:41:00.979279,application/pdf,not_downloaded,,,OpenCity catalogue inventory row; resource not promoted into city source tree yet.
delhi-accident-prone-areas,Delhi - Accident Prone Areas,https://data.opencity.in/dataset/delhi-accident-prone-areas,government-of-delhi,delhi,Governance,2025-11-27T12:39:09.780519,decides;function,1,f7d0f9f1-fb9a-43a6-9a32-1033955cabfa,Delhi Number of Accidents from 2008-2021,CSV,https://data.opencity.in/dataset/6e1998e4-89cc-4041-9d39-878b5bc0ef65/resource/f7d0f9f1-fb9a-43a6-9a32-1033955cabfa/download/d3b5df7e-b964-4d65-97c3-df4c07a03fd7.csv,587,2025-11-25T13:41:01.339165,text/csv,not_downloaded,,,OpenCity catalogue inventory row; resource not promoted into city source tree yet.
delhi-annual-births-and-deaths-data,Delhi - Annual Births and Deaths data,https://data.opencity.in/dataset/delhi-annual-births-and-deaths-data,government-of-delhi,delhi,Health,2026-01-30T04:37:57.467198,function,1,960dee6c-a598-4a0a-bb85-0fd79a0a80c3,Delhi - Annual Births and Deaths 2017-2024,CSV,https://data.opencity.in/dataset/81a1888e-61ad-4492-a7da-0382b798caa4/resource/960dee6c-a598-4a0a-bb85-0fd79a0a80c3/download/0ff67794-17d0-4c5b-b9f3-9b3ba71204a3.csv,344,2026-01-23T04:42:46.152135,text/csv,not_downloaded,,,OpenCity catalogue inventory row; resource not promoted into city source tree yet.
delhi-vehicle-registrations-data,Delhi - Vehicle Registrations Data,https://data.opencity.in/dataset/delhi-vehicle-registrations-data,government-of-delhi,delhi,Mobility,2026-01-23T04:49:52.351420,function,1,d8490330-a57c-4f3e-89d2-b968c9b833e9,Total Vehicles Registered in Delhi- Year-wise 2013-2017,CSV,https://data.opencity.in/dataset/12106167-8fbb-44d5-9466-ede5517c3d15/resource/d8490330-a57c-4f3e-89d2-b968c9b833e9/download/65ec564b-7474-4a94-9a77-63aa951f518e.csv,976,2025-11-25T13:52:45.957563,text/csv,not_downloaded,,,OpenCity catalogue inventory row; resource not promoted into city source tree yet.
delhi-vehicle-registrations-data,Delhi - Vehicle Registrations Data,https://data.opencity.in/dataset/delhi-vehicle-registrations-data,government-of-delhi,delhi,Mobility,2026-01-23T04:49:52.351420,function,1,55a9623d-c464-4843-9cf9-9a51adfb1d76,Delhi Vehicles Registered Per Year from 2008 - 2021,CSV,https://data.opencity.in/dataset/12106167-8fbb-44d5-9466-ede5517c3d15/resource/55a9623d-c464-4843-9cf9-9a51adfb1d76/download/e3db06e7-d1ce-44d2-998c-2d537b9fc4c6.csv,259,2025-11-25T13:52:46.331336,text/csv,not_downloaded,,,OpenCity catalogue inventory row; resource not promoted into city source tree yet.
delhi-vehicle-registrations-data,Delhi - Vehicle Registrations Data,https://data.opencity.in/dataset/delhi-vehicle-registrations-data,government-of-delhi,delhi,Mobility,2026-01-23T04:49:52.351420,function,1,2408b714-3d7d-4764-baf2-b71f2d76da5f,Delhi Total Number of Vehicles from 2006 to 2022,CSV,https://data.opencity.in/dataset/12106167-8fbb-44d5-9466-ede5517c3d15/resource/2408b714-3d7d-4764-baf2-b71f2d76da5f/download/c9c2925f-4442-48ee-bacf-543d69931493.csv,2281,2025-11-25T13:52:46.728417,text/csv,not_downloaded,,,OpenCity catalogue inventory row; resource not promoted into city source tree yet.
delhi-vehicle-registrations-data,Delhi - Vehicle Registrations Data,https://data.opencity.in/dataset/delhi-vehicle-registrations-data,government-of-delhi,delhi,Mobility,2026-01-23T04:49:52.351420,function,1,d7af951d-bdab-46f3-a234-db6fec96ba68,Delhi Total Number of Vehicles 2015-16 to 2024-25,CSV,https://data.opencity.in/dataset/12106167-8fbb-44d5-9466-ede5517c3d15/resource/d7af951d-bdab-46f3-a234-db6fec96ba68/download/d7af951d-bdab-46f3-a234-db6fec96ba68.csv,1109,2026-01-23T04:49:49.636932,text/csv,not_downloaded,,,OpenCity catalogue inventory row; resource not promoted into city source tree yet.
delhi-assembly-election-2020-manifestos,Delhi Assembly Election 2020 Manifestos,https://data.opencity.in/dataset/delhi-assembly-election-2020-manifestos,delhi-state-election-commission,delhi,Governance,2025-11-27T12:39:38.328929,decides,1,043c6492-3c4d-4a5b-863c-6fee41ad8e69,Delhi Assembly Elections 2020 - AAM AADMI Party (AAP) Manifesto,PDF,https://data.opencity.in/dataset/d85097e0-39eb-41ca-af7d-2ead794d16a6/resource/043c6492-3c4d-4a5b-863c-6fee41ad8e69/download/c3138e80-2650-4dbf-b31c-8dafffa60de0.pdf,,2025-11-25T13:41:25.307484,application/pdf,not_downloaded,,,OpenCity catalogue inventory row; resource not promoted into city source tree yet.
delhi-assembly-election-2020-manifestos,Delhi Assembly Election 2020 Manifestos,https://data.opencity.in/dataset/delhi-assembly-election-2020-manifestos,delhi-state-election-commission,delhi,Governance,2025-11-27T12:39:38.328929,decides,1,4caee86f-cd68-4bb6-9093-be70576a86ef,Delhi Assembly Elections 2020 - Bharatiya Janata Party (BJP) Manifesto,PDF,https://data.opencity.in/dataset/d85097e0-39eb-41ca-af7d-2ead794d16a6/resource/4caee86f-cd68-4bb6-9093-be70576a86ef/download/2f4b19da-54eb-45c1-b100-d5f7e2adb823.pdf,,2025-11-25T13:41:25.753416,application/pdf,not_downloaded,,,OpenCity catalogue inventory row; resource not promoted into city source tree yet.
delhi-assembly-election-2020-manifestos,Delhi Assembly Election 2020 Manifestos,https://data.opencity.in/dataset/delhi-assembly-election-2020-manifestos,delhi-state-election-commission,delhi,Governance,2025-11-27T12:39:38.328929,decides,1,2223e3b9-d906-4e72-8fe1-abca9bce9ef9,Delhi Assembly Elections 2020 - Indian National Congress (INC) Manifesto,PDF,https://data.opencity.in/dataset/d85097e0-39eb-41ca-af7d-2ead794d16a6/resource/2223e3b9-d906-4e72-8fe1-abca9bce9ef9/download/37389d70-467d-47f2-98a5-02ad75c62b6b.pdf,,2025-11-25T13:41:26.344938,application/pdf,not_downloaded,,,OpenCity catalogue inventory row; resource not promoted into city source tree yet.
delhi-assembly-elections-2015,Delhi Assembly Elections 2015,https://data.opencity.in/dataset/delhi-assembly-elections-2015,delhi-state-election-commission,delhi,Governance,2025-11-27T12:38:55.946892,decides,1,e429c47a-6156-45b4-8aa6-ad35678f629b,Delhi Assembly Election Results 2015,CSV,https://data.opencity.in/dataset/3b46bc81-cc79-429f-9e79-4108cf2be848/resource/e429c47a-6156-45b4-8aa6-ad35678f629b/download/dd5c38a9-9bd5-4f40-b45f-4a2d113e7ee2.csv,202269,2025-11-25T13:41:38.193116,text/csv,not_downloaded,,,OpenCity catalogue inventory row; resource not promoted into city source tree yet.
delhi-assembly-elections-2020,Delhi Assembly Elections 2020,https://data.opencity.in/dataset/delhi-assembly-elections-2020,delhi-state-election-commission,delhi,Governance,2025-11-27T12:38:56.204261,decides,1,133214ca-f39f-4061-8e15-47b343bb42be,Delhi Assembly Election Results 2020,CSV,https://data.opencity.in/dataset/f056591b-ea8f-4607-92c9-2a93f5b3a767/resource/133214ca-f39f-4061-8e15-47b343bb42be/download/e3f152c4-455f-4915-bcfb-c439a95bae25.csv,201362,2025-11-25T13:41:49.987009,text/csv,not_downloaded,,,OpenCity catalogue inventory row; resource not promoted into city source tree yet.
