ward_number,ward_name,ward_reservation,councillor_name,party,party_full,votes,vote_share_pct,contact,term,source,note
1,Kapra,Scheduled Caste,S.SWARNA RAJ,TRS,Telangana Rashtra Samithi,8762,41.994,,2021-2026 (term ended 09 Feb 2026; now under Special Officer),Telangana SEC via OpenCity GHMC Election Results 2020,
2,Dr.A.S.Rao nagar,Women,SHIRISHA REDDY SINGIREDDY,INC,CONGRESS,9043,46.77,,2021-2026 (term ended 09 Feb 2026; now under Special Officer),Telangana SEC via OpenCity GHMC Election Results 2020,
3,Cherlapally,Backward Class,BONTHU SRIDEVI,TRS,Telangana Rashtra Samithi,11635,46.77,,2021-2026 (term ended 09 Feb 2026; now under Special Officer),Telangana SEC via OpenCity GHMC Election Results 2020,
4,Meerpet H.B.Colony,Scheduled Caste,J. PRABHU DASS,TRS,Telangana Rashtra Samithi,11266,53.064,,2021-2026 (term ended 09 Feb 2026; now under Special Officer),Telangana SEC via OpenCity GHMC Election Results 2020,
5,Mallapur,Unreserved,DEVENDAR REDDY PANNALA,TRS,Telangana Rashtra Samithi,9157,39.68,,2021-2026 (term ended 09 Feb 2026; now under Special Officer),Telangana SEC via OpenCity GHMC Election Results 2020,
6,Nacharam,Women,SHANTHI SAIZEN SHEKAR,TRS,Telangana Rashtra Samithi,9549,40.731,,2021-2026 (term ended 09 Feb 2026; now under Special Officer),Telangana SEC via OpenCity GHMC Election Results 2020,
7,Chiluka nagar,Women,Bannala Geeta Praveen,TRS,Telangana Rashtra Samithi,10205,42.661,,2021-2026 (term ended 09 Feb 2026; now under Special Officer),Telangana SEC via OpenCity GHMC Election Results 2020,
8,Habsiguda,Women,CHETHANA KAKKIRENI,BJP,Bharatiya Janata Party,10803,47.004,,2021-2026 (term ended 09 Feb 2026; now under Special Officer),Telangana SEC via OpenCity GHMC Election Results 2020,
9,Ramanthapur,Backward Classes (Women),BANDARU SRIVANI,BJP,Bharatiya Janata Party,10033,45.283,,2021-2026 (term ended 09 Feb 2026; now under Special Officer),Telangana SEC via OpenCity GHMC Election Results 2020,
10,Uppal,Women,M RAJITHA,INC,CONGRESS,14504,51.444,,2021-2026 (term ended 09 Feb 2026; now under Special Officer),Telangana SEC via OpenCity GHMC Election Results 2020,
11,Nagole,Women,ARUNA.CH,BJP,Bharatiya Janata Party,14560,51.71,,2021-2026 (term ended 09 Feb 2026; now under Special Officer),Telangana SEC via OpenCity GHMC Election Results 2020,
12,Mansoorabad,Unreserved,KOPPULA NARSIMHA REDDY,BJP,Bharatiya Janata Party,13318,50.213,,2021-2026 (term ended 09 Feb 2026; now under Special Officer),Telangana SEC via OpenCity GHMC Election Results 2020,
13,Hayathnagar,Unreserved,K.NAVAJEEVAN REDDY,BJP,Bharatiya Janata Party,14916,55.959,,2021-2026 (term ended 09 Feb 2026; now under Special Officer),Telangana SEC via OpenCity GHMC Election Results 2020,
14,B.N.Reddy Nagar,Unreserved,MODDU LACHI REDDY,BJP,Bharatiya Janata Party,11438,43.748,,2021-2026 (term ended 09 Feb 2026; now under Special Officer),Telangana SEC via OpenCity GHMC Election Results 2020,
15,Vanasthalipuram,Unreserved,Venkateshwar Reddy Ragula,BJP,Bharatiya Janata Party,9214,44.907,,2021-2026 (term ended 09 Feb 2026; now under Special Officer),Telangana SEC via OpenCity GHMC Election Results 2020,
16,Hasthinapuram,Scheduled Tribe (Women),BANOTH SUJATHA,BJP,Bharatiya Janata Party,8036,38.705,,2021-2026 (term ended 09 Feb 2026; now under Special Officer),Telangana SEC via OpenCity GHMC Election Results 2020,
17,Champapet,Unreserved,VANGA MADHUSUDHAN REDDY,BJP,Bharatiya Janata Party,15164,63.805,,2021-2026 (term ended 09 Feb 2026; now under Special Officer),Telangana SEC via OpenCity GHMC Election Results 2020,
18,Lingojiguda,Unreserved,AKULA RAMESH GOUD,BJP,Bharatiya Janata Party,10340,44.602,,2021-2026 (term ended 09 Feb 2026; now under Special Officer),Telangana SEC via OpenCity GHMC Election Results 2020,Source open-CSV has interleaved duplicate rows for this ward; winner taken as highest-vote Position=1 (matches Wikipedia: BJP).
19,Saroornagar,Women,AKULA SRIVANI,BJP,Bharatiya Janata Party,12085,52.681,,2021-2026 (term ended 09 Feb 2026; now under Special Officer),Telangana SEC via OpenCity GHMC Election Results 2020,
20,Ramakrishnapuram,Women,RADHA VEERANNAGARI,BJP,Bharatiya Janata Party,13036,51.144,,2021-2026 (term ended 09 Feb 2026; now under Special Officer),Telangana SEC via OpenCity GHMC Election Results 2020,
21,Kothapet,Unreserved,PAVAN KUMAR NAIKOTI,BJP,Bharatiya Janata Party,11371,54.274,,2021-2026 (term ended 09 Feb 2026; now under Special Officer),Telangana SEC via OpenCity GHMC Election Results 2020,
22,Chaitanyapuri,Unreserved,Ranga Venkat Narsimha Rao,BJP,Bharatiya Janata Party,10500,59.055,,2021-2026 (term ended 09 Feb 2026; now under Special Officer),Telangana SEC via OpenCity GHMC Election Results 2020,
23,Gaddiannaram,Unreserved,BADDAM PREM MAHESWAR REDDY,BJP,Bharatiya Janata Party,10712,52.597,,2021-2026 (term ended 09 Feb 2026; now under Special Officer),Telangana SEC via OpenCity GHMC Election Results 2020,
24,Saidabad,Women,KOTHAKAPU ARUNA,BJP,Bharatiya Janata Party,10621,49.269,,2021-2026 (term ended 09 Feb 2026; now under Special Officer),Telangana SEC via OpenCity GHMC Election Results 2020,
25,Moosarambagh,Women,B. BHAGYA LAKSHMI,BJP,Bharatiya Janata Party,10353,48.29,,2021-2026 (term ended 09 Feb 2026; now under Special Officer),Telangana SEC via OpenCity GHMC Election Results 2020,
26,Oldmalakpet,Backward Classes (Women),Dr JUWERIA FATIMA,AIMIM,All India Majlis-E Ithehad-Ul Muslimeen,12200,58.045,,2021-2026 (term ended 09 Feb 2026; now under Special Officer),Telangana SEC via OpenCity GHMC Election Results 2020,
27,Akberbagh,Unreserved,SYED MINHAJUDDIN,AIMIM,All India Majlis-E Ithehad-Ul Muslimeen,8908,51.24,,2021-2026 (term ended 09 Feb 2026; now under Special Officer),Telangana SEC via OpenCity GHMC Election Results 2020,
28,Azampura,Women,AYESHA JAHAN NASEEM,AIMIM,All India Majlis-E Ithehad-Ul Muslimeen,9868,48.158,,2021-2026 (term ended 09 Feb 2026; now under Special Officer),Telangana SEC via OpenCity GHMC Election Results 2020,
29,Chavni,Backward Class,MOHAMMAED ABDUL SALAM SHAHID,AIMIM,All India Majlis-E Ithehad-Ul Muslimeen,14714,75.553,,2021-2026 (term ended 09 Feb 2026; now under Special Officer),Telangana SEC via OpenCity GHMC Election Results 2020,
