State_Name,Year,Polling_Date,Seat,Poll,District,LB_Name,LB_Type,LB_Code,Ward_No,Ward_Name,Ward_Reservation,OSN,Candidate_Name,Father_Husband_Name,Candidate_Name_O,Father_Husband_Name_O,Gender,Age,Category,Party_ID,Party_Name,Party_Abbreviation,Education,Votes,Position,Status,N_Cand,Valid_Votes,Vote_Share_Percentage,Deposit_Lost,Total_Electors,Total_Votes,Rejected_Votes,Voter_Turnout_Percentage,Notes,Affidavit 
Telangana,2020,,,0,Hyderabad,GHMC,MC,11,1,Kapra,Scheduled Caste,4,S.SWARNA RAJ,,,,,,,8284,Telangana Rashtra Samithi,TRS,,8762,1,,5,20464,41.994,,46223,20865,401,45.14,,
Telangana,2020,,,0,Hyderabad,GHMC,MC,11,1,Kapra,Scheduled Caste,1,ALLAKONDKAR VINOD KUMAR,,,,,,,1605,Bharatiya Janata Party,BJP,,6684,2,,5,20464,32.035,,46223,20865,401,45.14,,
Telangana,2020,,,0,Hyderabad,GHMC,MC,11,1,Kapra,Scheduled Caste,2,PATHI KUMAR,,,,,,,3482,CONGRESS,INC,,3631,3,,5,20464,17.402,,46223,20865,401,45.14,,
Telangana,2020,,,0,Hyderabad,GHMC,MC,11,1,Kapra,Scheduled Caste,3,MUNIGADAPA SREERAMULU,,,,,,,8300,Telugu Desam,TDP,,788,4,,5,20464,3.777,,46223,20865,401,45.14,,
Telangana,2020,,,0,Hyderabad,GHMC,MC,11,1,Kapra,Scheduled Caste,5,KANDREGULA VENUGOPAL RAO,,,,,,,8272,Telangana Jana Samithi,TJSP,,380,5,,5,20464,1.821,,46223,20865,401,45.14,https://www.newindianexpress.com/cities/hyderabad/2020/dec/07/ghmc-results-independents-win-no-seats-but-cut-into-vote-share-of-others-2232779.html,
Telangana,2020,,,0,Hyderabad,GHMC,MC,11,1,Kapra,Scheduled Caste,,NOTA,,,,,,,,,,,219,6,,5,20464,1.05,,46223,20865,401,45.14,,
Telangana,2020,,,0,Hyderabad,GHMC,MC,11,2,Dr.A.S.Rao nagar,Women,4,SHIRISHA REDDY SINGIREDDY,,,,,,,3482,CONGRESS,INC,,9043,1,,6,19137,46.77,,41691,19335,198,46.377,,
Telangana,2020,,,0,Hyderabad,GHMC,MC,11,2,Dr.A.S.Rao nagar,Women,1,CHANDRIKA MEDURI,,,,,,,1605,Bharatiya Janata Party,BJP,,4647,2,,6,19137,24.034,,41691,19335,198,46.377,,
Telangana,2020,,,0,Hyderabad,GHMC,MC,11,2,Dr.A.S.Rao nagar,Women,3,PAJJURI PAVANI MANIPAL REDDY,,,,,,,8284,Telangana Rashtra Samithi,TRS,,4513,3,,6,19137,23.341,,41691,19335,198,46.377,,
Telangana,2020,,,0,Hyderabad,GHMC,MC,11,2,Dr.A.S.Rao nagar,Women,2,DUDALA NIRMALA,,,,,,,8300,Telugu Desam,TDP,,738,4,,6,19137,3.817,,41691,19335,198,46.377,,
Telangana,2020,,,0,Hyderabad,GHMC,MC,11,2,Dr.A.S.Rao nagar,Women,5,BHADRAGAMA ARCHANA,,,,,,,8272,Telangana Jana Samithi,TJSP,,19,5,,6,19137,0.098,,41691,19335,198,46.377,https://www.newindianexpress.com/cities/hyderabad/2020/dec/07/ghmc-results-independents-win-no-seats-but-cut-into-vote-share-of-others-2232779.html,
Telangana,2020,,,0,Hyderabad,GHMC,MC,11,2,Dr.A.S.Rao nagar,Women,6,V. PUSHPA LATHA,,,,,,,10809,Independent,IND,,11,6,,6,19137,0.057,,41691,19335,198,46.377,,
Telangana,2020,,,0,Hyderabad,GHMC,MC,11,2,Dr.A.S.Rao nagar,Women,,NOTA,,,,,,,,,,,166,7,,6,19137,0.859,,41691,19335,198,46.377,,
Telangana,2020,,,0,Hyderabad,GHMC,MC,11,3,Cherlapally,Backward Class,2,BONTHU SRIDEVI,,,,,,,8284,Telangana Rashtra Samithi,TRS,,11635,1,,7,24220,46.77,,46444,24877,657,53.563,,
Telangana,2020,,,0,Hyderabad,GHMC,MC,11,3,Cherlapally,Backward Class,5,SURENDER GOUD KASULA,,,,,,,1605,Bharatiya Janata Party,BJP,,8905,2,,7,24220,35.796,,46444,24877,657,53.563,,
Telangana,2020,,,0,Hyderabad,GHMC,MC,11,3,Cherlapally,Backward Class,3,G.YADAGIRI,,,,,,,3482,CONGRESS,INC,,1287,3,,7,24220,5.173,,46444,24877,657,53.563,,
Telangana,2020,,,0,Hyderabad,GHMC,MC,11,3,Cherlapally,Backward Class,7,BODIGE RAJU GOUD,,,,,,,10809,Independent,IND,,702,4,,7,24220,2.822,,46444,24877,657,53.563,,
Telangana,2020,,,0,Hyderabad,GHMC,MC,11,3,Cherlapally,Backward Class,4,RUDRAGONI RAMCHANDAR GOUD,,,,,,,8300,Telugu Desam,TDP,,606,5,,7,24220,2.436,,46444,24877,657,53.563,,
Telangana,2020,,,0,Hyderabad,GHMC,MC,11,3,Cherlapally,Backward Class,6,NIMMALA BHANU TEJA GOUD,,,,,,,10809,Independent,IND,,585,6,,7,24220,2.352,,46444,24877,657,53.563,,
Telangana,2020,,,0,Hyderabad,GHMC,MC,11,3,Cherlapally,Backward Class,1,PILLI VENKATESWARLU,,,,,,,14635,COMMUNIST MARXIST PARTY OF INDIA,CPM,,224,7,,7,24220,0.9,,46444,24877,657,53.563,,
Telangana,2020,,,0,Hyderabad,GHMC,MC,11,3,Cherlapally,Backward Class,,NOTA,,,,,,,,,,,276,8,,7,24220,1.109,,46444,24877,657,53.563,,
Telangana,2020,,,0,Hyderabad,GHMC,MC,11,4,Meerpet H.B.Colony,Scheduled Caste,2,J. PRABHU DASS,,,,,,,8284,Telangana Rashtra Samithi,TRS,,11266,1,,10,20743,53.064,,43559,21231,488,48.741,,
Telangana,2020,,,0,Hyderabad,GHMC,MC,11,4,Meerpet H.B.Colony,Scheduled Caste,3,BANGI JAYA LAKSHMI,,,,,,,1605,Bharatiya Janata Party,BJP,,7327,2,,10,20743,34.511,,43559,21231,488,48.741,,
Telangana,2020,,,0,Hyderabad,GHMC,MC,11,4,Meerpet H.B.Colony,Scheduled Caste,1,POLEPAKA ANJAIAH,,,,,,,3482,CONGRESS,INC,,1812,3,,10,20743,8.535,,43559,21231,488,48.741,,
Telangana,2020,,,0,Hyderabad,GHMC,MC,11,4,Meerpet H.B.Colony,Scheduled Caste,8,A. MANIKANTA,,,,,,,10809,Independent,IND,,54,4,,10,20743,0.254,,43559,21231,488,48.741,,
Telangana,2020,,,0,Hyderabad,GHMC,MC,11,4,Meerpet H.B.Colony,Scheduled Caste,9,V. R. SRINIVAS,,,,,,,10809,Independent,IND,,44,5,,10,20743,0.207,,43559,21231,488,48.741,,
Telangana,2020,,,0,Hyderabad,GHMC,MC,11,4,Meerpet H.B.Colony,Scheduled Caste,10,SUNCHU MADHAN MOHAN,,,,,,,10809,Independent,IND,,19,6,,10,20743,0.089,,43559,21231,488,48.741,,
Telangana,2020,,,0,Hyderabad,GHMC,MC,11,4,Meerpet H.B.Colony,Scheduled Caste,4,MUKKA RAJA MALLAIAH,,,,,,,5399,Marxist Communist Party of India (United),MCPIU,,12,7,,10,20743,0.057,,43559,21231,488,48.741,,
Telangana,2020,,,0,Hyderabad,GHMC,MC,11,4,Meerpet H.B.Colony,Scheduled Caste,6,KAMPALLY VIJAY KUMAR,,,,,,,10809,Independent,IND,,9,8,,10,20743,0.042,,43559,21231,488,48.741,,
Telangana,2020,,,0,Hyderabad,GHMC,MC,11,4,Meerpet H.B.Colony,Scheduled Caste,7,KONGARA SHYAM NARSING,,,,,,,10809,Independent,IND,,9,9,,10,20743,0.042,,43559,21231,488,48.741,,
Telangana,2020,,,0,Hyderabad,GHMC,MC,11,4,Meerpet H.B.Colony,Scheduled Caste,5,KATTULA PRUDVI KUMAR,,,,,,,10809,Independent,IND,,4,10,,10,20743,0.019,,43559,21231,488,48.741,,
Telangana,2020,,,0,Hyderabad,GHMC,MC,11,4,Meerpet H.B.Colony,Scheduled Caste,,NOTA,,,,,,,,,,,187,11,,10,20743,0.881,,43559,21231,488,48.741,,
Telangana,2020,,,0,Hyderabad,GHMC,MC,11,5,Mallapur,Unreserved,1,DEVENDAR REDDY PANNALA,,,,,,,8284,Telangana Rashtra Samithi,TRS,,9157,1,,13,22406,39.68,,48359,23077,671,47.72,,
Telangana,2020,,,0,Hyderabad,GHMC,MC,11,5,Mallapur,Unreserved,2,RANGU MALLIKARJUN GOUD,,,,,,,1605,Bharatiya Janata Party,BJP,,6465,2,,13,22406,28.015,,48359,23077,671,47.72,,
Telangana,2020,,,0,Hyderabad,GHMC,MC,11,5,Mallapur,Unreserved,3,VANGETI SANJEEVA REDDY,,,,,,,3482,CONGRESS,INC,,2617,3,,13,22406,11.34,,48359,23077,671,47.72,,
Telangana,2020,,,0,Hyderabad,GHMC,MC,11,5,Mallapur,Unreserved,8,S.V. KRISHNA,,,,,,,10809,Independent,IND,,761,4,,13,22406,3.298,,48359,23077,671,47.72,,
Telangana,2020,,,0,Hyderabad,GHMC,MC,11,5,Mallapur,Unreserved,5,SURNAM RAJESHWAR,,,,,,,8300,Telugu Desam,TDP,,584,5,,13,22406,2.531,,48359,23077,671,47.72,,
Telangana,2020,,,0,Hyderabad,GHMC,MC,11,5,Mallapur,Unreserved,4,T. SATYA PRASAD BABU,,,,,,,2444,Communist Part of India,CPI,,568,6,,13,22406,2.461,,48359,23077,671,47.72,,
Telangana,2020,,,0,Hyderabad,GHMC,MC,11,5,Mallapur,Unreserved,11,MOHAMMED OSMAN,,,,,,,10809,Independent,IND,,495,7,,13,22406,2.145,,48359,23077,671,47.72,,
Telangana,2020,,,0,Hyderabad,GHMC,MC,11,5,Mallapur,Unreserved,12,S. RAVINDRA SAGAR,,,,,,,10809,Independent,IND,,457,8,,13,22406,1.98,,48359,23077,671,47.72,,
Telangana,2020,,,0,Hyderabad,GHMC,MC,11,5,Mallapur,Unreserved,6,KOTHA MANI,,,,,,,8272,Telangana Jana Samithi,TJSP,,409,9,,13,22406,1.772,,48359,23077,671,47.72,https://www.newindianexpress.com/cities/hyderabad/2020/dec/07/ghmc-results-independents-win-no-seats-but-cut-into-vote-share-of-others-2232779.html,
Telangana,2020,,,0,Hyderabad,GHMC,MC,11,5,Mallapur,Unreserved,7,KALAGA SARVESHWAR RAO,,,,,,,10809,Independent,IND,,361,10,,13,22406,1.564,,48359,23077,671,47.72,,
Telangana,2020,,,0,Hyderabad,GHMC,MC,11,5,Mallapur,Unreserved,10,BOLLAMPALLY NIRMALA,,,,,,,10809,Independent,IND,,208,11,,13,22406,0.901,,48359,23077,671,47.72,,
Telangana,2020,,,0,Hyderabad,GHMC,MC,11,5,Mallapur,Unreserved,9,PEDIMOOTHY SHIVA KUMAR,,,,,,,10809,Independent,IND,,144,12,,13,22406,0.624,,48359,23077,671,47.72,,
Telangana,2020,,,0,Hyderabad,GHMC,MC,11,5,Mallapur,Unreserved,13,RAMPALLY MALLESH GOUD,,,,,,,10809,Independent,IND,,5,13,,13,22406,0.022,,48359,23077,671,47.72,,
Telangana,2020,,,0,Hyderabad,GHMC,MC,11,5,Mallapur,Unreserved,,NOTA,,,,,,,,,,,175,14,,13,22406,0.758,,48359,23077,671,47.72,,
Telangana,2020,,,0,Hyderabad,GHMC,MC,11,6,Nacharam,Women,3,SHANTHI SAIZEN SHEKAR,,,,,,,8284,Telangana Rashtra Samithi,TRS,,9549,1,,5,23003,40.731,,54477,23444,441,43.035,,
Telangana,2020,,,0,Hyderabad,GHMC,MC,11,6,Nacharam,Women,1,AMPALA ANITHA,,,,,,,1605,Bharatiya Janata Party,BJP,,7495,2,,5,23003,31.97,,54477,23444,441,43.035,,
Telangana,2020,,,0,Hyderabad,GHMC,MC,11,6,Nacharam,Women,2,MEDALA JYOTHI,,,,,,,3482,CONGRESS,INC,,5592,3,,5,23003,23.853,,54477,23444,441,43.035,,
Telangana,2020,,,0,Hyderabad,GHMC,MC,11,6,Nacharam,Women,5,SHIRISHA G,,,,,,,10809,Independent,IND,,65,4,,5,23003,0.277,,54477,23444,441,43.035,,
Telangana,2020,,,0,Hyderabad,GHMC,MC,11,6,Nacharam,Women,4,PARVEEN TABASSUM,,,,,,,8272,Telangana Jana Samithi,TJSP,,46,5,,5,23003,0.196,,54477,23444,441,43.035,https://www.newindianexpress.com/cities/hyderabad/2020/dec/07/ghmc-results-independents-win-no-seats-but-cut-into-vote-share-of-others-2232779.html,
Telangana,2020,,,0,Hyderabad,GHMC,MC,11,6,Nacharam,Women,,NOTA,,,,,,,,,,,256,6,,5,23003,1.092,,54477,23444,441,43.035,,
Telangana,2020,,,0,Hyderabad,GHMC,MC,11,7,Chiluka nagar,Women,4,Bannala Geeta Praveen,,,,,,,8284,Telangana Rashtra Samithi,TRS,,10205,1,,8,23440,42.661,,52407,23921,481,45.645,,
Telangana,2020,,,0,Hyderabad,GHMC,MC,11,7,Chiluka nagar,Women,2,Gone Shailaja,,,,,,,1605,Bharatiya Janata Party,BJP,,9597,2,,8,23440,40.12,,52407,23921,481,45.645,,
Telangana,2020,,,0,Hyderabad,GHMC,MC,11,7,Chiluka nagar,Women,5,M. Beena Reddy,,,,,,,3482,CONGRESS,INC,,2724,3,,8,23440,11.387,,52407,23921,481,45.645,,
