Sl. No,Zone Name,Circle No.,Name of the Park,Category,Area in Acres
1,East,1,Dr. A.S. Rao Nagar Park,Major Park,2
2,East,1,Sainikpuri 'E' Sector Park,Major Park,2
3,East,3,NGO's Colony Park Vanasthalipuram,Major Park,2
4,East,3,Sachivalaya Nagar Park,Major Park,2
5,South,4,Palmetum Park,Theme Park,1
6,South,5,Imlibun Park,City Level Park,9
7,South,5,Moosi Landscape Garden,Major Park,3.5
8,Central,7,Cha Cha Nehru Park,City Level Park,12.75
9,Central,7,Red Hills City Level Park Park,Major Park,1.52
10,Central,8,Feroz Gandhi Park,Major Park,0.6
11,Central,8,Gun Park,Major Park,0.99
12,Central,9,Indira Park,City Level Park,69.4
13,Central,9,Sundaraiah Park,Major Park,4
14,Central,10,K. Laxminarayana Yadav Park,City Level Park,8
15,Central,10,Jalagam Vengal Rao Park,City Level Park,9.85
16,Central,10,Kamalapuri Park,Major Park,1.9
17,Central,10,Krishnakanth Park,City Level Park,22
18,Central,10,Bamboo Garden,Theme Park,1
19,Central,10,Bougainvillea Garden,Theme Park,2.42
20,Central,10,Butterfly Garden,Theme Park,8.5
21,Central,10,Climber Garden,Theme Park,1.2
22,Central,10,Ficus Garden,Theme Park,18
23,Central,10,Herbal Garden,Theme Park,12
24,Central,10,Japanees Garden,Theme Park,1.5
25,Central,10,Lotus Pond - I Theme Park,Theme Park,15
26,Central,10,Lotus Pond - II Theme Park,Theme Park,2
27,Central,10,Rainbow Garden,Theme Park,15
28,Central,10,Sacred Plants Garden,Theme Park,0.65
29,West,11,BHEL MIG 'F' Park,Major Park,1.2
30,West,11,BHEL MIG Vivekananda Park,Major Park,1.5
31,West,11,"BHEL MIL Colony Park at Surkhi Office, Beside Vani School",Major Park,3.5
32,West,11,BHEL Old MIG Navabharath Park,Major Park,1.3
33,West,11,Gulmohar Park,Major Park,3.2
34,West,11,HUDA Trade Centre,Major Park,1.7
35,West,11,Telecom Nagar Park - I,Major Park,2.5
36,West,12,Deepthi Srinagar Park Serilingampally,Major Park,2.8
37,West,12,"Jayaprakash Nagar Colony Park-II, Serilingampally",Major Park,2
38,West,12,Mayuri Nagar Colony Park - I,Major Park,1.5
39,West,12,Pragathi Enclave Park,Major Park,1.6
40,West,13,Annamaiah Colony Park,Major Park,1.3
41,West,13,Balavihar Colony Park,Major Park,1.7
42,West,13,HIG Park – I,Major Park,2
43,West,14,Kukatpally Phase – VII colony Park - I,Major Park,2.1
44,West,14,Kukatpally Phase – IX colony Park - I,Major Park,0.6
45,West,14,Prashanth Nagar colony Park,Major Park,0.62
46,North,15,SR Naik Nagar Park,Major Park,1.2
47,North,15,Minakshi Estate,Major Park,1.01
48,North,15,Ushodaya Park,Major Park,2
49,North,18,Clock Tower Park,Major Park,1.8
,,,Total area:,,266.91
