Name of Ground,Location,Area in Sq. Mtr,Circle ,Zone
"APHB Colony, Moulali",Kapra,1500,1,East Zone
Arul Colony,Kapra,2925,1,East Zone
Gandhi Nagar,Kapra,800,1,East Zone
J J Nagar ,Kapra,10450,1,East Zone
K L Reddy Nagar,Kapra,625,1,East Zone
Kushaiguda Huda Park,Kapra,1200,1,East Zone
LIG Colony,Kapra,4125,1,East Zone
Srinivas Nagar,Kapra,2925,1,East Zone
Valvalnagar,Kapra,1800,1,East Zone
Charlapally Phase - 1,Kapra,4500,1,East Zone
Charlapally Phase - II,Kapra,4800,1,East Zone
Hanuman Temle Back Side AS Rao Nagar,Kapra,2700,1,East Zone
Vasavi Shiva Nagar,Kapra,1500,1,East Zone
Mallapur,Kapra,500,1,East Zone
EC Nagar charlapally,Kapra,1575,1,East Zone
Uppal Stadium,Uppal,4510,2,East Zone
Balaji Enclave,Uppal,900,2,East Zone
Gokul Nagar Play Ground,Uppal,2600,2,East Zone
Pragathi Nagar Play Ground,Uppal,475,2,East Zone
Sathyanagar Play Ground,Uppal,4675,2,East Zone
Vivek Nagar Play Ground,Uppal,5084,2,East Zone
Ganesh Nagar Play Ground,Uppal,1575,2,East Zone
Harijana Basthi Play Ground,Uppal,1050,2,East Zone
Venkatareddy Nagar Play Ground,Uppal,700,2,East Zone
Satya Nagar Colony,Vanasthalipuram,1505,3,East Zone
T.V.Colony Vanasthalipuram,Vanasthalipuram,1271,3,East Zone
Vanasthalipuram Phase-1,Back side of sushma Theater,3341.56,3,East Zone
NGO's Colony,Vanasthalipuram,4250,3,East Zone
Saheb Nagar Weaker Section Colony,Vanasthalipuram,477,3,East Zone
Vijayapuri Colony Phase-2,Vanasthalipuram,3237.5,3,East Zone
Sri Krishna Devaraya Nagar-1, Near Kartikeya School Vanasthalipuram,619.1,3,East Zone
Phase-IV Colony,Phase-IV-2 Vanasthalipuram,1122,3,East Zone
Sachivalaya Nagar ,Vanasthalipuram,9375,3,East Zone
Cherukuthota Colony Play Ground,Saroornagar,60.72,3,East Zone
Mallikarjun Nagar (north),Mansoorabad,44.4,3,East Zone
Mallikarjun Nagar-1,Mansoorabad,44.4,3,East Zone
Ushodaya Colony-2,Ushodaya Colony-2 Hayathnagar,22.8,3,East Zone
Hayath Nagar Old Village-1,Hayath Nagar Old Village,49.8,3,East Zone
Vijay Nagar Colony,Vijay Nagar Colony Hayath Nagar,57.72,3,East Zone
Vanasthali Hills Colony,Vanasthali Hills Colony,111.78,3,East Zone
Sachivalaya Nagar Indra Gandhi Badminton Indoor Stadium,Sachivalaya Nagar Sector-4 Vanasthalipuram,76.59,3,East Zone
Virat Nagar-2,Virat Nagar Rd No-2,149.76,3,East Zone
Virat Nagar-1,Virat Nagar Rd No-3,10.73,3,East Zone
Jyothi Nagar Colony,Jyothi Nagar Colony Rd No-5,104.04,3,East Zone
Sai Ram Nagar Colony,Sai Ram Nagar Colony,22.08,3,East Zone
Dhathu Nagar-1,Dhathu Nagar-1,68.34,3,East Zone
Huda Colony,Huda Colony,34.04,3,East Zone
Alkapuri Colony,Alkapuri Colony Ramakrishnapuram,119.88,3,East Zone
New Maruthi Nagar,Kothapet,58.2,3,East Zone
Sri Sri Veera Bhoga Vasantha Raya Nagar Colony,Mansoorabad,61.2,3,East Zone
BDL Colony Play -1,Near Bhagyalatha Colony Hayathnagar,19.55,3,East Zone
BDL Colony Play -2,Near Bhagyalatha Colony Hayathnagar,51.45,3,East Zone
BDL Colony Play -3,Near Bhagyalatha Colony Hayathnagar,53.82,3,East Zone
Kamala Nagar-Hayathnagar,Kamala Nagar-Hayathnagar,24.05,3,East Zone
Ushodaya Colony-1,Ushodaya Colony-1 Hayathnagar,302.27,3,East Zone
Hayath Nagar Old Village-2,Hayath Nagar Old Village,87.6,3,East Zone
Defense Colony-1, Hayath Nagar Old Village,29.93,3,East Zone
Defense Colony-2, Hayath Nagar ,195.36,3,East Zone
RTC Colony Hayath nagar, Hayath nagar,68.08,3,East Zone
Sachivalaya Nagar,vanasthalipuram,84.64,3,East Zone
Sri Krishna Devaraya Nagar-2,Near Sidhartha School Vanasthalipuram,283.5,3,East Zone
Sri Krishna Devaraya Nagar-3,Vanasthalipuram,394.8,3,East Zone
Sachivalaya Nagar ,Sachivalaya Nagar Vanasthalipuram,342.25,3,East Zone
RTC Colony Phase-1 Vanasthalipuram, Rd No-3 Vanasthalipuram,76.59,3,East Zone
New Gayathri Nagar,New Gayathri Nagar Rd No-2,41.65,3,East Zone
Adikari Nagar,Adikari Nagar,25.96,3,East Zone
Dhathu Nagar-2,Dhathu Nagar-2,52.02,3,East Zone
Dhathu Nagar-3,Dhathu Nagar-3,35.88,3,East Zone
Doctors Colony,Doctors Colony,13.8,3,East Zone
Khaja nagar Welfare association Development Society hall banjara hills,12 No. kaman Backside,294,10,Central Zone
Adikmet Playground,Adikmet,1581,9,Central Zone
Laxmamma Layout Pg,Adikmet,308,9,Central Zone
Lalitha Nagar,Adikmet,720,9,Central Zone
Owaisi Playground,Ahmed Nagar,4000,7,Central Zone
First Lancer Community Hall,Ahmed Nagar,1080,7,Central Zone
Sri Ram Nagar Park and Playground,Ahmed Nagar,1434,7,Central Zone
Masjid Ground,Ahmed Nagar,108,7,Central Zone
Journalist Co-Op. Hs. No.III,Ambedkar University Road,1800,10,Central Zone
Journalist Colony `A',Ambedkar University Road,1100,10,Central Zone
Srinagar Colony Tennis Court,Andhra Bank Backside,240,10,Central Zone
S.R.Nagar,Andhra Bank Opp lane,500,10,Central Zone
Old Ashok Nagar,Ashok Nagar,575,9,Central Zone
Sri Sai Co.op. Society,Back Side A.T.I,875,9,Central Zone
"Satyanarayana Co-Op. Hs, Jai Prakash Nagar No.I",Back Side Balkampet Temple,2475,10,Central Zone
"Satyanarayana Co-Op. Hs, Jai Prakash Nagar No.II",Back Side Balkampet Temple Lane,375,10,Central Zone
Srt Qrts,Back Side Jawahar Nagar,1085,9,Central Zone
Erramanzil Colony,Back Side NIMS Hospital,1520,10,Central Zone
Yousufguda,Back Side of Bus Stop,6885,10,Central Zone
Ram Kote,Backside Maheshwari Talkies,152,8,Central Zone
Dilawar Gunj,Backside Manghalhat PS,527,7,Central Zone
"Sri Bn Reddy, Rd No.14, B.Hills",Backside Nandi Nagar,50,10,Central Zone
"Srii Bn Reddy, Rd No.14, B.Hills",Backside Nandi Nagar,40,10,Central Zone
Film Nagar II,Backside Sai Baba Temple,80,10,Central Zone
Film Nagar I,Backside Sai Baba Temple,1000,10,Central Zone
Jayaprakash Nagar,Backside of Balkampet,660,10,Central Zone
Journalist Co-Op. Society,Backside of Bharathi Vidya Bhavan,300,10,Central Zone
Adarsh Nagar,Backside of Birla Mandir,616,8,Central Zone
Kamalapuri Colony Playground,Backside of Green Bawarchi,1702,10,Central Zone
Gandhi Nagar (Khairatabad),Backside of Khairtabad Ganesh,100,10,Central Zone
GHMC Ground Sanath Nagar,Backside of Police Station,1479,10,Central Zone
Sanath Nagar H.No.901 Srt,Backside of Sanathnagar Hospital,540,10,Central Zone
Nehru GHMC Ground Sanath Nagar,Backside of Sanathnagar Hospital,2436,10,Central Zone
"Mr Sham Rao Playground
Sanath Nagar",Backside of Sanathnagar Ward office,3159,10,Central Zone
Erramanzil Colony 2,Balapur Basthi,252,10,Central Zone
LIG Park,Balkampet Ward Office Road,200,10,Central Zone
C-Type Park,Balkampet Ward Office Road,399,10,Central Zone
"P.S. Reddy, Rd No.7, Banjara Hills",Banjara Hills E-Seva backside,1400,10,Central Zone
Zeba Bagh,Behind Masjid E Bowli,1100,7,Central Zone
"Narayana Prasad, Yella Reeddy Guda, Behind Sarathi Studio",Behind Sarathi Studio,1749,10,Central Zone
"Kazimunnisa, Rd. No.12, Banjara Hills",Beside ,10952,10,Central Zone
Ibhrahim Bagh,Beside Army Qtrs,600,7,Central Zone
Sanath Nagar H.No.1022 Srt,Beside Ayyappa Swamy temple,672,10,Central Zone
B.K.Guda Residence Welfar association,Beside Balkampet Ward Office,450,10,Central Zone
Vengal Rao Nagar,Beside Gouthami HS,1600,10,Central Zone
Aram Ghar,Beside Masjid,1155,7,Central Zone
"Jalagam Vengal Rao, rd No.12, Banjara Hills",Beside Narasimha Swamy Temple,875,10,Central Zone
Muchkunda Nagar,Beside Raheempura,1152,7,Central Zone
Ps Nagar (Old),Beside St Anna's School,900,7,Central Zone
Film Nagar III,Beside TSSPDCL,150,10,Central Zone
Ramdevguda,Beside Vasavi Engg College,200,7,Central Zone
"Keshav, Yellareddyguda, Sri Nagar Colony",Beside Water Works,13905,10,Central Zone
Mini Cricket Ground Sanathnagar ,Bus Stand opp. Lane,6500,10,Central Zone
S.R.Nagar,Bustop Opp. Lane,7560,10,Central Zone
Madhura Nagar III,C Block,300,10,Central Zone
Anand Nagar,Chintal Basthi Backside,875,10,Central Zone
Mahesh Nagar,Chirag Ali lane,260,8,Central Zone
Sri Nagar Colony,D-Park Back Side,2650,10,Central Zone
Ameerpet pg,Dharamkaram Road,4980,10,Central Zone
