level,constituency,name,party,source
AC,43 Medchal,Chamakura Malla Reddy,BRS,MyNeta Telangana 2023 / ECI
AC,55 Vicarabad (SC),Gaddam Prasad Kumar,INC,MyNeta Telangana 2023 / ECI
AC,45 Quthbullapur,K. P. Vivekanand,BRS,MyNeta Telangana 2023 / ECI
AC,44 Malkajgiri,Marri Rajashekar Reddy,BRS,MyNeta Telangana 2023 / ECI
AC,53 Chevella (SC),Kale Yadaiah,BRS,MyNeta Telangana 2023 / ECI
AC,52 Serilingampally,Arekapudi Gandhi,BRS,MyNeta Telangana 2023 / ECI
AC,46 Kukatpalle,Madhavaram Krishna Rao,BRS,MyNeta Telangana 2023 / ECI
AC,47 Uppal,Bandaru Lakshma Reddy,BRS,MyNeta Telangana 2023 / ECI
AC,71 Secunderabad Cantt. (SC,G. Sriganesh,INC,MyNeta Telangana 2023 / ECI
AC,56 Tandur,B. Manohar Reddy,INC,MyNeta Telangana 2023 / ECI
AC,62 Sanathnagar,Talasani Srinivas Yadav,BRS,MyNeta Telangana 2023 / ECI
AC,70 Secunderabad,T. Padma Rao,BRS,MyNeta Telangana 2023 / ECI
AC,59 Amberpet,Kaleru Venkatesh,BRS,MyNeta Telangana 2023 / ECI
AC,61 Jubilee Hills,Maganti Gopinath,BRS,MyNeta Telangana 2023 / ECI
AC,57 Musheerabad,Muta Gopal,BRS,MyNeta Telangana 2023 / ECI
AC,51 Rajendranagar,T. Prakash Goud,BRS,MyNeta Telangana 2023 / ECI
AC,63 Nampally,Mohammed Majid Hussain,AIMIM,MyNeta Telangana 2023 / ECI
AC,60 Khairatabad,Danam Nagender,BRS,MyNeta Telangana 2023 / ECI
AC,64 Karwan,Kausar Mohiuddin,AIMIM,MyNeta Telangana 2023 / ECI
AC,58 Malakpet,Ahmed Bin Abdullah Balala,AIMIM,MyNeta Telangana 2023 / ECI
AC,65 Goshamahal,T. Raja Singh,BJP,MyNeta Telangana 2023 / ECI
AC,69 Bahadurpura,Mohammed Mubeen,AIMIM,MyNeta Telangana 2023 / ECI
AC,66 Charminar,Mir Zulfeqar Ali,AIMIM,MyNeta Telangana 2023 / ECI
AC,49 Lal Bahadur Nagar,Devireddy Sudhir Reddy,BRS,MyNeta Telangana 2023 / ECI
AC,68 Yakutpura,Jaffar Hussain,AIMIM,MyNeta Telangana 2023 / ECI
AC,67 Chandrayangutta,Akbaruddin Owaisi,AIMIM,MyNeta Telangana 2023 / ECI
AC,54 Pargi,Tammannagari Ram Mohan Reddy,INC,MyNeta Telangana 2023 / ECI
AC,50 Maheswaram,Sabitha Indra Reddy,BRS,MyNeta Telangana 2023 / ECI
PC,Chevella,Konda Vishweshwar Reddy,BJP,Wikipedia 18th Lok Sabha / ECI 2024 / elections.tn.gov.in
PC,Secunderabad,G. Kishan Reddy,BJP,Wikipedia 18th Lok Sabha / ECI 2024 / elections.tn.gov.in
PC,Hyderabad,Asaduddin Owaisi,AIMIM,Wikipedia 18th Lok Sabha / ECI 2024 / elections.tn.gov.in
PC,Malkajgiri,Eatala Rajender,BJP,Wikipedia 18th Lok Sabha / ECI 2024 / elections.tn.gov.in
