type,number,constituency,representative,party
AC,40,Kotputli,Hansraj Patel,BJP
AC,41,Viratnagar,Kuldeep Dhankad,BJP
AC,42,Shahpura,Manish Yadav,INC
AC,43,Chomu,Shikha Meel Barala,INC
AC,44,Phulera,Vidhyadhar Singh,INC
AC,47,Amber,Prashant Sharma,INC
AC,48,Jamwa Ramgarh (ST),Mahendra Pal Meena,BJP
AC,46,Jhotwara,Rajyavardhan Rathore,BJP
AC,50,Vidhyadhar Nagar,Diya Kumari,BJP
AC,57,Bassi (ST),Laxman Meena,INC
AC,45,Dudu (SC),Prem Chand Bairwa,BJP
AC,56,Bagru (SC),Kailash Chand Verma,BJP
AC,58,Chaksu (SC),Ramavtar Bairwa,BJP
AC,55,Sanganer,Bhajan Lal Sharma,BJP
AC,54,Malviya Nagar,Kalicharan Saraf,BJP
AC,52,KIshan Pole,Amin Kagzi,INC
AC,53,Adarsh Nagar,Rafeek Khan,INC
AC,49,Hawa Mahal,Balmukundacharya,BJP
AC,51,Civil Lines,Gopal Sharma,BJP
PC,,Jaipur Rural,Rao Rajendra Singh,BJP
PC,,Jaipur,Manju Sharma,BJP
