type,number,constituency,representative,party
AC,209,Bilhaur (SC),Mohit Sonkar,BJP
AC,210,Bithoor,Abhijeet Singh,BJP
AC,211,Kalyanpur,Neelima Katiyar,BJP
AC,214,Arya Nagar,Amitabh Bajpai,SP
AC,213,Sishamau,Naseem Solanki,SP
AC,212,Govindnagar,Surendra Maithani,BJP
AC,216,Kanpur Cantt.,Mohammad Hassan Rumi,SP
AC,215,Kidwai Nagar,Mahesh Kumar Trivedi,BJP
AC,217,Maharajpur,Satish Mahana,BJP
AC,218,Ghatampur (SC),Saroj Kureel,Apna Dal (Soneylal)
PC,,MISRIKH (SC),Ashok Kumar Rawat,BJP
PC,,KANPUR,Ramesh Awasthi,BJP
PC,,AKBARPUR,Devendra Singh Bhole,BJP
