term,ward_no,ward_name,name,party,reservation,source
2020-2025,1,Fort Kochi,Antony Kureethara,INC,General,lsgkerala.gov.in/2020/169
2020-2025,2,Kalvathy,T K Ashraf,Independent,General,lsgkerala.gov.in/2020/169
2020-2025,3,Earavely,Ismudheen M,CPI(M),General,lsgkerala.gov.in/2020/169
2020-2025,4,Karippalam,K.A Manaf,INC,General,lsgkerala.gov.in/2020/169
2020-2025,5,Mattanchery,Ansiya K A,CPI,Woman,lsgkerala.gov.in/2020/169
2020-2025,6,Kochangadi,M.H.M Ashraf,CPI(M),General,lsgkerala.gov.in/2020/169
2020-2025,7,Cheralayi,Raghurama Pai J,BJP,General,lsgkerala.gov.in/2020/169
2020-2025,8,Panayappilly,Sanil Mon J,Independent,General,lsgkerala.gov.in/2020/169
2020-2025,9,Chakkamadom,Habeebulla M,CPI(M),General,lsgkerala.gov.in/2020/169
2020-2025,10,Karuvelippady,Bastine Babu,INC,General,lsgkerala.gov.in/2020/169
2020-2025,11,Thoppumpady,Sheeba Durom,INC,Woman,lsgkerala.gov.in/2020/169
2020-2025,12,Tharebhagam,Sony K Francis,CPI(M),General,lsgkerala.gov.in/2020/169
2020-2025,13,Kadebhagam,V A Srijith,CPI(M),General,lsgkerala.gov.in/2020/169
2020-2025,14,Thazhuppu,Lailadas,IUML,Woman,lsgkerala.gov.in/2020/169
2020-2025,15,Edakochi North,Jeeja Tenson,INC,Woman,lsgkerala.gov.in/2020/169
2020-2025,16,Edakochi South,Abilash Thoppil,INC,General,lsgkerala.gov.in/2020/169
2020-2025,17,Perumbadappu,C.N Renjith Master,CPI,General,lsgkerala.gov.in/2020/169
2020-2025,18,Konam,Adv. Aswathy Valsan,CPI(M),Woman,lsgkerala.gov.in/2020/169
2020-2025,19,Palluruthy-Kacheripady,P R Rachana,CPI(M),Woman,lsgkerala.gov.in/2020/169
2020-2025,20,Nambyapuram,P.S.Viju,CPI(M),General,lsgkerala.gov.in/2020/169
2020-2025,21,Pullardesam,C.R Sudheer,CPI(M),General,lsgkerala.gov.in/2020/169
2020-2025,22,Mundamvelly,Mary Calesta Prakashan,CMP,Woman,lsgkerala.gov.in/2020/169
2020-2025,23,Manassery,K.P Antony,Independent,General,lsgkerala.gov.in/2020/169
2020-2025,24,Moolamkuzhy,Shyla Thadevouse,INC,Woman,lsgkerala.gov.in/2020/169
2020-2025,25,Chullickal,Redina Antony,CPI(M),Woman,lsgkerala.gov.in/2020/169
2020-2025,26,Nasrathu,Sheeba Lal,JD(S),Woman,lsgkerala.gov.in/2020/169
2020-2025,27,Fortkochi Veli,Benedict Fernandez,CPI(M),General,lsgkerala.gov.in/2020/169
2020-2025,28,Amaravathy,Priya P.A,BJP,Woman,lsgkerala.gov.in/2020/169
2020-2025,29,Island North,Padmakumari T,BJP,General,lsgkerala.gov.in/2020/169
2020-2025,30,Island South,Tibin Devassy,INC,General,lsgkerala.gov.in/2020/169
2020-2025,31,Vaduthala West,Henry Austin,INC,General,lsgkerala.gov.in/2020/169
2020-2025,32,Vaduthala East,Bindhu Mani,CPI(M),SC Woman,lsgkerala.gov.in/2020/169
2020-2025,33,Elamakkara North,Anilkumar M,CPI(M),General,lsgkerala.gov.in/2020/169
2020-2025,34,Puthukkalavattam,Seena,INC,Woman,lsgkerala.gov.in/2020/169
2020-2025,35,Ponekkara,Pius Joseph,INC,General,lsgkerala.gov.in/2020/169
2020-2025,36,Kunnumpuram,Jagadambika,CPI(M),General,lsgkerala.gov.in/2020/169
2020-2025,37,Edappally,Deepa Varma,CPI(M),Woman,lsgkerala.gov.in/2020/169
2020-2025,38,Dhevankulangara,Santha Vijayan,INC,Woman,lsgkerala.gov.in/2020/169
2020-2025,39,Karukappilli,Adv. Deepthi Mary Varghese,INC,Woman,lsgkerala.gov.in/2020/169
2020-2025,40,Mamangalam,Minimol V K,INC,Woman,lsgkerala.gov.in/2020/169
2020-2025,41,Padivattam,R Ratheesh,CPI(M),General,lsgkerala.gov.in/2020/169
2020-2025,42,Vennala,C.D Valsala Kumari,CPI(M),Woman,lsgkerala.gov.in/2020/169
2020-2025,43,Palarivattam,Geojy Kurikode,CPI,General,lsgkerala.gov.in/2020/169
2020-2025,44,Karanakkodam,George Nanattu,CPI(M),General,lsgkerala.gov.in/2020/169
2020-2025,45,Thammanam,Sakeer Thammanam,INC,General,lsgkerala.gov.in/2020/169
2020-2025,46,Chakkaraparambu,K B Harshal,CPI(M),General,lsgkerala.gov.in/2020/169
2020-2025,47,Chalikkavattam,A.R Padmadas,INC,General,lsgkerala.gov.in/2020/169
2020-2025,48,Ponnurunni East,Adv. Dipin Dileep,CPI(M),General,lsgkerala.gov.in/2020/169
2020-2025,49,Vyttila,Sunitha Dixon,RSP,Woman,lsgkerala.gov.in/2020/169
2020-2025,50,Chambakkara,Dr. Sailaja T.K,CPI(M),Woman,lsgkerala.gov.in/2020/169
2020-2025,51,Poonithura,Mercy Teacher,INC,Woman,lsgkerala.gov.in/2020/169
2020-2025,52,Vyttila Janatha,Sony Joseph,INC,Woman,lsgkerala.gov.in/2020/169
2020-2025,53,Ponnurunni,C.D Bindu,CPI(M),Woman,lsgkerala.gov.in/2020/169
2020-2025,54,Elamkulam,Antony Painuthara,INC,General,lsgkerala.gov.in/2020/169
2020-2025,55,Girinagar,Malini Kurup,INC,Woman,lsgkerala.gov.in/2020/169
2020-2025,56,Panampilli Nagar,Anjana Teacher,INC,Woman,lsgkerala.gov.in/2020/169
2020-2025,57,Kadavanthra,Suja Lonappan,KC(M)PJJ,Woman,lsgkerala.gov.in/2020/169
2020-2025,58,Konthuruthy,Bency Benny,INC,Woman,lsgkerala.gov.in/2020/169
2020-2025,59,Thevara,P.R. Ranish,CPI(M),General,lsgkerala.gov.in/2020/169
