term,news_ward_no,ward_name,name,party,source
2025-2030,1,Fort Kochi,Shini Mathew,INC,indiatvnews.com 2025-12-13
2025-2030,2,Kalvathy,Fausia Mohammed,IUML,indiatvnews.com 2025-12-13
2025-2030,3,Earavely,Raheena Rafeeq,INC,indiatvnews.com 2025-12-13
2025-2030,4,Karippalam,KA Manaf,INC,indiatvnews.com 2025-12-13
2025-2030,5,Cheralayi,Praveetha Vijayakumar,BJP,indiatvnews.com 2025-12-13
2025-2030,6,Mattanchery,Sheeja Nawaz,IUML,indiatvnews.com 2025-12-13
2025-2030,7,Chakkamadam,Suhana Subair,CPI(M),indiatvnews.com 2025-12-13
2025-2030,8,Karuvelippady,Kavitha Harikumar,INC,indiatvnews.com 2025-12-13
2025-2030,9,Island North,T Padmakumari,BJP,indiatvnews.com 2025-12-13
2025-2030,10,Ravipuram,,Independent,indiatvnews.com 2025-12-13
2025-2030,11,Ernakulam South,KVP Krishnakumar,INC,indiatvnews.com 2025-12-13
2025-2030,12,Gandhinagar,Nirmala Teacher,INC,indiatvnews.com 2025-12-13
2025-2030,13,Kathrikadavu,Rhea Lawrence,INC,indiatvnews.com 2025-12-13
2025-2030,14,Ernakulam Central,Sudha Dilipkumar,BJP,indiatvnews.com 2025-12-13
2025-2030,15,Ernakulam North,Augustine Sebastian PM,INC,indiatvnews.com 2025-12-13
2025-2030,16,Kaloor South,Aristotle MG,INC,indiatvnews.com 2025-12-13
2025-2030,17,Kaloor North,PM Harris,CPI(M),indiatvnews.com 2025-12-13
2025-2030,18,Thrikkanarvattom,CA Shakir,CPI,indiatvnews.com 2025-12-13
2025-2030,19,Ayyappankavu,Deepak Joy,INC,indiatvnews.com 2025-12-13
2025-2030,20,Pottakuzhy,Brigitte Ashwin,CPI,indiatvnews.com 2025-12-13
2025-2030,21,Elamakkara South,VR Sudheer,INC,indiatvnews.com 2025-12-13
2025-2030,22,Pachalam,Albert Ambalathingal,INC,indiatvnews.com 2025-12-13
2025-2030,23,Thattazham,Sibi John,INC,indiatvnews.com 2025-12-13
2025-2030,24,Vaduthala West,Jismy Gerald,INC,indiatvnews.com 2025-12-13
2025-2030,25,Vaduthala East,Henry Austin,INC,indiatvnews.com 2025-12-13
2025-2030,26,Elamakkara North,Beena Mahesh,CPI(M),indiatvnews.com 2025-12-13
2025-2030,27,Puthukkalavattam,Seena Teacher,INC,indiatvnews.com 2025-12-13
2025-2030,28,Kunnumpuram,Jagadambika Sudarshan,CPI(M),indiatvnews.com 2025-12-13
2025-2030,29,Ponekkara,Nimmi Mariam,INC,indiatvnews.com 2025-12-13
2025-2030,30,Edappally,Abdul Latif,INC,indiatvnews.com 2025-12-13
2025-2030,31,Changampuzha,Sini Anand,INC,indiatvnews.com 2025-12-13
2025-2030,32,Dhevankulangara,Vijayakumar,INC,indiatvnews.com 2025-12-13
2025-2030,33,Palarivattam,Minimol VK,INC,indiatvnews.com 2025-12-13
2025-2030,34,Stadium,Deepti Mary Varghese,INC,indiatvnews.com 2025-12-13
2025-2030,35,Karanakkodam,Girly Robert,INC,indiatvnews.com 2025-12-13
2025-2030,36,Puthiyaroad,Molly Charlie,INC,indiatvnews.com 2025-12-13
2025-2030,37,Padivattam,Shibi Soman,INC,indiatvnews.com 2025-12-13
2025-2030,38,Vennala,Sabu Koroth,INC,indiatvnews.com 2025-12-13
2025-2030,39,Chakkaraparambu,PM Naseema,INC,indiatvnews.com 2025-12-13
2025-2030,40,Chalikkavattam,Bindu Viju,INC,indiatvnews.com 2025-12-13
2025-2030,41,Thammanam,Divya Rajesh,INC,indiatvnews.com 2025-12-13
2025-2030,42,Elamkulam,Nisha PD,INC,indiatvnews.com 2025-12-13
2025-2030,43,Girinagar,PD Martin,INC,indiatvnews.com 2025-12-13
2025-2030,44,Ponnurunni East,Beena Divakaran,CPI(M),indiatvnews.com 2025-12-13
2025-2030,45,Vyttila,VP Chandran,Independent,indiatvnews.com 2025-12-13
2025-2030,46,Poonithura,Harish Poonithura,Independent,indiatvnews.com 2025-12-13
2025-2030,47,Vyttila Janatha,Anu K Thankachan,INC,indiatvnews.com 2025-12-13
2025-2030,48,Kadavanthra,Jisan George,KC,indiatvnews.com 2025-12-13
2025-2030,49,Panampilli Nagar,Antony Painuthara,INC,indiatvnews.com 2025-12-13
2025-2030,50,Perumanoor,KX Francis,INC,indiatvnews.com 2025-12-13
2025-2030,51,Konthuruthy,Abhishek KS,INC,indiatvnews.com 2025-12-13
2025-2030,52,Thevara,Elizabeth Teacher,CPI(M),indiatvnews.com 2025-12-13
2025-2030,53,Island South,Shakrutha,INC,indiatvnews.com 2025-12-13
2025-2030,54,Kadebhagam,Aswathy Joshi,CPI(M),indiatvnews.com 2025-12-13
2025-2030,55,Palluruthy East,NP Shanthini,CPI(M),indiatvnews.com 2025-12-13
2025-2030,56,Thazhuppu,Sujatha Sabu,CPI(M),indiatvnews.com 2025-12-13
2025-2030,57,Eadakochi North,KJ Baisel,Congress-S,indiatvnews.com 2025-12-13
2025-2030,58,Edakochi South,Lasitha Peter,INC,indiatvnews.com 2025-12-13
2025-2030,59,Perumbadappu,Written NX,CPI,indiatvnews.com 2025-12-13
2025-2030,60,Konam,CR Biju,CPI(M),indiatvnews.com 2025-12-13
2025-2030,61,Palluruthy-Kacheripady,VA Sreejith,CPI(M),indiatvnews.com 2025-12-13
2025-2030,62,Nambyapuram,Rashida Hussain,CPI(M),indiatvnews.com 2025-12-13
2025-2030,63,Palluruthy,Geetha Prabhakaran,INC,indiatvnews.com 2025-12-13
2025-2030,64,Pullardesam,Hema Teacher,CPI(M),indiatvnews.com 2025-12-13
2025-2030,65,Tharebhagam,Lavita Nelson,CPI(M),indiatvnews.com 2025-12-13
2025-2030,66,Thoppumpady,Joseph Sumeet,INC,indiatvnews.com 2025-12-13
2025-2030,67,Mundamvely East,KJ Prakashan,Independent,indiatvnews.com 2025-12-13
2025-2030,68,Mundamvely,Lizzie Sumi,INC,indiatvnews.com 2025-12-13
2025-2030,69,Manassery,Nisha Joseph,CPI(M),indiatvnews.com 2025-12-13
2025-2030,70,Moolamkuzhy,Joseph Fernandes,CPI(M),indiatvnews.com 2025-12-13
2025-2030,71,Chullickal,Bastin Babu,Independent,indiatvnews.com 2025-12-13
2025-2030,72,Nasrathu,Yesudas PJ Dasan,CPI(M),indiatvnews.com 2025-12-13
2025-2030,73,Panayappilly,Aswathy Girish,BJP,indiatvnews.com 2025-12-13
2025-2030,74,Amaravathy,Priya Prashant,BJP,indiatvnews.com 2025-12-13
2025-2030,75,Fortkochi Veli,Manjjula Anil Kumar,CPI(M),indiatvnews.com 2025-12-13
