type,number,constituency,representative,party
AC,75.0,Angamaly,Roji M. John,INC
AC,78.0,Paravur,V.D. Satheesan,INC
AC,79.0,Vypeen,K.N. Unnikrishnan,CPI(M)
AC,76.0,Aluva,Anwar Sadath,INC
AC,74.0,Perumbavoor,Eldhose P. Kunnappilly,INC
AC,77.0,Kalamassery,P. Rajeeve,CPI(M)
AC,87.0,Kothamangalam,Antony John,CPI(M)
AC,84.0,Kunnathunad (SC),P.V. Sreenijin,CPI(M)
AC,82.0,Ernakulam,T.J. Vinod,INC
AC,86.0,Muvattupuzha,Mathew Kuzhalnadan,INC
AC,83.0,Thrikkakara,Uma Thomas,INC
AC,81.0,Thripunithura,K. Babu,INC
AC,85.0,Piravom,Anoop Jacob,Kerala Congress (Jacob)
AC,80.0,Kochi,K.J. Maxy,CPI(M)
PC,,Ernakulam,Hibi Eden,INC
PC,,Chalakudy,Benny Behanan,INC
