ward,name,party,office_address,phone,borough,source,verification_note
1,Kartick Chandra Manna,AITC,,,I,wbsec_wikipedia_2021,Name+party from 2021 WB SEC result (via Wikipedia). KMC office page Councillors1.jsp returns 404; could not cross-verify current sitting name/address.
2,Kakali Sen,AITC,,,I,wbsec_wikipedia_2021,Name+party from 2021 WB SEC result (via Wikipedia). KMC office page 404.
3,Debika Chakraborty,AITC,,,I,wbsec_wikipedia_2021,Name+party from 2021 WB SEC result (via Wikipedia). KMC office page 404.
4,Goutam Haldar,AITC,,,I,wbsec_wikipedia_2021,Name+party from 2021 WB SEC result (via Wikipedia). KMC office page 404.
5,Tarun Saha,AITC,,,I,wbsec_wikipedia_2021,Name+party from 2021 result; also listed as Borough I Chairman (mob 9830023789) on KMC borough page.
6,Suman Singh,AITC,,,I,wbsec_wikipedia_2021,Name+party from 2021 WB SEC result (via Wikipedia). KMC office page 404.
7,Bapi Ghosh,AITC,,,I,wbsec_wikipedia_2021,Name+party from 2021 WB SEC result (via Wikipedia). KMC office page 404.
8,Pooja Panja,AITC,,,I,wbsec_wikipedia_2021,Name+party from 2021 WB SEC result (via Wikipedia). KMC office page 404.
9,Mitali Saha,AITC,,,I,wbsec_wikipedia_2021,Name+party from 2021 WB SEC result (via Wikipedia). KMC office page 404.
10,Subrata Banerjee,AITC,,,II,wbsec_wikipedia_2021,Name+party from 2021 WB SEC result (via Wikipedia). KMC office page 404.
11,Atin Ghosh,AITC,,,II,wbsec_wikipedia_2021,Name+party from 2021 WB SEC result (via Wikipedia). Atin Ghosh = Deputy Mayor.
12,Dr. Minakshi Gangopadhyay,AITC,,,II,wbsec_wikipedia_2021,Name+party from 2021 WB SEC result (via Wikipedia). KMC office page 404.
13,Anindya Kishor Routh,AITC,,,III,wbsec_wikipedia_2021,Name+party from 2021 result; also Borough III Chairman (mob 9830434037).
14,Amal Chakraborty,AITC,,,III,wbsec_wikipedia_2021,Name+party from 2021 WB SEC result (via Wikipedia). KMC office page 404.
15,Sukhla Bhore,AITC,,,II,wbsec_wikipedia_2021,Name+party from 2021 WB SEC result (via Wikipedia). KMC office page 404.
16,SHRI SWAPAN KUMAR DAS,AITC*,"12, Karbala Tank Lane, Kolkata -700006",,II,kmcgov_councillors_jsp,"Name+address from KMC official Councillors2.jsp (current). Party marked AITC* = inferred from 2021 TMC sweep (134/144); not individually verified against WB SEC ward result."
17,SHRI MOHAN KUMAR GUPTA (MONA),AITC*,"1,Brindabon Bose Lane, Kolkata -700006",,II,kmcgov_councillors_jsp,Party inferred (AITC*).
18,SMT. SUNANDA SARKAR,AITC*,"6, Masjid Bari Street, Kolkata -700004",,II,kmcgov_councillors_jsp,Party inferred (AITC*).
19,SMT. SIKHA SAHA,AITC*,"B/17/H/4, Beniatola Street, Kolkata -700005",,II,kmcgov_councillors_jsp,Party inferred (AITC*).
