type,number,constituency,representative,party
AC,158.0,KOLKATA PORT,Firhad Hakim,AITC
AC,159.0,BHABANIPUR,Mamata Banerjee,AITC
AC,160.0,RASHBEHARI,Debasish Kumar,AITC
AC,161.0,BALLYGUNGE,Babul Supriyo,AITC
AC,162.0,CHOWRANGEE,Nayna Bandyopadhyay,AITC
AC,163.0,ENTALLY,Swarna Kamal Saha,AITC
AC,164.0,BELEGHATA,Paresh Paul,AITC
AC,165.0,JORASANKO,Vivek Gupta,AITC
AC,166.0,SHYAMPUKUR,Shashi Panja,AITC
AC,167.0,MANIKTALA,Supti Pandey,AITC
AC,168.0,KASHIPURBELGACHHIA,Atin Ghosh,AITC
PC,24,Kolkata Uttar,Sudip Bandyopadhyay,AITC
PC,23,Kolkata Dakshin,Mala Roy,AITC
