sr_no,name,prabhag_no,ward_name,party,contact_email,term,source
1,TEJASWI ABHISHEK GHOSALKAR,001,R/North Ward,,councillor001.rn@mcgm.gov.in,2017-2022,portal.mcgm.gov.in/Councillors list.pdf
2,JAGDISH KARUNASHANKAR OZA,002,R/North Ward,,councillor002.rn@mcgm.gov.in,2017-2022,portal.mcgm.gov.in/Councillors list.pdf
3,BALKRISHNA JAYSING BRID,003,R/North Ward,,councillor003.rn@mcgm.gov.in,2017-2022,portal.mcgm.gov.in/Councillors list.pdf
4,SUJATA UDESH PATEKAR,004,R/North Ward,,councillor004.rn@mcgm.gov.in,2017-2022,portal.mcgm.gov.in/Councillors list.pdf
5,SANJAY SHANKAR GHADI,005,R/North ward,,councillor005.rn@mcgm.gov.in,2017-2022,portal.mcgm.gov.in/Councillors list.pdf
6,HARSHAD PRAKASH KARKAR,006,R/North ward,,councillor006.rn@mcgm.gov.in,2017-2022,portal.mcgm.gov.in/Councillors list.pdf
7,SHEETAL MUKESH MHATRE,007,R/North ward,,councillor007.rn@mcgm.gov.in,2017-2022,portal.mcgm.gov.in/Councillors list.pdf
8,HARISH RAVJI CHHEDA,008,R/North ward,,councillor008.rn@mcgm.gov.in,2017-2022,portal.mcgm.gov.in/Councillors list.pdf
9,SHWETA SHARAD KORGAONKAR,009,R/ Central Ward,,councillor009.rc@mcgm.gov.in,2017-2022,portal.mcgm.gov.in/Councillors list.pdf
10,JITENDRA AMBALAL PATEL,010,R/ Central Ward,,councillor010.rc@mcgm.gov.in,2017-2022,portal.mcgm.gov.in/Councillors list.pdf
11,RIDDHI BHASKAR KHURSANGE,011,R/ Central Ward,,councillor011.rc@mcgm.gov.in,2017-2022,portal.mcgm.gov.in/Councillors list.pdf
12,GEETA SANJAY SINGHAN,012,R/ Central Ward,,councillor012.rc@mcgm.gov.in,2017-2022,portal.mcgm.gov.in/Councillors list.pdf
13,VIDYARTHI SING,013,R/ Central Ward,,councillor013.rc@mcgm.gov.in,2017-2022,portal.mcgm.gov.in/Councillors list.pdf
14,AASAWARI PATIL,014,R/ Central Ward,,councillor014.rc@mcgm.gov.in,2017-2022,portal.mcgm.gov.in/Councillors list.pdf
15,PRAVIN RIKAVCHAND SHAH,015,R/ Central Ward,,councillor015.rc@mcgm.gov.in,2017-2022,portal.mcgm.gov.in/Councillors list.pdf
16,ANJALI ARUN KHEDKAR,016,R/ Central Ward,,councillor016.rc@mcgm.gov.in,2017-2022,portal.mcgm.gov.in/Councillors list.pdf
17,BINA PARESH DOSHI,017,R/ Central Ward,,councillor017.rc@mcgm.gov.in,2017-2022,portal.mcgm.gov.in/Councillors list.pdf
18,SANDHYA VIPUL DOSHI (SAKRE),018,R/ Central Ward,,councillor018.rc@mcgm.gov.in,2017-2022,portal.mcgm.gov.in/Councillors list.pdf
19,SHUBHDHA SUBHASH GUDHEKAR,019,R/South Ward,,councillor019.rs@mcgm.gov.in,2017-2022,portal.mcgm.gov.in/Councillors list.pdf
20,DIPAK (BALA) TAWADE,020,R/South Ward,,councillor020.rs@mcgm.gov.in,2017-2022,portal.mcgm.gov.in/Councillors list.pdf
21,PRATIBHA YOGESH GIRKAR,021,R/South Ward,,councillor021.rs@mcgm.gov.in,2017-2022,portal.mcgm.gov.in/Councillors list.pdf
22,PRIYANKA PRAFULLA MORE,022,R/South Ward,,councillor022.rs@mcgm.gov.in,2017-2022,portal.mcgm.gov.in/Councillors list.pdf
23,SHIVKUMAR ZHA,023,R/South Ward,,councillor023.rs@mcgm.gov.in,2017-2022,portal.mcgm.gov.in/Councillors list.pdf
24,SUNITA RAMNAGINA YADAV,024,R/South Ward,,councillor024.rs@mcgm.gov.in,2017-2022,portal.mcgm.gov.in/Councillors list.pdf
