level,constituency,name,party,source
AC,152 Borivali,Sanjay Upadhyay,BJP,MyNeta Maharashtra 2024 / ECI / news verification
AC,153 Dahisar,Manisha Ashok Chaudhary,BJP,MyNeta Maharashtra 2024 / ECI / news verification
AC,154 Magathane,Prakash Surve,Shiv Sena,MyNeta Maharashtra 2024 / ECI / news verification
AC,155 Mulund,Mihir Kotecha,BJP,MyNeta Maharashtra 2024 / ECI / news verification
AC,156 Vikhroli,Sunil Raut,Shiv Sena (UBT),MyNeta Maharashtra 2024 / ECI / news verification
AC,157 Bhandup West,Ashok Patil,Shiv Sena,MyNeta Maharashtra 2024 / ECI / news verification
AC,158 Jogeshwari East,Anant (Bala) Nar,Shiv Sena (UBT),MyNeta Maharashtra 2024 / ECI / news verification
AC,159 Dindoshi,Sunil Prabhu,Shiv Sena (UBT),MyNeta Maharashtra 2024 / ECI / news verification
AC,160 Kandivali East,Atul Bhatkhalkar,BJP,MyNeta Maharashtra 2024 / ECI / news verification
AC,161 Charkop,Yogesh Sagar,BJP,MyNeta Maharashtra 2024 / ECI / news verification
AC,162 Malad West,Aslam Shaikh,INC,MyNeta Maharashtra 2024 / ECI / news verification
AC,163 Goregaon,Vidya Thakur,BJP,MyNeta Maharashtra 2024 / ECI / news verification
AC,164 Versova,Haroon Khan,Shiv Sena (UBT),MyNeta Maharashtra 2024 / ECI / news verification
AC,165 Andheri West,Amit Satam,BJP,MyNeta Maharashtra 2024 / ECI / news verification
AC,166 Andheri East,Murji Patel,Shiv Sena,MyNeta Maharashtra 2024 / ECI / news verification
AC,167 Vile Parle,Parag Alavani,BJP,MyNeta Maharashtra 2024 / ECI / news verification
AC,168 Chandivali,Dilip Lande,Shiv Sena,MyNeta Maharashtra 2024 / ECI / news verification
AC,169 Ghatkopar West,Ram Kadam,BJP,MyNeta Maharashtra 2024 / ECI / news verification
AC,170 Ghatkopar East,Parag Shah,BJP,MyNeta Maharashtra 2024 / ECI / news verification
AC,171 Mankhurd Shivaji Nagar,Abu Asim Azmi,SP,MyNeta Maharashtra 2024 / ECI / news verification
AC,172 Anushakti Nagar,Sana Malik,NCP,MyNeta Maharashtra 2024 / ECI / news verification
AC,173 Chembur,Tukaram Kate,Shiv Sena,MyNeta Maharashtra 2024 / ECI / news verification
AC,174 Kurla (SC),Mangesh Kudalkar,Shiv Sena,MyNeta Maharashtra 2024 / ECI / news verification
AC,175 Kalina,Sanjay Potnis,Shiv Sena (UBT),MyNeta Maharashtra 2024 / ECI / news verification
AC,176 Vandre East,Varun Sardesai,Shiv Sena (UBT),MyNeta Maharashtra 2024 / ECI / news verification
AC,177 Vandre West,Ashish Shelar,BJP,MyNeta Maharashtra 2024 / ECI / news verification
AC,178 Dharavi (SC),Jyoti Gaikwad,INC,MyNeta Maharashtra 2024 / ECI / news verification
AC,179 Sion Koliwada,R. Tamil Selvan,BJP,MyNeta Maharashtra 2024 / ECI / news verification
AC,180 Wadala,Kalidas Kolambkar,BJP,MyNeta Maharashtra 2024 / ECI / news verification
AC,181 Mahim,Mahesh Sawant,Shiv Sena (UBT),MyNeta Maharashtra 2024 / ECI / news verification
AC,182 Worli,Aditya Thackeray,Shiv Sena (UBT),MyNeta Maharashtra 2024 / ECI / news verification
AC,183 Shivadi,Ajay Choudhari,Shiv Sena (UBT),MyNeta Maharashtra 2024 / ECI / news verification
AC,184 Byculla,Manoj Jamsutkar,Shiv Sena (UBT),MyNeta Maharashtra 2024 / ECI / news verification
AC,185 Malabar Hill,Mangal Prabhat Lodha,BJP,MyNeta Maharashtra 2024 / ECI / news verification
AC,186 Mumbadevi,Amin Patel,INC,MyNeta Maharashtra 2024 / ECI / news verification
AC,187 Colaba,Rahul Narwekar,BJP,MyNeta Maharashtra 2024 / ECI / news verification
PC,Mumbai North Central,Varsha Gaikwad,INC,Wikipedia 18th Lok Sabha / ECI 2024 / elections.tn.gov.in
PC,Mumbai North,Piyush Goyal,BJP,Wikipedia 18th Lok Sabha / ECI 2024 / elections.tn.gov.in
PC,Mumbai North West,Ravindra Waikar,Shiv Sena,Wikipedia 18th Lok Sabha / ECI 2024 / elections.tn.gov.in
PC,Mumbai North East,Sanjay Dina Patil,Shiv Sena (UBT),Wikipedia 18th Lok Sabha / ECI 2024 / elections.tn.gov.in
PC,Mumbai South,Anil Desai,Shiv Sena (UBT),Wikipedia 18th Lok Sabha / ECI 2024 / elections.tn.gov.in
PC,Mumbai South,Arvind Sawant,Shiv Sena (UBT),Wikipedia 18th Lok Sabha / ECI 2024 / elections.tn.gov.in
