level,constituency,name,party,source
AC,195 Junnar,Sharaddada Sonawane,IND,MyNeta Maharashtra 2024 / ECI
AC,196 Ambegaon,Dilip Walse Patil,NCP,MyNeta Maharashtra 2024 / ECI
AC,197 Khed Alandi,Babaji Kale,Shiv Sena (UBT),MyNeta Maharashtra 2024 / ECI
AC,204 Maval,Sunil Shelke,NCP,MyNeta Maharashtra 2024 / ECI
AC,198 Shirur,Dnyaneshwar (Mauli) Katke,NCP,MyNeta Maharashtra 2024 / ECI
AC,206 Pimpri (SC),Anna Bansode,NCP,MyNeta Maharashtra 2024 / ECI
AC,203 Bhor,Shankar Mandekar,NCP,MyNeta Maharashtra 2024 / ECI
AC,207 Bhosari,Mahesh Landge,BJP,MyNeta Maharashtra 2024 / ECI
AC,208 Vadgaon Sheri,Bapusaheb Pathare,NCP-Sharadchandra Pawar,MyNeta Maharashtra 2024 / ECI
AC,199 Daund,Rahul Kul,BJP,MyNeta Maharashtra 2024 / ECI
AC,205 Chinchwad,Shankar Jagtap,BJP,MyNeta Maharashtra 2024 / ECI
AC,210 Kothrud,Chandrakant Patil,BJP,MyNeta Maharashtra 2024 / ECI
AC,209 Shivajinagar,Siddharth Shirole,BJP,MyNeta Maharashtra 2024 / ECI
AC,215 Kasba Peth,Hemant Rasane,BJP,MyNeta Maharashtra 2024 / ECI
AC,214 Pune Cantonment (SC),Sunil Kamble,BJP,MyNeta Maharashtra 2024 / ECI
AC,212 Parvati,Madhuri Misal,BJP,MyNeta Maharashtra 2024 / ECI
AC,211 Khadakwasala,Bhimrao Tapkir,BJP,MyNeta Maharashtra 2024 / ECI
AC,213 Hadapsar,Chetan Tupe,NCP,MyNeta Maharashtra 2024 / ECI
AC,202 Purandar,Vijay Shivtare,Shiv Sena,MyNeta Maharashtra 2024 / ECI
AC,201 Baramati,Ajit Pawar,NCP,MyNeta Maharashtra 2024 / ECI
AC,200 Indapur,Dattatraya Bharane,NCP,MyNeta Maharashtra 2024 / ECI
PC,Maval,Shrirang Barne,Shiv Sena,Wikipedia 18th Lok Sabha / ECI 2024 / elections.tn.gov.in
PC,Pune,Murlidhar Mohol,BJP,Wikipedia 18th Lok Sabha / ECI 2024 / elections.tn.gov.in
PC,Baramati,Supriya Sule,NCP-Sharadchandra Pawar,Wikipedia 18th Lok Sabha / ECI 2024 / elections.tn.gov.in
PC,Shirur,Amol Kolhe,NCP-Sharadchandra Pawar,Wikipedia 18th Lok Sabha / ECI 2024 / elections.tn.gov.in
