ward_no,zone,name,party,address,contact
1,1,SMT. AKKARAMANI PADMA,YSRCP,"D.NO.7-42-160/1 Sangivalasa, Bheemili, Visakhapatnam",
2,1,SMT. GADU CHINNI KUMARI LAKSHMI,TDP,"D.NO.12-21-43/2, Kaligotlavari Veedhi, Chinnabazar, Bheemili, VSP",
3,1,SMT. GANTA APPALAKONDA,TDP,"D.NO 14-15-295, Yeguvapeta, Bheemili, Visakhapatnam",
4,1,SRI DOWLAPALLI YEDUKONDALA RAO,YSRCP,"D.NO.2-138, Pedda Uppada, Chepaluppada Post, Bheemili, Visakhapatnam",
5,2,SMT. MOLLI HEMALATHA,TDP,"D.NO.24-124, Mainroad, Bottavanipalem, Visakhapatnam-48",
6,2,SMT. MUTTHAMSETTI PRIYANKA,YSRCP,"D.NO. 13-27-25, Near Bus Stop, Bheemili, Visakhapatnam",
7,2,SMT. PILLA MANGAMMA,TDP,"D.NO 1-159/B/1, Pilakavanipalem, Near Water Tank, Madhurawada, Visakhapatnam",
8,2,SRI LODAGALA APPA RAO,YSRCP,"D.NO 5-116, Gollalayendada, Near Mashidh, Visakhapatnam",
9,2,SMT. KORUKONDA VENKATA RATNA SWATHI,YSRCP,"D.NO. 1-149, Jodugullapalem, Visalakshinagar, Visakhapatnam",
10,2,SMT. MADDELA RAMA LAKSHMI,TDP,"D.NO 5-217, Vivekananda Nagar, Old Dairy Farm, VSP",
11,2,SMT. GOLAGANI HARI VENKATA KUMARI,YSRCP,"D.NO.18-97, Pedagadili, Near Sivalayam Temple, Arilova, Visakhapatnam-530040",
12,2,SMT. AKKARAMANI ROHINI,YSRCP,"D.NO.7-42-122/6, Sangivalasa(V), Chittivalasa Post, Bheemili, Visakhapatnam",
13,2,SMT. KELLA SUNITHA,YSRCP,"D.NO.16-164/1, Pandu Ranga Puram, Arilova Colony, Visakhapatnam-530040",
14,3,SRI KATARI ANIL KUMAR RAJU,YSRCP,"Flat No 301, IIIrd Floor, MK's Kodandaramayya Enclave, Madhura Nagar, Visakhapatnam-16",
15,3,SMT. APPARI SRIVIDYA,INDEPENDENT,"D.NO.55-16-29, HB Colony Post Office Lane, Visakhapatnam-22",
16,3,SMT. MOLLI LAKSHMI,YSRCP,"D.NO. 53-32-1, KRM Colony, Seethammadahra, Visakhapatnam-530012",
17,3,SMT. GEDALA (BANTUBILLI) LAVANYA,YSRCP,"D.NO. 4-20-14/1, Dalai Vari Street, Peda Waltair, Visakhapatnam-17",
18,3,SMT. GOLAGANI MANGAVENI,TDP,"D.NO.2-4-13, Sector-9, MVP Colony, VSP-530017",
19,3,SMT. NOLLI NOOKARATNA,TDP,"D.NO.5-1-128, Waltair Depo, Pedajalaripeta, VSP-530017",
20,3,SMT. NAKKELLA LAKSHMI,YSRCP,"D.NO.10-31-174/1, Gollalapalem, Bhemunipatnam-531163",
21,3,SRI CHENNUBOINA VAMSI KRISHNA SRINIVAS,YSRCP,"D.NO. 9-7-40/7/2, Laxmi Nagar Layout, Sivajipalem, Visakhapatnam",
22,3,SRI PEETHALA L.V. NARAYANA MURTHY,JANASENA,"D.NO. 9-5-53/2/1, Peethala Vani Palem, Sivajipalem, Visakhapatnam",
23,3,SRI GUDLA VIJAYA SAI,YSRCP,"D.NO.53-6-41, Maddilapalem, Visakhapatnam",
24,3,SMT. SADI PADMAVATHI (PADMA REDDY),YSRCP,"D.NO. 51-2-3/12, Nakavanipalem, Visakhapatnam",
25,3,SRI SARIPALLI GOVINDA RAJULA VENKATA APPARAO,YSRCP,"D.NO. 50-81-65, Seethampeta Main Road, Visakhapatnam",
26,3,SMT. MUKKA SRAVANI,TDP,"D.NO.49-32-12/2, Rama Krishna Nagar, Akkayapalem, Visakhapatnam",
27,3,SRI GOLAGANI VEERA RAO,TDP,"D.NO. 48-2-17, Srinagar, Visakhapatnam",
28,4,SMT. PALLA APPALAKONDA,YSRCP,"D.NO.10-11-33/1, Ram Nagar Bajar Down, Visakhapatnam",
29,4,SRI VURIKITI NARAYANARAO,YSRCP,"D.NO.14-10-5, Ramajogipeta, Maharanipeta, Visakhapatnam",
30,4,SMT. KODURU APPALARATNA,YSRCP,"D.NO.18-55-3/2, Thadi Veedi, Maharanipeta, Visakhapatnam",
31,4,SRI J BIPIN KUMAR JAIN,YSRCP,"D.NO 9-12-24/9, Sai Sree Sadan, 4th Floor, VIP Road, CBM Compound, Visakhapatnam",
32,4,SRI KANDULA NAGARAJU,INDEPENDENT,"D.NO. 33-4-6, KNR Villa, Allipuram, Visakhapatnam-4",
33,4,SMT. BEESETTI VASANTHA LAKSHMI,JANASENA,"D.NO.31-34-93, Bangaramma Metta, Allipuram, Visakhapatnam",
34,4,SMT. THOTA PADMAVATHI,YSRCP,"D.NO.31-31-5, Sai Baba Street, Dabagardens, VSP-530020",
35,4,SRI VILLURI BASKAR RAO,INDEPENDENT,"D.NO.8-42-16, Thamila Veedhi, Chinna Waltair, Visakhapatnam-530017",
36,4,SMT. MASIPOGU MARRY JONES,YSRCP,"D.NO.19-24-5, Rangireeju Veedhi, Poorna Market, VSP-530001",
37,4,SRI CHENNA JANAKI RAM,YSRCP,"D.NO.20-51-4, AVN College Road Down, Relli Street, VSP",
38,4,SMT. GODI VIJAYA LAKSHMI,TDP,"D.NO.25-8-7/1, Vasantharao Vari Veedhi, SKML Temple, VSP",
39,4,SRI MOHAMMED SADIQ,INDEPENDENT,"D.NO.24-49-39, Ambusarang Street, Old Post Office, VSP-530001",
40,5,SRI GUNDAPU NAGESWARA RAO,YSRCP,"D.NO.71-48-97, AKASC Colony, Malakapuram, Visakhapatnam",
41,5,SMT. KODIGUDLA POORNIMA,TDP,"D.NO.34-10-37, Dayas Street, Gnanapuram, Visakhapatnam",
42,5,SMT. ALLA LEELAVATHI,YSRCP,"D.NO.44-5-14/2, Ganesh Street, Thatichetlapalem, Visakhapatnam",
43,5,SMT. PEDDISETTY USHA SREE,YSRCP,"D.NO.44-39-16, Nandagiri Nagar, Visakhapatnam-16",
44,5,SRI BANALA SATYA SURYA SRINIVASA RAO,YSRCP,"D.NO. 44-34-30/5, Nandagiri Nagar, Akkayyapalem, VSP-16",
45,5,SRI KAMPA HANOKU,YSRCP,"D.NO. 9-6-75/9, Pent House, Anand Residency, VSP-17",
46,5,SRI KATUMURI SATISH,YSRCP,"D.NO. 49-54-4/2E, Highplace Apts, BS Layout, 4th Town Police Station, Seethammadhara, VSP-13",
47,5,SMT. KANTIPAMU KAMESWARI,YSRCP,"D.NO.36-94-277/7, Arundati Nagar, Kancharapalem, VSP-8",
48,5,SMT. GANKALA KAVITHA,BJP,"D.NO. 36-93-81/A, Indira Nagar, Kancharapalem, VSP-8",
49,5,SMT. ALLU SANKARA RAO,YSRCP,"D.NO. 37-11-65/3, Ground Floor-4, Vigneswara Apartment-1, PR Gardens, GVMC Ward No 49, Visakhapatnam-530007",
50,5,SRI VAVILAPALLI PRASAD,YSRCP,"D.NO. 39-16-58, Madhavadhara, Industrial Estate Post, Visakhapatnam-530007",
51,5,SRI REYYI VENKATA RAMANA,YSRCP,"D.NO.39-30-7, Gandhi Nagar, Marripalem, Madhavadhara Area, Visakhapatnam-530018",
52,5,SRI JIYYANI SRIDHAR,YSRCP,"D.NO.8-15-92/7, Santhi Nagar, NAD Post, Visakhapatnam-530009",
53,5,SRI BARKAT ALI,YSRCP,"D.No.38-30-123/39, G.N. Manson, Flat No 508, Allipuram, Marripalem, Visakhapatnam",
54,5,SMT. CHALLA RAJINI,YSRCP,"D.No.38-39-29/1, Bapuji Nagar, 104 Area, Visakhapatnam-530007",
55,5,SMT. KARAJADA VENKATA NAGA SASIKALA,YSRCP,"D.No.49-53-10/9(17), Nandini Apartment, B.S. Layout, Visakhapatnam-530013",
56,5,SRI SARAGADAM RAJA SEKHAR,TDP,"D.NO.35-18-15, Gavara Kancharapalem, Visakhapatnam-530008",
57,5,SMT. MURRU VANI,YSRCP,"D.No.57-25-5/6, Tummada Palem, Kancharapalem, Visakhapatnam",
58,5,SMT. GULIGINTHALA LAVANYA,YSRCP,"D.No. 64-20-14, Sriharipuram, Malkapuram Post, Visakhapatnam",
59,5,SMT. PURRE POORNA SRI,YSRCP,"D.No.65-4-419, Santhigiri Colony, Gajuwaka Bus Depot, Visakhapatnam",
60,5,SRI PINDI VENKATA SURESH,YSRCP,"D.No.60-33-84/1, Ambedkar Colony, Malkapuram, Visakhapatnam-530011",
61,5,SRI KONATALA SUDHA,YSRCP,"D.No.61-4-49/3, Boddala Apts, Ramakrishnapuram, Malkapuram, Visakhapatnam-530011",
62,5,SRI BALLA LAKSHMANA RAO,YSRCP,"D.No.71-31-407, Trinadhapuram, Malkapuram, VSP-530011",
63,5,SRI GALLA POLIPALLI,TDP,"D.No. 71-31-1160/1, Chintalalova, Gandhigram, Visakhapatnam-530005",
64,6,SRI DALLI GOVINDA RAJU,JANASENA,"D.No.17-1-2/2, Pedagantyada, Visakhapatnam",
65,6,SRI BODDU NARASIMHA PATRUDU,YSRCP,"D.No.22-116-41/5, Dayal Nagar, Pedagantyada, Visakhapatnam",
66,6,SRI IMRAN MOHAMMED,YSRCP,"D.No. 12-45-2/1, Fathima Street, BC Road, New Gajuwaka, Visakhapatnam",
67,6,SRI PALLA SRINIVASA RAO,TDP,"D.No.9-8-117/1, Gandhi Nagar, Gajuwaka, VSP-26",
68,6,SMT. GUNDAPU VENKATA SAI ANUSHA,YSRCP,"D.No. 2-25-17, Mindhi, BHPV, VSP-12",
69,6,SRI KAKI GOVINDA REDDY,TDP,"D.No.5-16-60/1, Santoshi Matha Street, Tunglam, BHPV, VSP-12",
