level,constituency,name,party,source
AC,147 Araku Valley (ST),Regam Matyalingam,YSRCP,MyNeta Andhra Pradesh 2024 / ECI
AC,148 Paderu (ST),Matsyarasa Visweswara Raju,YSRCP,MyNeta Andhra Pradesh 2024 / ECI
AC,146 Madugula,Bandaru Satyanarayana Murthy,TDP,MyNeta Andhra Pradesh 2024 / ECI
AC,139 Bhimili,Ganta Srinivasa Rao,TDP,MyNeta Andhra Pradesh 2024 / ECI
AC,145 Chodavaram,Kalidindi Surya Naga Sanyasi Raju,TDP,MyNeta Andhra Pradesh 2024 / ECI
AC,150 Pendurthi,Panchakarla Ramesh Babu,Jana Sena Party,MyNeta Andhra Pradesh 2024 / ECI
AC,149 Anakapalle,Konathala Ramakrishna,Jana Sena Party,MyNeta Andhra Pradesh 2024 / ECI
AC,142 Visakhapatnam North,Penmetsa Vishnu Kumar Raju,BJP,MyNeta Andhra Pradesh 2024 / ECI
AC,153 Narsipatnam,Chintakayala Ayyannapatrudu,TDP,MyNeta Andhra Pradesh 2024 / ECI
AC,140 Visakhapatnam East,Velagapudi Ramakrishna Babu,TDP,MyNeta Andhra Pradesh 2024 / ECI
AC,143 Visakhapatnam West,P. G. V. R. Naidu (Ganababu),TDP,MyNeta Andhra Pradesh 2024 / ECI
AC,144 Gajuwaka,Palla Srinivas Rao,TDP,MyNeta Andhra Pradesh 2024 / ECI
AC,141 Visakhapatnam South,Vamsi Krishna Srinivas Ch.,Jana Sena Party,MyNeta Andhra Pradesh 2024 / ECI
AC,151 Yelamanchili,Sundarapu Vijay Kumar,Jana Sena Party,MyNeta Andhra Pradesh 2024 / ECI
AC,152 Payakaraopet (SC),Vangalapudi Anitha,TDP,MyNeta Andhra Pradesh 2024 / ECI
PC,ARAKU (ST),Gumma Thanuja Rani,YSRCP,Wikipedia 18th Lok Sabha / ECI 2024 / elections.tn.gov.in
PC,VISAKHAPATNAM,Mathukumilli Bharat,TDP,Wikipedia 18th Lok Sabha / ECI 2024 / elections.tn.gov.in
PC,ANAKAPALLE,C. M. Ramesh,BJP,Wikipedia 18th Lok Sabha / ECI 2024 / elections.tn.gov.in
