dpl_fiscal_year,comparison_year,tpl_source_basis,dpl_total_members,dpl_total_issues,dpl_reading_room_attendance,dpl_collection_total,dpl_books_added_to_stock,tpl_circulation_or_borrowings,tpl_branch_visits,tpl_card_registrations,dpl_issues_per_1m,tpl_borrowings_per_1m,tpl_to_dpl_borrowing_ratio_per_1m,dpl_reading_attendance_per_1m,tpl_branch_visits_per_1m,tpl_to_dpl_visit_ratio_per_1m,dpl_members_per_1m,tpl_card_registrations_per_1m,notes
2009-10,2010,no_tpl_source,64883,1039977,316657,1552000,77872,,,,54735.6,,,16666.2,,,3414.9,,No TPL annual open-data row is available for this comparison year.
2010-11,2011,no_tpl_source,73467,1169734,244499,1608813,33868,,,,61564.9,,,12868.4,,,3866.7,,No TPL annual open-data row is available for this comparison year.
2011-12,2012,tpl_open_data,76548,1133154,477107,1640909,39860,32032036.0,18872613.0,141310.0,59639.7,10677345.3,179.0,25110.9,6290871.0,250.5,4028.8,47103.3,DPL fiscal year is compared to the TPL calendar year matching the fiscal end year.
2012-13,2013,tpl_open_data,80448,1138767,398029,1681426,40517,32145021.0,18485394.0,145343.0,59935.1,10715007.0,178.8,20948.9,6161798.0,294.1,4234.1,48447.7,DPL fiscal year is compared to the TPL calendar year matching the fiscal end year.
2013-14,2014,tpl_open_data,107276,1081767,397718,1694695,23565,32034795.0,18335931.0,153041.0,56935.1,10678265.0,187.6,20932.5,6111977.0,292.0,5646.1,51013.7,DPL fiscal year is compared to the TPL calendar year matching the fiscal end year.
2014-15,2015,tpl_open_data,126091,845044,384049,1668258,59570,32505963.0,18153077.0,151417.0,44476.0,10835321.0,243.6,20213.1,6051025.7,299.4,6636.4,50472.3,DPL fiscal year is compared to the TPL calendar year matching the fiscal end year.
2015-16,2016,tpl_open_data,139835,757439,314089,1717727,37014,31910577.0,18232367.0,155950.0,39865.2,10636859.0,266.8,16531.0,6077455.7,367.6,7359.7,51983.3,DPL fiscal year is compared to the TPL calendar year matching the fiscal end year.
2016-17,2017,tpl_open_data,159200,700412,293883,1706326,38256,30098890.0,17370032.0,157050.0,36863.8,10032963.3,272.2,15467.5,5790010.7,374.3,8378.9,52350.0,DPL fiscal year is compared to the TPL calendar year matching the fiscal end year.
2017-18,2018,tpl_open_data,175422,730706,330888,1735868,21545,30555570.0,17577373.0,198405.0,38458.2,10185190.0,264.8,17415.2,5859124.3,336.4,9232.7,66135.0,DPL fiscal year is compared to the TPL calendar year matching the fiscal end year.
2018-19,2019,tpl_open_data,187138,814858,365854,1694950,27958,30662033.0,17248761.0,202732.0,42887.3,10220677.7,238.3,19255.5,5749587.0,298.6,9849.4,67577.3,DPL fiscal year is compared to the TPL calendar year matching the fiscal end year.
2019-20,2020,tpl_open_data,189235,477008,353246,1596125,13310,21000916.0,5557751.0,69946.0,25105.7,7000305.3,278.8,18591.9,1852583.7,99.64,9959.7,23315.3,DPL fiscal year is compared to the TPL calendar year matching the fiscal end year.
2020-21,2021,tpl_open_data,165854,112946,25855,1602290,2504,24229094.0,4029488.0,114379.0,5944.5,8076364.7,1358.6,1360.8,1343162.7,987.0,8729.2,38126.3,DPL fiscal year is compared to the TPL calendar year matching the fiscal end year.
2021-22,2022,tpl_open_data,156867,196889,132411,1605443,2697,26598932.0,9566486.0,186425.0,10362.6,8866310.7,855.6,6969.0,3188828.7,457.6,8256.2,62141.7,DPL fiscal year is compared to the TPL calendar year matching the fiscal end year.
2022-23,2023,tpl_open_data,148094,258180,328728,1536905,9947,24992899.0,12507823.0,251891.0,13588.4,8330966.3,613.1,17301.5,4169274.3,241.0,7794.4,83963.7,DPL fiscal year is compared to the TPL calendar year matching the fiscal end year.
2023-24,2024,tpl_2024_headline,110534,274751,335270,1527531,3108,28000000.0,13400000.0,235270.0,14460.6,9333333.3,645.4,17645.8,4466666.7,253.1,5817.6,78423.3,DPL 2023-24 is compared to TPL 2024 headline public metrics.
