year,circulation,branch_visits,card_registrations,branches_reporting_circulation,branches_reporting_visits,branches_reporting_registrations,source_url,notes
2012,32032036,18872613,141310,110,101,105,https://tpl.ca/about-the-library/open-data/,Aggregated from City of Toronto Open Data TPL annual by-branch CSVs.
2013,32145021,18485394,145343,110,101,105,https://tpl.ca/about-the-library/open-data/,Aggregated from City of Toronto Open Data TPL annual by-branch CSVs.
2014,32034795,18335931,153041,110,103,105,https://tpl.ca/about-the-library/open-data/,Aggregated from City of Toronto Open Data TPL annual by-branch CSVs.
2015,32505963,18153077,151417,111,104,108,https://tpl.ca/about-the-library/open-data/,Aggregated from City of Toronto Open Data TPL annual by-branch CSVs.
2016,31910577,18232367,155950,112,104,106,https://tpl.ca/about-the-library/open-data/,Aggregated from City of Toronto Open Data TPL annual by-branch CSVs.
2017,30098890,17370032,157050,112,104,107,https://tpl.ca/about-the-library/open-data/,Aggregated from City of Toronto Open Data TPL annual by-branch CSVs.
2018,30555570,17577373,198405,112,103,107,https://tpl.ca/about-the-library/open-data/,Aggregated from City of Toronto Open Data TPL annual by-branch CSVs.
2019,30662033,17248761,202732,112,103,107,https://tpl.ca/about-the-library/open-data/,Aggregated from City of Toronto Open Data TPL annual by-branch CSVs.
2020,21000916,5557751,69946,112,103,107,https://tpl.ca/about-the-library/open-data/,Aggregated from City of Toronto Open Data TPL annual by-branch CSVs.
2021,24229094,4029488,114379,112,100,107,https://tpl.ca/about-the-library/open-data/,Aggregated from City of Toronto Open Data TPL annual by-branch CSVs.
2022,26598932,9566486,186425,112,103,105,https://tpl.ca/about-the-library/open-data/,Aggregated from City of Toronto Open Data TPL annual by-branch CSVs.
2023,24992899,12507823,251891,112,104,106,https://tpl.ca/about-the-library/open-data/,Aggregated from City of Toronto Open Data TPL annual by-branch CSVs.
