metric_name,ifla_label,definition_note,source_url
service_points,Libraries (Service Points),"Fixed or mobile facility through which a library provides service; includes central/main, branches, mobile libraries, and external service points.",https://librarymap.ifla.org/datalab
libraries_with_internet_access,Libraries with Internet Access,"Core Library Map of the World metric.",https://librarymap.ifla.org/about-library-data
full_time_staff,Full-Time Staff,"Core Library Map of the World metric.",https://librarymap.ifla.org/about-library-data
volunteers,Volunteers,"Core Library Map of the World metric.",https://librarymap.ifla.org/about-library-data
registered_users,Registered Users,"Core Library Map of the World metric.",https://librarymap.ifla.org/about-library-data
physical_visits,Physical Visits,"Core Library Map of the World metric.",https://librarymap.ifla.org/about-library-data
physical_loans,Physical Loans,"Core Library Map of the World metric.",https://librarymap.ifla.org/about-library-data
ebook_loans,eBook Loans,"Core Library Map of the World metric.",https://librarymap.ifla.org/about-library-data
audio_book_loans,Audio Book Loans,"Core Library Map of the World metric.",https://librarymap.ifla.org/about-library-data
downloads,Downloads,"Core Library Map of the World metric.",https://librarymap.ifla.org/about-library-data
